date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_275,aVWAP_BoS_CHoCH_bull_337,aVWAP_BoS_CHoCH_bull_465,aVWAP_BoS_CHoCH_bull_494,aVWAP_BoS_CHoCH_bull_561,aVWAP_BoS_CHoCH_bull_689,aVWAP_BoS_CHoCH_bear_46,aVWAP_BoS_CHoCH_bear_442,aVWAP_BoS_CHoCH_bear_723,aVWAP_BoS_CHoCH_bear_751,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,93.1057565617,93.3617174045,91.6888304677,92.401864244,244765,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,94.568389949,95.4185456054,93.096615103,93.2428784418,341242,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-05 00:00:00+00:00,92.3835813267,95.2073779101,92.3287325747,94.0381853461,191296,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,79.27800110341771,-32.88799558632917,False,False,True,False,True,
2022-01-06 00:00:00+00:00,93.3708588631,94.3124291062,92.1184790253,92.4201471614,190361,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,70.35504154856072,-32.88799558632917,False,False,True,False,True,
2022-01-07 00:00:00+00:00,92.4384300787,93.5902538712,92.1550448599,93.0326248923,181183,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,60.95927715707814,-32.88799558632917,False,False,True,False,True,
2022-01-10 00:00:00+00:00,91.6979719264,92.4567129961,89.3714706947,92.4567129961,288477,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,52.632245399274154,-32.88799558632917,False,False,False,False,True,
2022-01-11 00:00:00+00:00,92.8589371776,92.9960590576,90.6558456379,90.9666552327,224689,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,51.39203178664583,-32.88799558632917,False,False,False,False,True,
2022-01-12 00:00:00+00:00,93.6085367886,93.73651721,92.4475715374,93.6451026233,196050,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,52.702009089166545,-32.88799558632917,False,False,False,False,True,
2022-01-13 00:00:00+00:00,92.2007521533,94.1753072262,91.9082254758,93.4439905325,179802,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,49.7792399663158,-32.88799558632917,False,False,False,False,True,
2022-01-14 00:00:00+00:00,91.4237281663,91.4420110836,90.4455920885,91.3231721209,245847,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,46.20375043358251,-32.88799558632917,False,False,False,True,True,
