date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2022-01-03 00:00:00+00:00,32.3,32.36,30.43,31.49,2773932,0,,,
2022-01-04 00:00:00+00:00,30.82,32.35,29.4,32.35,5147573,0,,,
2022-01-05 00:00:00+00:00,29.33,31.47,29.12,30.28,3635542,0,,,
2022-01-06 00:00:00+00:00,29.61,30.37,28.35,29.0,2421241,0,,,
2022-01-07 00:00:00+00:00,29.94,30.97,29.65,29.71,2300199,0,,,
2022-01-10 00:00:00+00:00,29.54,29.61,27.78,29.34,3324392,0,,,
2022-01-11 00:00:00+00:00,30.45,30.96,28.69,29.12,2736243,0,,,
2022-01-12 00:00:00+00:00,30.24,31.48,29.55,30.8,2497755,0,,,
2022-01-13 00:00:00+00:00,28.24,30.3,28.2,30.24,2705671,0,,,
2022-01-14 00:00:00+00:00,27.98,28.65,27.33,28.0,2813617,0,,,
2022-01-18 00:00:00+00:00,26.97,28.03,26.88,27.41,2706067,0,,,
2022-01-19 00:00:00+00:00,26.8,27.66,26.48,26.98,2456559,0,,,
2022-01-20 00:00:00+00:00,26.28,27.93,26.2001,27.19,2801706,0,,,
2022-01-21 00:00:00+00:00,25.45,26.78,25.26,26.0,3818113,0,,,
2022-01-24 00:00:00+00:00,25.51,25.59,22.56,24.5,5953165,0,,,
2022-01-25 00:00:00+00:00,23.97,25.5727,23.8301,24.81,3180249,0,,,
2022-01-26 00:00:00+00:00,23.46,25.6,23.2,24.62,4151768,0,,,
2022-01-27 00:00:00+00:00,22.54,24.25,22.41,23.92,4493591,0,,,
2022-01-28 00:00:00+00:00,23.33,23.37,21.67,22.37,2936081,0,,,22.79
2022-01-31 00:00:00+00:00,26.34,26.36,23.77,23.79,3028611,0,,,24.160942489570292
2022-02-01 00:00:00+00:00,26.62,26.89,25.43,26.72,2695464,0,,,24.830871764896614
2022-02-02 00:00:00+00:00,24.88,26.94,24.54,26.94,2590494,0,,,24.974195302493634
2022-02-03 00:00:00+00:00,23.87,24.97,23.57,24.05,2820066,0,,,24.806337033595163
2022-02-04 00:00:00+00:00,25.18,25.44,23.76,24.15,1921684,0,,,24.804774478710723
2022-02-07 00:00:00+00:00,25.18,26.25,24.83,25.09,1334991,0,,,24.852174605705688
2022-02-08 00:00:00+00:00,25.39,25.55,24.6,24.62,1887363,0,,,24.884375149082484
2022-02-09 00:00:00+00:00,26.74,26.87,25.24,25.77,2397625,0,,,25.03957218299136
2022-02-10 00:00:00+00:00,25.79,27.62,25.79,26.08,3707096,0,,,25.81937813514432
2022-02-11 00:00:00+00:00,25.0,26.57,24.56,25.84,2947746,0,,,25.599927381733494
2022-02-14 00:00:00+00:00,24.6,25.8325,24.46,25.05,1902977,0,,,25.48157058361638
2022-02-15 00:00:00+00:00,25.71,25.76,24.91,25.09,3231594,0,,,25.455696901238372
2022-02-16 00:00:00+00:00,24.7,25.62,23.9,24.27,4742505,0,,,25.292376185853804
2022-02-17 00:00:00+00:00,22.34,24.59,22.27,24.39,4010310,0,,,24.96425112902768
