date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_57,aVWAP_BoS_CHoCH_bull_102,aVWAP_BoS_CHoCH_bull_124,Peaks_Valleys_avg,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2021-12-31 00:00:00+00:00,11.61,11.94,10.42,11.67,11046541,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,11.86,12.905,10.93,11.9,15351080,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,10.67,12.5,10.16,11.565,14521413,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,9.25,10.85,8.95,10.34,11530468,,,,,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,8.27,9.71,7.61,8.87,20662653,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,8.57,9.895,8.01,8.27,17868208,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-11 00:00:00+00:00,9.31,10.125,8.4801,8.54,11670578,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-18 00:00:00+00:00,8.11,9.94,8.07,9.32,11387885,,,,,0,,,0.0,0.0,0.0,0.0
2022-02-25 00:00:00+00:00,8.43,8.46,5.81,7.56,23669185,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-04 00:00:00+00:00,7.39,8.935,7.25,8.42,17468889,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-11 00:00:00+00:00,6.32,7.63,6.18,7.49,15245953,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-18 00:00:00+00:00,8.26,8.57,5.78,6.27,23137017,,,,,0,,,0.0,0.0,0.0,0.0
2022-03-25 00:00:00+00:00,7.85,8.61,7.59,8.09,20430897,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-01 00:00:00+00:00,7.22,8.44,7.08,7.91,17731569,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-08 00:00:00+00:00,6.92,8.44,6.63,7.35,15587602,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-15 00:00:00+00:00,6.41,7.555,6.4,6.79,9569415,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-22 00:00:00+00:00,6.15,7.21,6.035,6.38,14516395,,,,,0,,,0.0,0.0,0.0,0.0
2022-04-29 00:00:00+00:00,5.42,6.38,5.34,6.01,13752729,,,,,0,,,0.0,0.0,0.0,0.0
2022-05-06 00:00:00+00:00,5.11,5.995,4.97,5.42,17794771,,,,,0,,,0.0,0.0,0.0,0.0
2022-05-13 00:00:00+00:00,3.75,5.16,2.77,4.98,39782435,,,,,0,,,0.0,0.0,0.0,0.0
2022-05-20 00:00:00+00:00,3.26,4.07,3.01,3.68,25281685,,,,,0,,,0.0,0.0,0.0,0.0
2022-05-27 00:00:00+00:00,3.27,3.28,2.65,3.06,28154032,,,,,0,,,0.0,0.0,0.0,0.0
2022-06-03 00:00:00+00:00,2.94,3.47,2.91,3.29,20900028,,,,,0,,,0.0,0.0,0.0,0.0
2022-06-10 00:00:00+00:00,2.71,3.23,2.66,3.01,29481211,,,,,0,,,0.0,0.0,0.0,0.0
2022-06-17 00:00:00+00:00,2.59,2.66,2.23,2.61,31236430,,,,,0,,,0.0,0.0,0.0,0.0
2022-06-24 00:00:00+00:00,3.63,3.65,2.58,2.69,22171961,,,,,0,,,0.0,0.0,0.0,0.0
2022-07-01 00:00:00+00:00,2.47,3.75,2.4,3.71,21954759,,,,,0,,,0.0,0.0,0.0,0.0
2022-07-08 00:00:00+00:00,2.93,3.12,2.25,2.4,16408044,,,,,0,,,0.0,0.0,0.0,0.0
2022-07-15 00:00:00+00:00,2.44,2.9025,2.24,2.87,19505362,,,,,0,,,0.0,0.0,0.0,0.0
2022-07-22 00:00:00+00:00,2.46,3.18,2.43,2.51,23110280,,,,,0,,,0.0,0.0,0.0,0.0
2022-07-29 00:00:00+00:00,2.33,2.5,2.115,2.45,19839799,,,,,0,,,0.0,0.0,0.0,0.0
2022-08-05 00:00:00+00:00,2.96,2.97,2.21,2.29,20089951,,,,,0,,,0.0,0.0,0.0,0.0
2022-08-12 00:00:00+00:00,2.91,3.71,2.73,2.96,37020072,,,,,0,,,0.0,0.0,0.0,0.0
2022-08-19 00:00:00+00:00,2.605,3.41,2.6,2.93,27272380,,,,,0,,,0.0,0.0,0.0,0.0
2022-08-26 00:00:00+00:00,2.27,2.5601,2.21,2.47,22481761,,,,,0,,,0.0,0.0,0.0,0.0
2022-09-02 00:00:00+00:00,2.07,2.37,1.9693,2.26,16952666,,,,,0,,,0.0,0.0,0.0,0.0
2022-09-09 00:00:00+00:00,2.43,2.5,1.9,2.06,19110198,,,,,0,,,0.0,0.0,0.0,0.0
2022-09-16 00:00:00+00:00,2.14,2.64,2.07,2.415,16564674,,,,,0,,,0.0,0.0,0.0,0.0
2022-09-23 00:00:00+00:00,1.585,2.18,1.5,2.08,23962913,,,,,0,,,0.0,0.0,0.0,0.0
