date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_23,aVWAP_BoS_CHoCH_bull_66,aVWAP_BoS_CHoCH_bull_164,aVWAP_BoS_CHoCH_bear_155,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,59.0139961526,60.1022367442,57.3355233756,57.7228632472,21913090,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,65.414326412,65.4881054351,59.2722227336,59.4290031579,37440455,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,68.9280523901,68.9511083349,64.4275319772,65.4327711678,32356756,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-21 00:00:00+00:00,65.2022117204,69.9794034702,64.4090872214,69.1401670817,31766857,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,91.53843218042658,42.00117417055951,False,False,True,False,False,
2022-01-28 00:00:00+00:00,66.2166732889,67.5861964063,62.241828416,63.6805193676,45220211,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,86.16736383928782,37.27089262192645,False,False,True,False,False,
2022-02-04 00:00:00+00:00,72.109772764,72.7968399172,64.8609837383,65.9031124404,40217538,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,84.90962688617549,36.55529790922091,False,False,True,False,False,
2022-02-11 00:00:00+00:00,74.8764861326,75.0563225016,71.7224328924,72.0913280082,33698790,,,,,,"rgba(38, 166, 154, 0.5)",,73.88508050886666,,0,,,0.0,0.0,0.0,0.0,84.75504722453047,36.55529790922091,False,False,True,False,False,
2022-02-18 00:00:00+00:00,71.5561701559,74.7934847316,70.7757600945,74.5721476621,28475765,,,,,,"rgba(38, 166, 154, 0.5)",,73.19353139002006,,0,,,0.0,0.0,0.0,0.0,80.90590285914574,33.43254118700257,False,False,True,False,False,
2022-02-25 00:00:00+00:00,71.1102215494,73.0240843191,67.589085677,72.8940159755,23370255,,,,,,"rgba(38, 166, 154, 0.5)",,72.47802011227513,,0,,,0.0,0.0,0.0,0.0,77.71187087805649,30.74361558472438,False,False,True,False,False,
2022-03-04 00:00:00+00:00,72.2158024697,73.655844845,69.0477092442,70.2461961242,34905342,,,,,,"rgba(38, 166, 154, 0.5)",,72.23510746628368,,0,,,0.0,0.0,0.0,0.0,75.9045202948666,29.374455546788226,False,False,True,False,False,
