date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_334,aVWAP_BoS_CHoCH_bear_251,aVWAP_BoS_CHoCH_bear_304,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2023-11-27 17:00:00+00:00,3.945,4.055,3.935,4.03,25205.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-11-28 17:00:00+00:00,4.155,4.24,4.15,4.235,9717.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-11-29 17:00:00+00:00,4.215,4.245,4.125,4.24,8369.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-11-30 17:00:00+00:00,4.185,4.205,4.15,4.175,13830.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-12-01 17:00:00+00:00,4.24,4.34,4.225,4.34,19692.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-12-04 17:00:00+00:00,4.2,4.245,4.155,4.2,21399.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-12-05 17:00:00+00:00,4.115,4.125,4.08,4.085,16244.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-12-06 17:00:00+00:00,4.065,4.075,4.035,4.04,16969.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-12-07 17:00:00+00:00,4.055,4.075,4.0,4.035,14616.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-12-08 17:00:00+00:00,3.965,4.005,3.925,3.985,14467.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-12-11 17:00:00+00:00,3.75,3.755,3.605,3.645,13737.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0
2023-12-12 17:00:00+00:00,3.315,3.345,3.24,3.295,11306.0,,,,3.293333333333334,"rgba(38, 166, 154, 1.0)",,3.293333333333334,,0,,,0.0,0.0,0.0,0.0
2023-12-13 17:00:00+00:00,3.365,3.675,3.345,3.64,18677.0,,,,3.4552924434957593,"rgba(239, 83, 80, 1.0)",,3.4552924434957593,,0,,,0.0,0.0,0.0,0.0
2023-12-14 17:00:00+00:00,3.73,3.735,3.635,3.685,21610.0,,,,3.5515066643407702,"rgba(239, 83, 80, 1.0)",,3.5515066643407702,,0,,,0.0,0.0,0.0,0.0
2023-12-15 17:00:00+00:00,3.515,3.525,3.415,3.465,30927.0,,,,3.5203348077233807,"rgba(239, 83, 80, 1.0)",,3.5203348077233807,,0,,,0.0,0.0,0.0,0.0
2023-12-18 17:00:00+00:00,3.43,3.5,3.415,3.46,21866.0,,,,3.5073472017320335,"rgba(239, 83, 80, 1.0)",,3.5073472017320335,,0,,,0.0,0.0,0.0,0.0
2023-12-19 17:00:00+00:00,3.565,3.64,3.525,3.64,88616.0,,,,3.550653559721316,"rgba(239, 83, 80, 1.0)",,3.550653559721316,,0,,,0.0,0.0,0.0,0.0
2023-12-20 17:00:00+00:00,3.615,3.655,3.505,3.505,17243.0,,,,3.551010027983226,"rgba(239, 83, 80, 1.0)",,3.551010027983226,,0,,,0.0,0.0,0.0,0.0
2023-12-21 17:00:00+00:00,3.635,3.64,3.585,3.6,10607.0,,,,3.553763130965534,"rgba(239, 83, 80, 1.0)",,3.553763130965534,,0,,,0.0,0.0,0.0,0.0
2023-12-22 17:00:00+00:00,3.71,3.76,3.675,3.705,6572.0,,,,3.5583743213850196,"rgba(239, 83, 80, 1.0)",,3.5583743213850196,,0,,,0.0,0.0,0.0,0.0
2023-12-25 17:00:00+00:00,3.705,3.705,3.705,3.705,0.0,,,,3.5583743213850196,"rgba(239, 83, 80, 1.0)",,3.5583743213850196,,0,,,0.0,0.0,0.0,0.0
2023-12-26 17:00:00+00:00,3.68,3.73,3.665,3.72,19815.0,,,,3.5701256543937916,"rgba(239, 83, 80, 1.0)",,3.5701256543937916,,0,,,0.0,0.0,0.0,0.0
2023-12-27 17:00:00+00:00,3.825,3.85,3.765,3.845,15969.0,,,,3.585285692937398,"rgba(239, 83, 80, 1.0)",,3.585285692937398,,0,,,0.0,0.0,0.0,0.0
2023-12-28 17:00:00+00:00,3.845,3.855,3.755,3.775,14591.0,,,,3.5963006406310556,"rgba(239, 83, 80, 1.0)",,3.5963006406310556,,0,,,0.0,0.0,0.0,0.0
2023-12-29 17:00:00+00:00,3.74,3.775,3.72,3.745,18555.0,,,,3.605715197590269,"rgba(239, 83, 80, 1.0)",,3.605715197590269,,0,,,0.0,0.0,0.0,0.0
2024-01-01 17:00:00+00:00,3.745,3.745,3.745,3.745,0.0,,,,3.605715197590269,"rgba(239, 83, 80, 1.0)",,3.605715197590269,,0,,,0.0,0.0,0.0,0.0
2024-01-02 17:00:00+00:00,3.875,3.89,3.785,3.795,26015.0,,,,3.7233050970575126,"rgba(239, 83, 80, 1.0)",,3.7233050970575126,,0,,,0.0,0.0,0.0,0.0
