date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_695,aVWAP_BoS_CHoCH_bear_65,aVWAP_BoS_CHoCH_bear_315,aVWAP_BoS_CHoCH_bear_461,aVWAP_BoS_CHoCH_bear_599,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-03-07 15:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 16:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 17:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 18:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 19:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-07 20:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-10 14:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-10 15:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-10 16:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-10 17:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-10 18:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-10 19:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-11 14:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-11 15:00:00+00:00,2.6,2.6,2.6,2.6,100.0,,,,,,2.6000000000000005,"rgba(38, 166, 154, 1.0)",,2.6000000000000005,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-03-11 16:00:00+00:00,2.6,2.6,2.6,2.6,0.0,,,,,,2.6000000000000005,"rgba(38, 166, 154, 1.0)",,2.6000000000000005,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
