date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_108,aVWAP_BoS_CHoCH_bear_43,aVWAP_BoS_CHoCH_bear_125,aVWAP_BoS_CHoCH_bear_250,aVWAP_BoS_CHoCH_bear_357,aVWAP_BoS_CHoCH_bear_546,aVWAP_BoS_CHoCH_bear_626,aVWAP_BoS_CHoCH_bear_720,aVWAP_BoS_CHoCH_bear_747,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2022-01-03 00:00:00+00:00,23.8,24.7,23.8,24.0,116066,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-04 00:00:00+00:00,23.9,24.148,23.2,23.8,87643,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-05 00:00:00+00:00,22.7,24.771,22.6,23.9,181455,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-06 00:00:00+00:00,22.9,23.6,21.9,22.9,139994,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-07 00:00:00+00:00,23.3,24.2,22.7,22.8,173890,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-10 00:00:00+00:00,22.4,23.3,22.2,23.1,140528,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-11 00:00:00+00:00,22.6,22.9,22.0,22.4,114468,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-12 00:00:00+00:00,22.0,23.1,22.0,23.1,102333,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-13 00:00:00+00:00,21.4,22.6,21.4,22.1,158923,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-14 00:00:00+00:00,21.3,21.4,20.3,21.1,176348,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-18 00:00:00+00:00,20.1,21.1,20.1,21.0,125912,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-19 00:00:00+00:00,19.4,20.4,19.1,20.3,259674,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-20 00:00:00+00:00,18.7,20.0,18.7,19.4,304165,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-21 00:00:00+00:00,17.9,18.7,17.7,18.2,256182,,,,,,,,,,,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-24 00:00:00+00:00,18.9,18.9,16.6,17.5,325305,,,,,,,,,,18.133333333333333,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-25 00:00:00+00:00,18.5,18.899,18.0,18.4,118014,,,,,,,,,,18.221979797843087,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-26 00:00:00+00:00,18.8,20.0,18.5,19.0,188627,,,,,,,,,,18.484056489003805,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-27 00:00:00+00:00,17.5,19.4,17.4,19.4,158061,,,,,,,,,,18.407216217071493,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-28 00:00:00+00:00,17.8,17.9,16.924,17.4,93797,,,,,,,,,,18.31532116245985,#000000,0,,,0.0,0.0,0.0,0.0
2022-01-31 00:00:00+00:00,19.3,19.399,17.8,17.8,134912,,,,,,,,,,18.383879119074074,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-01 00:00:00+00:00,20.2,20.5,19.2,19.6,93642,,,,,,,,,,18.51712344467039,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-02 00:00:00+00:00,19.0,20.5,18.9,20.3,101451,,,,,,,,,,18.59648692724034,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-03 00:00:00+00:00,18.5,19.2,18.3,19.0,72150,,,,,,,,,,18.600424430846292,#000000,0,,,0.0,0.0,0.0,0.0
2022-02-04 00:00:00+00:00,18.6,18.9,18.0,18.3,107533,,,,,,,,,,18.59267487769335,#000000,0,,,0.0,0.0,0.0,0.0
