date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_23,aVWAP_BoS_CHoCH_bull_44,aVWAP_BoS_CHoCH_bull_91,aVWAP_BoS_CHoCH_bull_119,aVWAP_BoS_CHoCH_bull_169,aVWAP_BoS_CHoCH_bear_128,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,32.7350571076,33.2791300789,31.6831826964,32.0549658935,984947,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,34.8932132272,34.9566884072,32.8166680533,32.8166680533,2294856,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,36.7974686268,36.9606905182,34.3310044901,34.9929599386,2183867,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-21 00:00:00+00:00,36.4619569611,38.5203663693,36.0901737641,37.5047634895,1992162,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,97.59917290391064,47.73046813572803,False,False,True,False,False,
2022-01-28 00:00:00+00:00,36.9153511039,38.3118050636,34.7390592186,35.1289781814,3179181,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,96.14470704045115,46.45401479803952,False,False,True,False,False,
2022-02-04 00:00:00+00:00,39.0009641606,40.2069925804,36.6433146182,36.9334868696,2917971,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,95.85143647239742,46.30824037050732,False,False,True,False,False,
2022-02-11 00:00:00+00:00,40.7601334345,41.104712983,38.5929094321,39.0644393406,2533190,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,95.97592493858443,46.30824037050732,False,False,True,False,False,
2022-02-18 00:00:00+00:00,39.3818152405,40.7470756832,38.7107919092,40.6603867231,2127744,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,91.46059648739431,42.3542398349492,False,False,True,False,False,
2022-02-25 00:00:00+00:00,39.7626663205,40.479029066,38.3027371808,40.479029066,1329646,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,88.50280406031956,39.79248652617153,False,False,True,False,False,
2022-03-04 00:00:00+00:00,42.0649330603,42.1652613916,39.5087656005,39.8352093833,2486669,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,87.65403372972008,39.27319948444398,False,False,True,False,False,
2022-03-11 00:00:00+00:00,41.29878944,43.524254242,39.3013435726,42.8675597102,4611274,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,85.16465368301317,37.14691858716637,False,False,True,False,False,
2022-03-18 00:00:00+00:00,39.1645322118,40.8427515707,37.2126901314,40.186057039,2482729,,,,,,,,"rgba(38, 166, 154, 0.5)",,39.07332463796667,,0,,,0.0,0.0,0.0,0.0,79.16908910284914,31.726261342134464,False,False,True,False,False,
