date,Close,High,Low,Open,Volume,aVWAP_peak_179,aVWAP_peak_175,aVWAP_peak_170,aVWAP_peak_160,aVWAP_peak_151,aVWAP_peak_127,aVWAP_peak_118,aVWAP_peak_106,aVWAP_peak_90,aVWAP_peak_76,aVWAP_peak_67,aVWAP_peak_56,aVWAP_peak_47,aVWAP_peak_30,aVWAP_peak_23,aVWAP_peak_14,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_162,aVWAP_valley_155,aVWAP_valley_132,aVWAP_valley_120,aVWAP_valley_111,aVWAP_valley_92,aVWAP_valley_88,aVWAP_valley_82,aVWAP_valley_74,aVWAP_valley_63,aVWAP_valley_53,aVWAP_valley_41,aVWAP_valley_31,aVWAP_valley_24,aVWAP_valley_18,aVWAP_OB_bull_182,aVWAP_OB_bull_162,aVWAP_OB_bull_120,aVWAP_OB_bull_82,aVWAP_OB_bear_56,aVWAP_OB_bear_23,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,32.7849957137,33.1634519373,32.4067393015,32.7469128717,10538224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,10538224.0,False,False,False,False
2022-01-07 00:00:00+00:00,34.3840919808,34.4262883977,32.7145509442,32.8343070523,9630649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9630649,713381.4074074074,False,False,False,False,10470996.222222222,False,False,False,False
2022-01-14 00:00:00+00:00,35.2364736914,36.1945225563,34.0459570873,34.4122698886,15911422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25542071,2552543.599451303,False,False,False,False,10873990.724279836,False,False,False,False
2022-01-21 00:00:00+00:00,35.2857850301,36.2720118027,35.0533172908,35.4407635229,8828243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34370314,4909415.480973428,False,False,False,False,10722453.855814662,False,False,False,False
2022-01-28 00:00:00+00:00,36.1874780794,36.2720118027,34.0107347026,34.764493736,11043657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45413971,7909752.926827248,False,False,False,False,10746246.681309871,False,False,False,False
2022-02-04 00:00:00+00:00,35.6239199236,36.638324604,35.4900748616,36.2579228488,10604879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,95.20006951728999,45.46256571556319,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34809092,9902296.561877083,False,False,False,False,10735775.001212845,False,False,False,False
2022-02-11 00:00:00+00:00,36.9694150205,37.2159717137,35.5393862002,35.6309644005,10426552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,93.21428194905134,43.7822480536675,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45235644,12519581.557293596,False,False,False,False,10712869.593715597,False,False,False,False
2022-02-18 00:00:00+00:00,36.9482815897,37.2864164832,36.3072341875,36.906014728,12054602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.66896360902001,42.54644023701583,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,33181042,14050060.108605182,False,False,False,False,10812257.179366294,False,False,False,False
2022-02-25 00:00:00+00:00,37.0116818822,37.2793720062,35.9409213862,37.0821266517,9606267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,90.62062945787619,41.7786952819128,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,42787309,16178745.211671464,False,False,False,False,10722924.57348731,False,False,False,False
2022-03-04 00:00:00+00:00,39.723805507,39.8224281843,36.8426144355,36.8989702511,9189523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.31816838971804,41.7786952819128,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,51976832,18830455.344140247,False,False,False,False,10609339.271747509,False,False,False,False
