date,Open,High,Low,Close,Volume,aVWAP_peak_808,aVWAP_peak_768,aVWAP_peak_701,aVWAP_peak_673,aVWAP_peak_635,aVWAP_peak_621,aVWAP_peak_620,aVWAP_peak_606,aVWAP_peak_589,aVWAP_peak_571,aVWAP_peak_552,aVWAP_peak_536,aVWAP_peak_499,aVWAP_peak_498,aVWAP_peak_484,aVWAP_peak_461,aVWAP_peak_371,aVWAP_peak_284,aVWAP_peak_233,aVWAP_peak_204,aVWAP_peak_173,aVWAP_peak_103,aVWAP_peak_90,aVWAP_peak_77,aVWAP_peak_14,aVWAP_valley_859,aVWAP_valley_820,aVWAP_valley_819,aVWAP_valley_804,aVWAP_valley_780,aVWAP_valley_737,aVWAP_valley_720,aVWAP_valley_689,aVWAP_valley_668,aVWAP_valley_667,aVWAP_valley_637,aVWAP_valley_613,aVWAP_valley_594,aVWAP_valley_576,aVWAP_valley_519,aVWAP_valley_495,aVWAP_valley_474,aVWAP_valley_438,aVWAP_valley_408,aVWAP_valley_407,aVWAP_valley_406,aVWAP_valley_356,aVWAP_valley_324,aVWAP_valley_238,aVWAP_valley_216,aVWAP_valley_185,aVWAP_valley_124,aVWAP_valley_97,aVWAP_valley_84,aVWAP_valley_66,aVWAP_valley_29,aVWAP_OB_bull_737,aVWAP_OB_bull_408,aVWAP_OB_bull_238,aVWAP_OB_bull_124,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-10 15:00:00+00:00,6.475,6.545,6.45,6.495,58171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,58171.0,False,False,False,False
2025-02-10 16:00:00+00:00,6.495,6.505,6.425,6.44,48835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-48835.0,-757.1317829457364,False,False,False,False,58026.25581395348,False,False,False,False
2025-02-10 17:00:00+00:00,6.435,6.46,6.375,6.41,69648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-118483.0,-2582.3390421248723,False,False,False,False,58206.4378943573,False,False,False,False
2025-02-10 18:00:00+00:00,6.415,6.445,6.4,6.425,26673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.873821609862114,-44.7135605511241,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-91810.0,-3965.7136306190605,False,False,False,False,57717.547384367266,False,False,False,False
2025-02-10 19:00:00+00:00,6.425,6.445,6.41,6.42,30641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.425616639944831,-41.86937432064138,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-122451.0,-5802.69481464047,False,False,False,False,57297.75595205149,False,False,False,False
2025-02-10 20:00:00+00:00,6.415,6.475,6.415,6.445,96267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.98657279383694,-33.66558377545903,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26184.0,-6118.684042320463,False,False,False,False,57901.930278376276,False,False,False,False
2025-02-11 15:00:00+00:00,6.475,6.555,6.455,6.545,92411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.4547321220758,-18.70674010684647,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,66227.0,-4997.045530036425,False,False,False,False,58436.95461514563,False,False,False,False
2025-02-11 16:00:00+00:00,6.545,6.555,6.475,6.525,139506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,45.53162795178055,-11.93703699311613,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-73279.0,-6055.680483059115,False,False,False,False,59693.83903971701,False,False,False,False
2025-02-11 17:00:00+00:00,6.525,6.535,6.495,6.495,53859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,48.31206444542108,-10.612500889267409,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-127138.0,-7932.925746887657,False,False,False,False,59603.3764189462,False,False,False,False
2025-02-11 18:00:00+00:00,6.495,6.505,6.445,6.455,33711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,46.79451973260884,-10.612500889267409,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-160849.0,-10303.71759577312,False,False,False,False,59201.9442264044,False,False,False,False
