date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_176,aVWAP_peak_169,aVWAP_peak_158,aVWAP_peak_145,aVWAP_peak_139,aVWAP_peak_132,aVWAP_peak_119,aVWAP_peak_105,aVWAP_peak_100,aVWAP_peak_96,aVWAP_peak_67,aVWAP_peak_56,aVWAP_peak_45,aVWAP_peak_34,aVWAP_peak_22,aVWAP_peak_16,aVWAP_valley_190,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_155,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_122,aVWAP_valley_111,aVWAP_valley_102,aVWAP_valley_97,aVWAP_valley_92,aVWAP_valley_77,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_53,aVWAP_valley_39,aVWAP_valley_28,aVWAP_valley_19,aVWAP_OB_bull_77,aVWAP_OB_bull_63,aVWAP_OB_bear_145,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,17.0148011045,17.2161596974,16.2335297638,16.3221275447,16361588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,16361588.0,False,False,False,False
2022-01-07 00:00:00+00:00,19.0444957214,19.0646315807,17.0429913075,17.0429913075,37496414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37496414,2777512.148148148,False,False,False,False,17927130.666666668,False,False,False,False
2022-01-14 00:00:00+00:00,20.9171306359,21.0097555887,18.5370720672,18.9277077375,38117219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,75613633,8172780.359396433,False,False,False,False,19422692.765432097,False,False,False,False
2022-01-21 00:00:00+00:00,20.4540058721,21.799081273,20.2647287947,21.3883097434,44576400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,96.67451288836068,46.85637546477845,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31037233,9866443.51795966,False,False,False,False,21285930.338363055,False,False,False,False
2022-01-28 00:00:00+00:00,20.4983047626,20.9936469012,19.2377999707,19.6324628129,47191817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,94.33836502449094,44.78438261952742,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,78229050,14930340.294407092,False,False,False,False,23204884.90589172,False,False,False,False
2022-02-04 00:00:00+00:00,21.5735596489,21.9037877414,20.228484248,20.4016526379,31686564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,93.44075127421807,44.1311317824301,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,109915614,21966286.49482138,False,False,False,False,23833157.43138122,False,False,False,False
2022-02-11 00:00:00+00:00,21.3601195404,21.7527687967,20.1861989435,21.4970433836,37478990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.56115842736438,42.53063232934794,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,72436624,25704830.0137235,False,False,False,False,24843959.8438715,False,False,False,False
2022-02-18 00:00:00+00:00,20.8889404329,22.0407115846,20.6150927465,21.2916576188,29059767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,87.71056852634494,39.089154413428346,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,43376857,27013869.04974398,False,False,False,False,25156241.855436575,False,False,False,False
2022-02-25 00:00:00+00:00,22.0527931002,22.1071599203,20.5748210279,21.4124727746,35502267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.28145613822093,38.029882568136244,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,78879124,30855739.786799982,False,False,False,False,25922614.088367198,False,False,False,False
2022-03-04 00:00:00+00:00,23.7522596247,24.4262068353,21.9360051162,22.0527931002,50841515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.48684520601975,38.029882568136244,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,129720639,38179065.65444443,False,False,False,False,27768458.600339998,False,False,False,False
