date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_peak_168,aVWAP_peak_162,aVWAP_peak_154,aVWAP_peak_148,aVWAP_peak_133,aVWAP_peak_125,aVWAP_peak_119,aVWAP_peak_103,aVWAP_peak_94,aVWAP_peak_81,aVWAP_peak_67,aVWAP_peak_46,aVWAP_peak_40,aVWAP_peak_32,aVWAP_peak_23,aVWAP_peak_16,aVWAP_peak_11,aVWAP_valley_187,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_161,aVWAP_valley_157,aVWAP_valley_136,aVWAP_valley_111,aVWAP_valley_107,aVWAP_valley_96,aVWAP_valley_91,aVWAP_valley_77,aVWAP_valley_64,aVWAP_valley_51,aVWAP_valley_39,aVWAP_valley_30,aVWAP_valley_19,aVWAP_valley_4,aVWAP_OB_bull_171,aVWAP_OB_bull_111,aVWAP_OB_bear_46,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,10.9871307269,11.570605716,10.6113332763,11.3728175841,17939835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,17939835.0,False,False,False,False
2022-01-07 00:00:00+00:00,10.2058676059,11.2492000017,9.9883006608,10.8486790346,20476533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20476533,-1516780.2222222222,False,False,False,False,18127738.555555556,False,False,False,False
2022-01-14 00:00:00+00:00,10.5816650565,11.1453612324,9.9807847118,10.1959781993,15408457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.717013296835972,-74.29253324208993,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5068076,-1779839.1687242799,False,False,False,False,17926310.29218107,False,False,False,False
2022-01-21 00:00:00+00:00,10.8684578478,11.985960793,10.324540485,10.6113332763,32483413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.76007659421527,-63.321988304115344,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,27415337,382766.4734034445,False,False,False,False,19004614.196463954,False,False,False,False
2022-01-28 00:00:00+00:00,9.4344938915,10.6410014961,9.1858742097,10.5816650565,33874735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.753789865766667,,,,9.753789865766667,#000000,,9.753789865766667,,21.209912976805818,-62.419741953580534,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6459398,-124060.52462644025,False,False,False,False,20106104.626355514,False,False,False,False
2022-02-04 00:00:00+00:00,9.7707337157,10.4501359488,9.4740515179,9.5630561772,21807929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.810389541539472,,,,9.810389541539472,#000000,,9.810389541539472,,24.17439922556239,-58.74553630655823,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15348531,1022057.3660866295,False,False,False,False,20232165.691069923,False,False,False,False
2022-02-11 00:00:00+00:00,11.0662459797,11.1849188588,9.8992960015,9.9388536278,21868010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06598804804584,,,,10.06598804804584,#000000,,10.06598804804584,,32.73524779436683,-49.59510623687369,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37216541,3703130.22785799,False,False,False,False,20353339.343583263,False,False,False,False
2022-02-18 00:00:00+00:00,11.5310480896,12.1343018919,10.6953932324,11.1898635621,28842390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.442154478763314,,,,10.442154478763314,#000000,,10.442154478763314,,40.32380925750306,-41.464984110403265,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,66058931,8322078.433201843,False,False,False,False,20982157.910725243,False,False,False,False
2022-02-25 00:00:00+00:00,11.1849188588,12.1639701117,10.7102273422,11.6596103754,27367040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.628519516714213,,,,10.628519516714213,#000000,,10.628519516714213,,44.349208087386856,-36.74839199978996,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,38691891,10571694.178890595,False,False,False,False,21455112.139560413,False,False,False,False
2022-03-04 00:00:00+00:00,12.0848548589,12.2430853645,10.9277942873,11.3629281775,33201340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.851913124335168,,,,10.851913124335168,#000000,,10.851913124335168,,49.65473039745419,-30.717920584133765,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,71893231,15114030.239713514,False,False,False,False,22325203.092185568,False,False,False,False
