date,Close,High,Low,Open,Volume,aVWAP_peak_174,aVWAP_peak_169,aVWAP_peak_165,aVWAP_peak_141,aVWAP_peak_128,aVWAP_peak_115,aVWAP_peak_106,aVWAP_peak_87,aVWAP_peak_82,aVWAP_peak_73,aVWAP_peak_57,aVWAP_peak_50,aVWAP_peak_30,aVWAP_peak_23,aVWAP_peak_13,aVWAP_peak_7,aVWAP_valley_179,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_150,aVWAP_valley_132,aVWAP_valley_122,aVWAP_valley_109,aVWAP_valley_95,aVWAP_valley_85,aVWAP_valley_62,aVWAP_valley_41,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_10,aVWAP_valley_4,aVWAP_OB_bull_182,aVWAP_OB_bull_171,aVWAP_OB_bull_122,aVWAP_OB_bull_109,aVWAP_OB_bull_62,aVWAP_OB_bear_141,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,86.0308280366,87.67007476,85.9222032537,87.0380760232,2624485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2624485.0,False,False,False,False
2022-01-07 00:00:00+00:00,79.5528409852,86.2480776023,79.4254537398,85.704953688,3298572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3298572,-244338.66666666666,False,False,False,False,2674417.3703703703,False,False,False,False
2022-01-14 00:00:00+00:00,77.6074698737,78.7825925248,75.8398484069,76.5113470647,5070201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8368773,-846148.6172839506,False,False,False,False,2851882.8244170095,False,False,False,False
2022-01-21 00:00:00+00:00,76.2052226766,78.7787412825,75.7114736635,77.656844775,3563254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11932027,-1667324.7937814356,False,False,False,False,2904576.985571305,False,False,False,False
2022-01-28 00:00:00+00:00,74.2401016046,75.2670995517,72.1466057892,74.1117268612,4736776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.88460231516666,,,,,,,73.88460231516666,,73.88460231516666,#000000,,73.88460231516666,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16668803,-2778545.4016494774,False,False,False,False,3040295.4310845416,False,False,False,False
2022-02-04 00:00:00+00:00,76.2644725581,78.6048428801,74.2697265454,74.2697265454,3712126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.98084478553113,,,,,,,74.98084478553113,,74.98084478553113,#000000,,74.98084478553113,,4.9958788946978165,-45.27733323235597,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12956677,-3532481.0756013677,False,False,False,False,3090060.6584116123,False,False,False,False
2022-02-11 00:00:00+00:00,75.5435989991,78.3875933143,74.5561009729,75.691723703,4157302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.37051094747244,,,,,,,75.37051094747244,,75.37051094747244,#000000,,75.37051094747244,,8.25191680669348,-42.40426898896291,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17113979,-4538517.958890155,False,False,False,False,3169115.5726033445,False,False,False,False
2022-02-18 00:00:00+00:00,75.2572245715,79.6515907878,74.7832255189,75.4547241767,4882442,,,,,,,,,,,,,,,,76.56401362606667,,,,,,,,,,,,,,,75.70371041900849,,,,,,,76.13386202253758,76.56401362606667,75.70371041900849,#000000,,76.13386202253758,,10.456219374777763,-40.60347552953748,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21996421,-5831695.961935329,False,False,False,False,3296028.641299393,False,False,False,False
2022-02-25 00:00:00+00:00,76.4718471436,76.4915971041,71.80098148,74.82272544,3265831,,,,,,,,,,,,,,,,75.90568360060922,,,,,,,,,,,,,,,75.58062141568095,,,,,,,75.74315250814509,75.90568360060922,75.58062141568095,#000000,,75.74315250814509,,14.56158610980416,-37.01499996626983,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18730590,-6787169.594384564,False,False,False,False,3293791.778980919,False,False,False,False
2022-03-04 00:00:00+00:00,74.5561009729,76.774811538,73.2822285192,76.0373480121,3483583,,,,,,,,,,,,,,,,75.59582398421541,,,,,,,,,,,,,,,75.47863877611536,,,,,,,75.5372313801654,75.59582398421541,75.47863877611536,#000000,,75.5372313801654,,16.421549880483322,-35.62786361023883,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22214173,-7929910.587393114,False,False,False,False,3307850.3879452953,False,False,False,False
