date,Open,High,Low,Close,Volume,aVWAP_peak_424,aVWAP_peak_371,aVWAP_peak_301,aVWAP_peak_269,aVWAP_peak_247,aVWAP_peak_230,aVWAP_peak_214,aVWAP_peak_188,aVWAP_peak_154,aVWAP_peak_116,aVWAP_peak_83,aVWAP_peak_35,aVWAP_peak_34,aVWAP_valley_407,aVWAP_valley_359,aVWAP_valley_294,aVWAP_valley_262,aVWAP_valley_261,aVWAP_valley_180,aVWAP_valley_161,aVWAP_valley_145,aVWAP_valley_120,aVWAP_valley_62,aVWAP_valley_39,aVWAP_OB_bull_439,aVWAP_OB_bear_188,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-27 17:00:00+00:00,23.9,23.9,23.9,23.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1.0,False,False,False,False
2023-11-28 17:00:00+00:00,23.9,23.9,23.9,23.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.9844961240310077,False,False,False,False
2023-11-29 17:00:00+00:00,23.595,23.97,23.595,23.79,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33.0,-0.5116279069767442,False,False,False,False,1.4808605252088216,False,False,False,False
2023-11-30 17:00:00+00:00,23.79,23.79,23.79,23.79,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33.0,-1.0153235983414457,False,False,False,False,1.4579014472986074,False,False,False,False
2023-12-01 17:00:00+00:00,22.625,22.625,21.9,21.9,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-68.0,-2.053845713095842,False,False,False,False,1.9779339829994043,False,False,False,False
2023-12-04 17:00:00+00:00,21.67,22.67,21.67,21.865,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-168.0,-4.626654306691256,False,False,False,False,3.4976559367513516,False,False,False,False
2023-12-05 17:00:00+00:00,21.865,22.255,21.7,21.7,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-198.0,-7.624690674029376,False,False,False,False,3.9085449919955164,False,False,False,False
2023-12-06 17:00:00+00:00,22.73,22.73,22.25,22.36,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.897557667144785,-41.09219809956969,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19.0,-7.21190477210644,False,False,False,False,7.21228848049171,False,False,False,False
2023-12-07 17:00:00+00:00,22.36,22.93,22.36,22.93,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,21.743165184038187,-31.02500479439432,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,256.0,-3.1311000469575028,False,False,False,False,10.774888659088736,False,False,False,False
2023-12-08 17:00:00+00:00,22.55,23.53,22.55,23.53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,33.45210951043185,-21.514413197002256,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,257.0,0.90194026384804,False,False,False,False,10.623339997707514,False,False,False,False
