date,Open,High,Low,Close,Volume,aVWAP_peak_853,aVWAP_peak_829,aVWAP_peak_812,aVWAP_peak_798,aVWAP_peak_770,aVWAP_peak_715,aVWAP_peak_690,aVWAP_peak_672,aVWAP_peak_630,aVWAP_peak_593,aVWAP_peak_553,aVWAP_peak_528,aVWAP_peak_503,aVWAP_peak_462,aVWAP_peak_384,aVWAP_peak_348,aVWAP_peak_300,aVWAP_peak_280,aVWAP_peak_240,aVWAP_peak_162,aVWAP_peak_145,aVWAP_peak_93,aVWAP_peak_48,aVWAP_peak_28,aVWAP_peak_12,aVWAP_valley_826,aVWAP_valley_809,aVWAP_valley_785,aVWAP_valley_722,aVWAP_valley_682,aVWAP_valley_648,aVWAP_valley_614,aVWAP_valley_595,aVWAP_valley_569,aVWAP_valley_550,aVWAP_valley_536,aVWAP_valley_517,aVWAP_valley_480,aVWAP_valley_422,aVWAP_valley_371,aVWAP_valley_333,aVWAP_valley_287,aVWAP_valley_260,aVWAP_valley_217,aVWAP_valley_185,aVWAP_valley_156,aVWAP_valley_102,aVWAP_valley_78,aVWAP_valley_23,aVWAP_OB_bull_722,aVWAP_OB_bull_371,aVWAP_OB_bear_829,aVWAP_OB_bear_384,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-11 14:00:00+00:00,72.765,73.07,71.78,72.115,37762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,37762.0,False,False,False,False
2025-04-11 15:00:00+00:00,72.115,72.66,71.985,72.52,29510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,29510.0,457.51937984496124,False,False,False,False,37634.06201550388,False,False,False,False
2025-04-11 16:00:00+00:00,72.52,72.87,72.21,72.8,21680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,51190.0,1244.0694669791478,False,False,False,False,37386.71221681389,False,False,False,False
2025-04-11 17:00:00+00:00,72.8,73.285,72.465,73.02,15203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,66393.0,2254.130405475595,False,False,False,False,37042.778694072585,False,False,False,False
2025-04-11 18:00:00+00:00,73.06,73.365,72.96,73.135,31027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,97420.0,3729.5702441503918,False,False,False,False,36949.51080734278,False,False,False,False
2025-04-11 19:00:00+00:00,73.135,73.755,73.0,73.565,61031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,158451.0,6128.3521008302305,False,False,False,False,37322.86722893436,False,False,False,False
2025-04-14 14:00:00+00:00,73.71,74.27,73.57,74.03,49647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,208098.0,9259.664471359994,False,False,False,False,37513.939054842354,False,False,False,False
2025-04-14 15:00:00+00:00,74.035,74.09,73.115,73.115,22822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.39215430120115,37.75293887108103,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,185276.0,11988.599905912552,False,False,False,False,37286.15705399209,False,False,False,False
2025-04-14 16:00:00+00:00,73.055,73.64,72.86,73.475,14069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,79.40281204016784,32.27900157807899,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,199345.0,14893.35029496817,False,False,False,False,36926.20113067438,False,False,False,False
2025-04-14 17:00:00+00:00,73.48,73.955,73.325,73.87,11056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,76.57454096852318,30.58836921162235,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,210401.0,17924.476646984167,False,False,False,False,36525.11274105152,False,False,False,False
