date,Close,High,Low,Open,Volume,aVWAP_peak_888,aVWAP_peak_827,aVWAP_peak_811,aVWAP_peak_789,aVWAP_peak_775,aVWAP_peak_738,aVWAP_peak_703,aVWAP_peak_663,aVWAP_peak_641,aVWAP_peak_597,aVWAP_peak_571,aVWAP_peak_533,aVWAP_peak_498,aVWAP_peak_463,aVWAP_peak_428,aVWAP_peak_401,aVWAP_peak_386,aVWAP_peak_354,aVWAP_peak_339,aVWAP_peak_321,aVWAP_peak_260,aVWAP_peak_217,aVWAP_peak_189,aVWAP_peak_173,aVWAP_peak_162,aVWAP_peak_152,aVWAP_peak_107,aVWAP_peak_74,aVWAP_valley_836,aVWAP_valley_817,aVWAP_valley_793,aVWAP_valley_759,aVWAP_valley_722,aVWAP_valley_672,aVWAP_valley_649,aVWAP_valley_616,aVWAP_valley_580,aVWAP_valley_554,aVWAP_valley_508,aVWAP_valley_489,aVWAP_valley_453,aVWAP_valley_408,aVWAP_valley_396,aVWAP_valley_372,aVWAP_valley_351,aVWAP_valley_350,aVWAP_valley_328,aVWAP_valley_317,aVWAP_valley_297,aVWAP_valley_287,aVWAP_valley_243,aVWAP_valley_196,aVWAP_valley_183,aVWAP_valley_159,aVWAP_valley_126,aVWAP_valley_112,aVWAP_valley_90,aVWAP_valley_23,aVWAP_OB_bull_649,aVWAP_OB_bull_554,aVWAP_OB_bull_453,aVWAP_OB_bear_401,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,40.4907082945,41.1473734355,40.2721841211,40.8002842068,36895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,36895.0,False,False,False,False
2022-01-04 00:00:00+00:00,40.19934273,40.7253486257,39.6503007443,40.5726548595,44417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-44417,-1741.8431372549019,False,False,False,False,37189.98039215687,False,False,False,False
2022-01-05 00:00:00+00:00,39.6166116009,40.9905823411,39.5619805576,39.9626082088,51710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-96127,-5443.22183775471,False,False,False,False,37759.39292579777,False,False,False,False
2022-01-06 00:00:00+00:00,38.1779941261,40.0536599477,37.8593130399,39.3343512103,75892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-172019,-11975.605295097663,False,False,False,False,39254.78928164884,False,False,False,False
2022-01-07 00:00:00+00:00,37.5133164321,38.2326251695,37.1829807233,37.8957337355,96943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-268962,-22053.50312666246,False,False,False,False,41517.07205491751,False,False,False,False
2022-01-10 00:00:00+00:00,36.8850594336,37.2488111305,36.4206955651,37.1126887808,88444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-357406,-35204.5814354208,False,False,False,False,43357.3437390384,False,False,False,False
2022-01-11 00:00:00+00:00,37.6316836926,38.3692027778,36.7484818252,36.9852163464,57405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.056532637445011,-43.53151174900874,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-300001,-45588.754712463124,False,False,False,False,43908.23221986042,False,False,False,False
2022-01-12 00:00:00+00:00,37.1673198242,38.3509924301,37.0944784331,37.9958906483,30529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.86817530166875,-40.429535564439476,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-330530,-56762.92119432732,False,False,False,False,43383.556446532566,False,False,False,False
2022-01-13 00:00:00+00:00,36.5208524779,37.4677905626,36.3296438262,37.3312129542,43621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.408938195454379,-39.47394599861526,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-374151,-69209.51252003998,False,False,False,False,43392.86795843325,False,False,False,False
2022-01-14 00:00:00+00:00,35.5557040454,36.3387490001,35.2188126115,36.3387490001,61196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.349526152075029,-39.47394599861526,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-435347,-83567.84536239135,False,False,False,False,44091.029999279,False,False,False,False
