date,Close,High,Low,Open,Volume,aVWAP_peak_36,aVWAP_valley_42,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_18,aVWAP_OB_bull_42,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,42.9329433053,42.9329433053,42.8988017997,42.9073371761,2290170,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2290170.0,False,False,False,False
2022-01-07 00:00:00+00:00,42.8902664233,42.9244079289,42.8902664233,42.9073371761,2420313,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2420313,-179282.44444444444,False,False,False,False,2299810.2222222225,False,False,False,False
2022-01-14 00:00:00+00:00,42.8731956705,42.8988017997,42.8731956705,42.8902664233,2585566,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5005879,-536808.1152263375,False,False,False,False,2320977.316872428,False,False,False,False
2022-01-21 00:00:00+00:00,42.8561249177,42.8732810243,42.8475895413,42.8646602941,2074673,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7080552,-1021529.8844688309,False,False,False,False,2302732.5526596555,False,False,False,False
2022-01-28 00:00:00+00:00,42.8136748625,42.8819854725,42.8136748625,42.8563689938,3612665,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10693217,-1737951.1522859544,False,False,False,False,2399764.585795977,False,False,False,False
2022-02-04 00:00:00+00:00,42.7965972099,42.830752515,42.7880583837,42.8136748625,3904099,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14597316,-2690496.6965610688,False,False,False,False,2511196.764625905,False,False,False,False
2022-02-11 00:00:00+00:00,42.7453642524,42.8051360362,42.7282865999,42.7965972099,4131538,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18728854,-3878523.1634824714,False,False,False,False,2631222.0413202825,False,False,False,False
2022-02-18 00:00:00+00:00,42.7539030786,42.7709807312,42.7282865999,42.7282865999,2124097,,,,,,,,#000000,,,,1.534369825837148,-48.54954102401332,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16604757,-4821207.151372658,False,False,False,False,2593657.2234447063,False,False,False,False
2022-02-25 00:00:00+00:00,42.7282865999,42.7539133211,42.711202119,42.7368288403,2313358,,,,,,,,#000000,,,,2.4044792970747917,-47.78994880187184,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18918115,-5865422.547567276,False,False,False,False,2572894.3180043576,False,False,False,False
2022-03-04 00:00:00+00:00,42.7368288403,42.7880822828,42.711202119,42.7197443594,2424516,,,,,,,,#000000,,,,4.388225415180753,-45.996265629393,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16493599,-6652694.877377108,False,False,False,False,2561903.3314855164,False,False,False,False
