date,Close,High,Low,Open,Volume,aVWAP_peak_188,aVWAP_peak_183,aVWAP_peak_170,aVWAP_peak_166,aVWAP_peak_153,aVWAP_peak_142,aVWAP_peak_136,aVWAP_peak_128,aVWAP_peak_114,aVWAP_peak_104,aVWAP_peak_78,aVWAP_peak_63,aVWAP_peak_57,aVWAP_peak_49,aVWAP_peak_31,aVWAP_valley_192,aVWAP_valley_185,aVWAP_valley_177,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_151,aVWAP_valley_131,aVWAP_valley_121,aVWAP_valley_112,aVWAP_valley_95,aVWAP_valley_86,aVWAP_valley_73,aVWAP_valley_61,aVWAP_valley_52,aVWAP_valley_43,aVWAP_valley_24,aVWAP_valley_19,aVWAP_OB_bear_170,aVWAP_OB_bear_142,aVWAP_OB_bear_49,aVWAP_OB_bear_31,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,121.1581296315,122.9565489829,119.4467710505,121.6514163022,915043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,915043.0,False,False,False,False
2022-01-07 00:00:00+00:00,115.4463892346,120.1023230733,114.6683809593,119.6090364027,1472187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1472187,-109050.88888888888,False,False,False,False,956312.925925926,False,False,False,False
2022-01-14 00:00:00+00:00,115.1954188232,117.6099272637,114.5550115666,114.9011776513,1691471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3163658,-335318.0823045267,False,False,False,False,1010769.0795610426,False,False,False,False
2022-01-21 00:00:00+00:00,116.9349033986,117.3416485481,113.1530389237,114.1049956565,782503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.1517523571513255,-43.23935909988039,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2381155,-486861.5576893766,False,False,False,False,993860.4810750395,False,False,False,False
2022-01-28 00:00:00+00:00,116.3983459674,117.4974232862,113.6636338986,117.4454983735,2514622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,11.713718234493873,-39.2202093242288,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4895777,-813447.8867494228,False,False,False,False,1106509.4824768885,False,False,False,False
2022-02-04 00:00:00+00:00,112.0193449965,116.8828919444,111.7424121287,115.3858101698,1736633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.326724610073608,-39.04172769456567,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6632410,-1244482.1173605765,False,False,False,False,1153185.2985897115,False,False,False,False
2022-02-11 00:00:00+00:00,111.0154633509,112.4001276896,108.2635295194,111.9154951711,3307171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.409927114904683,-39.04172769456567,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9939581,-1888563.516074608,False,False,False,False,1312739.7949904737,False,False,False,False
2022-02-18 00:00:00+00:00,110.9895008946,111.1366214806,107.3634111578,110.1154315308,656041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.460432438811399,-39.04172769456567,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10595622,-2533530.8111801925,False,False,False,False,1264095.4398059943,False,False,False,False
2022-02-25 00:00:00+00:00,109.5529116432,111.8722244105,108.6788422795,110.5654474409,369079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.036243765380274,-39.04172769456567,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10964701,-3158061.9362779562,False,False,False,False,1197797.925746291,False,False,False,False
2022-03-04 00:00:00+00:00,112.6337897967,114.8405985864,108.6096090625,110.7818012438,2567778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.513503616738973,-34.9398960748706,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8396923,-3546125.718775885,False,False,False,False,1299277.9312465657,False,False,False,False
