date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_159,aVWAP_peak_153,aVWAP_peak_144,aVWAP_peak_127,aVWAP_peak_116,aVWAP_peak_105,aVWAP_peak_91,aVWAP_peak_83,aVWAP_peak_67,aVWAP_peak_58,aVWAP_peak_45,aVWAP_peak_34,aVWAP_peak_15,aVWAP_valley_183,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_148,aVWAP_valley_141,aVWAP_valley_132,aVWAP_valley_123,aVWAP_valley_108,aVWAP_valley_101,aVWAP_valley_86,aVWAP_valley_74,aVWAP_valley_64,aVWAP_valley_53,aVWAP_valley_44,aVWAP_valley_39,aVWAP_valley_28,aVWAP_valley_19,aVWAP_OB_bull_171,aVWAP_OB_bear_45,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,65.7815472023,69.4897751386,65.1495685063,67.3800815508,9616205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,9616205.0,False,False,False,False
2022-01-07 00:00:00+00:00,64.2573632886,67.2034992681,61.9524998093,66.487876333,13458625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13458625,-996935.1851851852,False,False,False,False,9900828.703703703,False,False,False,False
2022-01-14 00:00:00+00:00,61.7480361136,65.8094286153,59.3130593734,63.5975031796,13902144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27360769,-2949811.7640603567,False,False,False,False,10197222.42935528,False,False,False,False
2022-01-21 00:00:00+00:00,61.3391087221,64.4599682234,58.64390546,61.785211331,16719466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-44080235,-5996509.781537367,False,False,False,False,10680351.582736371,False,False,False,False
2022-01-28 00:00:00+00:00,66.0789489415,67.3522001377,60.2889088303,60.4097282869,25498053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.84531693432344,-35.02122383552237,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18582182,-6928781.797719784,False,False,False,False,11777959.09512627,False,False,False,False
2022-02-04 00:00:00+00:00,69.7592954648,70.4563307912,63.0119935054,65.5213206804,19486811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.181218537548226,-21.173909928608303,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,904629,-6348529.146036836,False,False,False,False,12348985.162153954,False,False,False,False
2022-02-11 00:00:00+00:00,71.3206545959,71.7853448135,65.5399082891,69.6663574213,16291181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,43.228298285988274,-10.888555926615268,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17195810,-4604504.024108182,False,False,False,False,12640999.668661067,False,False,False,False
2022-02-18 00:00:00+00:00,68.3815806592,72.1147091243,62.4832376844,70.4534669573,23325279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.60058845376106,-8.039870804944115,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6129469,-4717464.392692761,False,False,False,False,13432427.767278766,False,False,False,False
2022-02-25 00:00:00+00:00,74.1959282436,74.4852456996,67.8776083164,70.780115698,19645992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,54.27551379450994,-2.808358381271738,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13516523,-3366798.659900704,False,False,False,False,13892691.784517376,False,False,False,False
2022-03-04 00:00:00+00:00,85.1619931097,85.7592936642,73.9999389991,74.8212272615,29299673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,62.17311565169035,3.662915862454014,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,42816196,54163.90749934781,False,False,False,False,15033949.652330903,False,False,False,False
