date,Close,High,Low,Open,Volume,aVWAP_peak_890,aVWAP_peak_839,aVWAP_peak_815,aVWAP_peak_790,aVWAP_peak_718,aVWAP_peak_687,aVWAP_peak_664,aVWAP_peak_646,aVWAP_peak_613,aVWAP_peak_594,aVWAP_peak_561,aVWAP_peak_548,aVWAP_peak_533,aVWAP_peak_490,aVWAP_peak_386,aVWAP_peak_359,aVWAP_peak_328,aVWAP_peak_299,aVWAP_peak_272,aVWAP_peak_238,aVWAP_peak_214,aVWAP_peak_180,aVWAP_peak_155,aVWAP_peak_101,aVWAP_peak_74,aVWAP_peak_12,aVWAP_valley_849,aVWAP_valley_819,aVWAP_valley_769,aVWAP_valley_746,aVWAP_valley_723,aVWAP_valley_696,aVWAP_valley_674,aVWAP_valley_649,aVWAP_valley_626,aVWAP_valley_573,aVWAP_valley_553,aVWAP_valley_536,aVWAP_valley_524,aVWAP_valley_468,aVWAP_valley_442,aVWAP_valley_410,aVWAP_valley_398,aVWAP_valley_378,aVWAP_valley_339,aVWAP_valley_306,aVWAP_valley_305,aVWAP_valley_287,aVWAP_valley_253,aVWAP_valley_241,aVWAP_valley_229,aVWAP_valley_196,aVWAP_valley_169,aVWAP_valley_117,aVWAP_valley_90,aVWAP_valley_36,aVWAP_valley_18,aVWAP_OB_bull_819,aVWAP_OB_bull_573,aVWAP_OB_bear_272,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,76.8558515391,79.712873646,75.6817328651,78.8714219296,301699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,301699.0,False,False,False,False
2022-01-04 00:00:00+00:00,77.1298125631,78.4311274268,74.3412807122,77.1591655299,332804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,332804,13051.13725490196,False,False,False,False,302918.8039215687,False,False,False,False
2022-01-05 00:00:00+00:00,75.163163784,77.6190286773,75.094673528,77.335283331,390622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,70.41348855936738,-68.34604576253048,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-57818,10271.95540176855,False,False,False,False,306358.1449442523,False,False,False,False
2022-01-06 00:00:00+00:00,75.0359675943,76.1122430456,73.751970981,75.57410532,349722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,50.46659914003169,-68.34604576253048,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-407540,-6112.8271630066865,False,False,False,False,308058.68827977177,False,False,False,False
2022-01-07 00:00:00+00:00,74.3510650345,75.0163989498,72.5703183788,73.715084086,345198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.251475777260914,-68.34604576253048,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-752738,-35392.245705633875,False,False,False,False,309515.1318766435,False,False,False,False
2022-01-10 00:00:00+00:00,73.9303391763,74.2532218116,72.9665834313,73.6172408632,274561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,26.384824446935472,-68.34604576253048,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1027299,-74290.54979560901,False,False,False,False,308144.3816069712,False,False,False,False
2022-01-11 00:00:00+00:00,75.4077718411,75.4566934525,73.3530641615,73.783574342,329759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.200751076746446,-68.34604576253048,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-697540,-98731.70470558513,False,False,False,False,308992.0137008155,False,False,False,False
2022-01-12 00:00:00+00:00,74.6250260584,76.5134002592,74.507614191,75.6034582868,289427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.017678802443385,-68.34604576253048,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-986967,-133564.4613837975,False,False,False,False,308224.7582615678,False,False,False,False
2022-01-13 00:00:00+00:00,74.2238688448,75.6915171874,73.4313387398,75.505615064,198008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.55049079299442,-68.34604576253048,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1184975,-174796.24721188386,False,False,False,False,303902.5324473887,False,False,False,False
2022-01-14 00:00:00+00:00,74.9185557269,75.2610070069,73.1573777159,73.9107705317,334202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.63025557179675,-68.34604576253048,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-850773,-201305.1394780845,False,False,False,False,305090.7468612166,False,False,False,False
