date,Open,High,Low,Close,Volume,aVWAP_peak_871,aVWAP_peak_844,aVWAP_peak_798,aVWAP_peak_772,aVWAP_peak_744,aVWAP_peak_708,aVWAP_peak_686,aVWAP_peak_647,aVWAP_peak_618,aVWAP_peak_569,aVWAP_peak_553,aVWAP_peak_503,aVWAP_peak_468,aVWAP_peak_402,aVWAP_peak_372,aVWAP_peak_340,aVWAP_peak_311,aVWAP_peak_252,aVWAP_peak_206,aVWAP_peak_180,aVWAP_peak_162,aVWAP_peak_107,aVWAP_peak_77,aVWAP_peak_42,aVWAP_peak_17,aVWAP_valley_878,aVWAP_valley_852,aVWAP_valley_821,aVWAP_valley_796,aVWAP_valley_767,aVWAP_valley_728,aVWAP_valley_681,aVWAP_valley_631,aVWAP_valley_615,aVWAP_valley_594,aVWAP_valley_563,aVWAP_valley_528,aVWAP_valley_484,aVWAP_valley_422,aVWAP_valley_389,aVWAP_valley_353,aVWAP_valley_330,aVWAP_valley_294,aVWAP_valley_219,aVWAP_valley_192,aVWAP_valley_153,aVWAP_valley_137,aVWAP_valley_101,aVWAP_valley_60,aVWAP_valley_24,aVWAP_OB_bull_821,aVWAP_OB_bull_681,aVWAP_OB_bull_422,aVWAP_OB_bull_192,aVWAP_OB_bear_553,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-17 14:00:00+00:00,123.235,124.87,123.04,124.69,7484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,7484.0,False,False,False,False
2025-03-17 15:00:00+00:00,124.69,125.82,124.69,125.43,14603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14603.0,226.4031007751938,False,False,False,False,7594.372093023256,False,False,False,False
2025-03-17 16:00:00+00:00,125.24,125.6,125.095,125.43,7879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14603.0,449.2960759569737,False,False,False,False,7598.784928790336,False,False,False,False
2025-03-17 17:00:00+00:00,125.43,125.81,125.24,125.7,5041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19644.0,746.8883848568655,False,False,False,False,7559.129348499013,False,False,False,False
2025-03-17 18:00:00+00:00,125.74,126.7,125.72,126.455,9606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,29250.0,1188.797092068387,False,False,False,False,7590.863777204454,False,False,False,False
2025-03-17 19:00:00+00:00,126.33,127.07,126.19,126.59,23977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,53227.0,1995.5909356022103,False,False,False,False,7844.912400813687,False,False,False,False
2025-03-18 14:00:00+00:00,124.5,124.55,122.875,123.01,8509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,75.63044449164758,28.067400042482817,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,44718.0,2657.953866833184,False,False,False,False,7855.208332584017,False,False,False,False
2025-03-18 15:00:00+00:00,122.99,124.27,122.62,123.14,13038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,60.09079591226078,15.54388965153585,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,57756.0,3512.1871402156153,False,False,False,False,7935.561691768761,False,False,False,False
2025-03-18 16:00:00+00:00,123.28,124.05,122.91,123.42,6456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,51.28463866732978,9.330552822128439,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,64212.0,4453.269510134753,False,False,False,False,7912.622750811106,False,False,False,False
2025-03-18 17:00:00+00:00,123.42,124.395,123.27,123.84,3718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.61911992891595,7.369154457299139,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,67930.0,5437.4048665667715,False,False,False,False,7847.589839945817,False,False,False,False
