date,Open,High,Low,Close,Volume,aVWAP_peak_389,aVWAP_peak_354,aVWAP_peak_332,aVWAP_peak_311,aVWAP_peak_278,aVWAP_peak_231,aVWAP_peak_195,aVWAP_peak_169,aVWAP_peak_153,aVWAP_peak_108,aVWAP_peak_71,aVWAP_peak_46,aVWAP_peak_19,aVWAP_valley_419,aVWAP_valley_390,aVWAP_valley_369,aVWAP_valley_351,aVWAP_valley_323,aVWAP_valley_291,aVWAP_valley_273,aVWAP_valley_260,aVWAP_valley_219,aVWAP_valley_200,aVWAP_valley_197,aVWAP_valley_113,aVWAP_valley_92,aVWAP_valley_65,aVWAP_valley_52,aVWAP_OB_bull_419,aVWAP_OB_bull_369,aVWAP_OB_bear_332,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-08 17:00:00+00:00,2.31,2.35,2.275,2.33,6314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,6314.0,False,False,False,False
2023-11-09 17:00:00+00:00,2.19,2.31,2.125,2.13,5001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5001.0,-77.53488372093022,False,False,False,False,6293.643410852713,False,False,False,False
2023-11-10 17:00:00+00:00,2.045,2.055,2.01,2.01,2489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7490.0,-192.4568235082026,False,False,False,False,6234.656691304608,False,False,False,False
2023-11-13 17:00:00+00:00,2.065,2.08,2.03,2.07,2353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.159695817490496,-44.456273764258555,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5137.0,-269.1164076398584,False,False,False,False,6174.4759674084125,False,False,False,False
2023-11-14 17:00:00+00:00,2.14,2.14,2.085,2.1,3127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.824765854475466,-38.82729248002151,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2010.0,-296.1068509322637,False,False,False,False,6127.228277991228,False,False,False,False
2023-11-15 17:00:00+00:00,2.135,2.155,2.115,2.125,4485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,19.26473892989761,-33.62833118052038,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2475.0,-253.14395401858516,False,False,False,False,6101.767374456481,False,False,False,False
2023-11-16 17:00:00+00:00,2.005,2.09,2.0,2.07,2574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,21.766631018513316,-32.05515303293897,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-99.0,-250.75412527411095,False,False,False,False,6047.07330663545,False,False,False,False
2023-11-17 17:00:00+00:00,2.055,2.09,2.055,2.06,2906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,23.13948551011252,-31.261089550703538,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3005.0,-293.4556117039697,False,False,False,False,5998.374495679861,False,False,False,False
2023-11-20 17:00:00+00:00,2.1,2.105,2.07,2.075,1932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,25.36041755164856,-29.456653956881283,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1073.0,-305.54157121243526,False,False,False,False,5935.329929855367,False,False,False,False
2023-11-21 17:00:00+00:00,2.03,2.06,2.01,2.04,4179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,25.630739083765334,-29.28723944417181,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5252.0,-382.23084917813395,False,False,False,False,5908.10000846226,False,False,False,False
