date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_168,aVWAP_peak_154,aVWAP_peak_143,aVWAP_peak_132,aVWAP_peak_127,aVWAP_peak_118,aVWAP_peak_104,aVWAP_peak_90,aVWAP_peak_83,aVWAP_peak_76,aVWAP_peak_71,aVWAP_peak_57,aVWAP_peak_32,aVWAP_peak_22,aVWAP_peak_13,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_155,aVWAP_valley_136,aVWAP_valley_128,aVWAP_valley_120,aVWAP_valley_107,aVWAP_valley_95,aVWAP_valley_85,aVWAP_valley_79,aVWAP_valley_74,aVWAP_valley_63,aVWAP_valley_41,aVWAP_valley_28,aVWAP_valley_19,aVWAP_valley_10,aVWAP_valley_4,aVWAP_OB_bull_182,aVWAP_OB_bull_171,aVWAP_OB_bull_155,aVWAP_OB_bull_136,aVWAP_OB_bull_120,aVWAP_OB_bull_107,aVWAP_OB_bull_95,aVWAP_OB_bull_63,aVWAP_OB_bull_41,aVWAP_OB_bear_90,aVWAP_OB_bear_32,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,42.7309359636,42.9612212538,42.425070747,42.425070747,144917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,144917.0,False,False,False,False
2022-01-07 00:00:00+00:00,43.5542728951,43.7480653605,42.8402414863,42.9439260762,74173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,74173,5494.296296296296,False,False,False,False,139676.7037037037,False,False,False,False
2022-01-14 00:00:00+00:00,44.1793206149,44.456908216,42.9699553185,43.142820619,104179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,178352,18298.57064471879,False,False,False,False,137047.24417009603,False,False,False,False
2022-01-21 00:00:00+00:00,42.8488025992,44.0335222674,42.8488025992,43.6789711258,162512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,85.5518222290979,36.34195695094411,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15840,18116.454300665548,False,False,False,False,138933.52237971855,False,False,False,False
2022-01-28 00:00:00+00:00,42.381832803,42.9266308986,41.5507995174,42.1569954937,154810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.28642107300001,,,,,,,,,,,,42.28642107300001,,42.28642107300001,#000000,,42.28642107300001,,72.97515656782105,25.045678734402983,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-138970,6480.420648764397,False,False,False,False,140109.55775899865,False,False,False,False
2022-02-04 00:00:00+00:00,43.142820619,43.4714289942,42.2607665595,42.2780617371,117385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.57618779718679,,,,,,,,,,,,42.57618779718679,,42.57618779718679,#000000,,42.57618779718679,,67.6354886009695,20.94596858801158,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21585,4401.500600707775,False,False,False,False,138426.25718425802,False,False,False,False
2022-02-11 00:00:00+00:00,43.3417151619,44.3356690208,43.2206489184,43.4152196668,118940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8974551577764,,,,,,,,,,,,42.8974551577764,,42.8974551577764,#000000,,42.8974551577764,,64.57330043956277,18.948860298174054,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,97355,11286.945000655347,False,False,False,False,136982.83072616483,False,False,False,False
2022-02-18 00:00:00+00:00,42.9575892665,43.6962663035,42.7676017402,42.9871640203,129957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.958065432509855,,,,,,,,,,,,42.958065432509855,,42.958065432509855,#000000,,42.958065432509855,,60.655099696430945,15.992019812061628,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32602,8035.912037643839,False,False,False,False,136462.398820523,False,False,False,False
2022-02-25 00:00:00+00:00,42.4272326443,42.7450315334,40.5398963845,42.5980225234,83323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.81276223102585,,,,,,,,,,,,42.81276223102585,,42.81276223102585,#000000,,42.81276223102585,,55.87961486342897,12.13034637583818,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-115925,-1146.377742922371,False,False,False,False,132526.14705603983,False,False,False,False
2022-03-04 00:00:00+00:00,39.7114573756,41.9926913061,39.3984146603,41.5430166875,91066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.49258335113829,,,,,,,,,,,,42.49258335113829,,42.49258335113829,#000000,,42.49258335113829,,47.10304545626153,4.435714778902387,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-206991,-16394.127539742934,False,False,False,False,129455.02505188873,False,False,False,False
