date,Open,High,Low,Close,Volume,aVWAP_peak_71,aVWAP_peak_70,aVWAP_peak_45,aVWAP_peak_26,aVWAP_valley_97,aVWAP_valley_80,aVWAP_valley_52,aVWAP_OB_bull_1,aVWAP_OB_bear_71,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-11 14:00:00+00:00,5.48,5.545,5.42,5.445,52150.0,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,52150.0,False,False,False,False
2025-04-11 15:00:00+00:00,5.445,5.565,5.445,5.545,34033.0,,,,,,,,5.518333333333333,,,#000000,,,,100.0,,False,False,True,False,False,,1.0,5.565,5.445,0.0,0,,,False,False,False,False,,,False,False,False,False,34033.0,527.6434108527131,False,False,False,False,51869.11627906976,False,False,False,False
2025-04-11 16:00:00+00:00,5.545,5.665,5.535,5.665,38159.0,,,,,,,,5.572952912603427,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,72192.0,1638.718706808485,False,False,False,False,51656.55633675861,False,False,False,False
2025-04-11 17:00:00+00:00,5.665,5.745,5.645,5.705,13375.0,,,,,,,,5.592551158741103,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,85567.0,2939.932370268819,False,False,False,False,51063.04383541351,False,False,False,False
2025-04-11 18:00:00+00:00,5.705,5.715,5.635,5.685,9229.0,,,,,,,,5.600902604891909,,,#000000,,,,96.97798781246107,47.28018903121496,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,76338.0,4077.8869071638755,False,False,False,False,50414.45400850788,False,False,False,False
2025-04-11 19:00:00+00:00,5.685,5.755,5.685,5.74,96034.0,,,,,,,,5.6641925797830535,,,#000000,,,,95.6252641429413,46.244058459899506,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,172372.0,6687.097962866761,False,False,False,False,51121.733791321705,False,False,False,False
2025-04-14 14:00:00+00:00,5.715,5.805,5.685,5.775,45903.0,,,,,,,,5.681800319347113,,,#000000,,,,95.04337243563228,45.89822373349382,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,218275.0,9967.530552589757,False,False,False,False,51040.82318990586,False,False,False,False
2025-04-14 15:00:00+00:00,5.775,5.775,5.675,5.695,16614.0,,,,,,,,5.6839774893722845,,,#000000,,,,86.56686116074931,38.38624600196282,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,201661.0,12939.52232696821,False,False,False,False,50507.07399316313,False,False,False,False
2025-04-14 16:00:00+00:00,5.695,5.775,5.68,5.755,23138.0,,,,,,,,5.688386850401771,,,#000000,,,,82.72932807320693,35.476992297271394,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,224799.0,16224.165391666376,False,False,False,False,50082.74726458696,False,False,False,False
2025-04-14 17:00:00+00:00,5.755,5.825,5.745,5.775,33111.0,,,,,,,,5.6983630387128175,,,#000000,,,,80.69414095182066,34.12951612408578,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,257910.0,19971.232594896355,False,False,False,False,49819.61940001972,False,False,False,False
