date,Open,High,Low,Close,Volume,aVWAP_peak_429,aVWAP_peak_384,aVWAP_peak_250,aVWAP_peak_220,aVWAP_peak_217,aVWAP_peak_186,aVWAP_peak_157,aVWAP_peak_135,aVWAP_peak_103,aVWAP_peak_27,aVWAP_valley_408,aVWAP_valley_300,aVWAP_valley_189,aVWAP_valley_169,aVWAP_valley_148,aVWAP_valley_124,aVWAP_valley_78,aVWAP_valley_55,aVWAP_OB_bull_408,aVWAP_OB_bull_300,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-02-13 17:00:00+00:00,407.845,408.295,404.58,406.57,211787.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,211787.0,False,False,False,False
2024-02-14 17:00:00+00:00,405.38,409.905,405.22,409.27,177591.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,177591.0,2753.3488372093025,False,False,False,False,211256.82945736434,False,False,False,False
2024-02-15 17:00:00+00:00,404.62,407.2,404.44,406.63,159861.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,82.53968253968256,-11.111111111111043,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17730.0,2985.544979268073,False,False,False,False,210459.9948921339,False,False,False,False
2024-02-16 17:00:00+00:00,405.85,407.46,403.54,404.06,170352.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,65.113137453563,-11.111111111111043,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-152622.0,573.0249020701181,False,False,False,False,209838.16551396128,False,False,False,False
2024-02-19 17:00:00+00:00,404.06,404.06,404.06,404.06,0.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.49544072948329,-11.111111111111043,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-152622.0,-1802.0917630782558,False,False,False,False,206584.86062227195,False,False,False,False
2024-02-20 17:00:00+00:00,399.76,402.99,398.51,402.915,122464.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.03048613893619,-11.111111111111043,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-275086.0,-6039.051580704949,False,False,False,False,205280.66123277936,False,False,False,False
2024-02-21 17:00:00+00:00,400.02,402.24,397.55,402.215,149014.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.84233231352903,27.057951778074994,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-424100.0,-12520.616672476965,False,False,False,False,204408.30989583704,False,False,False,False
2024-02-22 17:00:00+00:00,408.88,412.015,408.64,411.595,157298.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.88638249520328,27.057951778074994,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-266802.0,-16462.963700810655,False,False,False,False,203677.9174943512,False,False,False,False
2024-02-23 17:00:00+00:00,410.2,410.83,408.97,410.3,83907.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.22216829250514,27.057951778074994,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-350709.0,-21645.072790720566,False,False,False,False,201821.00404482635,False,False,False,False
2024-02-26 17:00:00+00:00,409.03,409.62,407.37,407.515,86739.0,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.079468976404485,27.057951778074994,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-437448.0,-28091.629801717147,False,False,False,False,200036.78692785228,False,False,False,False
