date,Open,High,Low,Close,Volume,aVWAP_peak_415,aVWAP_peak_377,aVWAP_peak_361,aVWAP_peak_330,aVWAP_peak_250,aVWAP_peak_203,aVWAP_peak_169,aVWAP_peak_140,aVWAP_peak_107,aVWAP_peak_78,aVWAP_valley_384,aVWAP_valley_338,aVWAP_valley_296,aVWAP_valley_277,aVWAP_valley_243,aVWAP_valley_217,aVWAP_valley_120,aVWAP_valley_119,aVWAP_valley_100,aVWAP_valley_67,aVWAP_valley_66,aVWAP_OB_bull_384,aVWAP_OB_bear_250,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-02-20 17:00:00+00:00,11.28,11.28,11.26,11.26,201.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,201.0,False,False,False,False
2024-02-21 17:00:00+00:00,11.26,11.26,11.25,11.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-100.0,-1.550387596899225,False,False,False,False,199.43410852713177,False,False,False,False
2024-02-22 17:00:00+00:00,11.25,11.375,11.25,11.325,234.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.801324503311296,-94.70198675496695,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,134.0,0.5511687999519261,False,False,False,False,199.97001382128477,False,False,False,False
2024-02-23 17:00:00+00:00,11.35,11.35,11.35,11.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,50.555708379351614,-73.04290881619954,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,134.0,2.6201429270844545,False,False,False,False,196.8697035294819,False,False,False,False
2024-02-26 17:00:00+00:00,11.37,11.38,11.3,11.35,1430.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,64.39196429671183,-57.06732960260797,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,134.0,4.657039935966866,False,False,False,False,215.98800269956746,False,False,False,False
2024-02-27 17:00:00+00:00,11.6,11.6,11.54,11.54,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,75.48676218561106,-42.854472837037804,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1534.0,28.3677835028511,False,False,False,False,234.34477785151216,False,False,False,False
2024-02-28 17:00:00+00:00,11.54,11.83,11.54,11.83,100.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,83.30804983437417,-31.086106871175645,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1634.0,53.26130623924101,False,False,False,False,232.2619130786205,False,False,False,False
2024-02-29 17:00:00+00:00,12.005,12.005,11.83,11.83,251.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,88.52224160021626,-21.291437890752384,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1634.0,77.76888288669463,False,False,False,False,232.55242605414574,False,False,False,False
2024-03-01 17:00:00+00:00,11.87,11.87,11.8,11.8,206.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.78882148746955,-14.827463395253737,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1428.0,98.70269865589316,False,False,False,False,232.14076053392643,False,False,False,False
2024-03-04 17:00:00+00:00,11.64,11.64,11.64,11.64,0.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,81.81027616037633,-14.827463395253737,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1428.0,119.31195914184829,False,False,False,False,228.54167897526088,False,False,False,False
2024-03-05 17:00:00+00:00,11.75,11.75,11.75,11.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,78.55711399264109,-14.827463395253737,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1428.0,139.60169620941653,False,False,False,False,224.99839713068317,False,False,False,False
2024-03-06 17:00:00+00:00,11.41,11.71,11.32,11.415,993.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,67.17986008065586,-14.827463395253737,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,435.0,144.18151487283643,False,False,False,False,236.9053987255563,False,False,False,False
2024-03-07 17:00:00+00:00,11.415,11.415,10.76,10.8,1580.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.05082269485647,-14.827463395253737,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1145.0,124.19420456473043,False,False,False,False,257.7285708383383,False,False,False,False
2024-03-08 17:00:00+00:00,10.89,10.89,10.565,10.565,2700.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,42.31211894369833,-14.827463395253737,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3845.0,62.656309920316,False,False,False,False,295.59324415867417,False,False,False,False
