date,Close,High,Low,Open,Volume,aVWAP_peak_189,aVWAP_peak_180,aVWAP_peak_175,aVWAP_peak_153,aVWAP_peak_139,aVWAP_peak_127,aVWAP_peak_119,aVWAP_peak_112,aVWAP_peak_104,aVWAP_peak_79,aVWAP_peak_71,aVWAP_peak_48,aVWAP_peak_37,aVWAP_peak_23,aVWAP_peak_16,aVWAP_valley_185,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_160,aVWAP_valley_143,aVWAP_valley_135,aVWAP_valley_126,aVWAP_valley_100,aVWAP_valley_95,aVWAP_valley_60,aVWAP_valley_41,aVWAP_valley_28,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_10,aVWAP_OB_bull_160,aVWAP_OB_bull_126,aVWAP_OB_bull_41,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,37.6224247155,38.4474342931,37.1055512452,38.0100798182,3136556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3136556.0,False,False,False,False
2022-01-07 00:00:00+00:00,35.087756736,37.8212222041,34.2428674095,37.7516430831,6760985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6760985,-500813.70370370365,False,False,False,False,3405032.2222222225,False,False,False,False
2022-01-14 00:00:00+00:00,33.9357252896,35.7239086995,33.4982298566,34.7895605031,6651201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13412186,-1457211.6515775034,False,False,False,False,3645489.16872428,False,False,False,False
2022-01-21 00:00:00+00:00,31.3803542379,34.2141314742,31.2709803797,33.7865791193,5033717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18445903,-2715633.2329421327,False,False,False,False,3748320.8599298885,False,False,False,False
2022-01-28 00:00:00+00:00,31.5394434863,32.9016451753,30.4159751005,30.7042249324,6867402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.810460014362917,-49.23386201767256,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11578501,-3372141.9564279006,False,False,False,False,3979363.9073424893,False,False,False,False
2022-02-04 00:00:00+00:00,31.42012655,33.3490836863,31.1118911313,31.5991019544,4795901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,1.371297956931,-48.73693642411527,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16374402,-4335272.330025833,False,False,False,False,4039848.136428231,False,False,False,False
2022-02-11 00:00:00+00:00,30.8135987907,33.5673342489,30.1275264071,31.3704111599,9693992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,1.6861259441569867,-48.486567322448245,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26068394,-5945133.194468364,False,False,False,False,4458673.6078039175,False,False,False,False
2022-02-18 00:00:00+00:00,28.258227739,30.8334849467,27.8217266138,30.5550787621,10716976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,1.6790654510639826,-48.486567322448245,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-36785370,-8229595.1800633,False,False,False,False,4922251.562781405,False,False,False,False
2022-02-25 00:00:00+00:00,29.0636170588,29.1033893708,26.6076767873,28.0394800225,4632508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.47752070893909,-45.92783321198293,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32152862,-10001689.018577129,False,False,False,False,4900789.076649449,False,False,False,False
2022-03-04 00:00:00+00:00,27.9599353983,29.8342056055,27.9201630862,28.6360647038,6453210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.057523067267786,-44.57002006276927,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-38606072,-12120532.20238623,False,False,False,False,5015783.21911986,False,False,False,False
