date,Open,High,Low,Close,Volume,aVWAP_peak_367,aVWAP_peak_350,aVWAP_peak_262,aVWAP_peak_233,aVWAP_peak_200,aVWAP_peak_184,aVWAP_peak_149,aVWAP_peak_119,aVWAP_peak_94,aVWAP_peak_56,aVWAP_peak_27,aVWAP_valley_364,aVWAP_valley_308,aVWAP_valley_279,aVWAP_valley_244,aVWAP_valley_207,aVWAP_valley_189,aVWAP_valley_176,aVWAP_valley_127,aVWAP_valley_105,aVWAP_valley_69,aVWAP_valley_44,aVWAP_OB_bull_364,aVWAP_OB_bull_308,aVWAP_OB_bull_44,aVWAP_OB_bear_286,aVWAP_OB_bear_262,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-06-06 16:00:00+00:00,26.55,27.235,26.5,26.98,71720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,71720.0,False,False,False,False
2024-06-07 16:00:00+00:00,27.38,27.595,26.925,27.075,42981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,42981.0,666.3720930232558,False,False,False,False,71274.43410852713,False,False,False,False
2024-06-10 16:00:00+00:00,26.82,27.28,26.41,27.27,13047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56028.0,1524.6919055345231,False,False,False,False,70371.68319211584,False,False,False,False
2024-06-11 16:00:00+00:00,26.92,27.21,26.82,26.91,5591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,80.27597402597402,32.248376623376615,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,50437.0,2283.0222635882515,False,False,False,False,69367.33151471871,False,False,False,False
2024-06-12 16:00:00+00:00,27.235,27.235,26.5,27.18,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,73.69484716139934,27.50880400370096,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,63999.0,3239.859127718666,False,False,False,False,68502.132576506,False,False,False,False
2024-06-13 16:00:00+00:00,28.375,29.175,28.0,28.9,3040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,78.57850432352932,23.250145321971374,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,67039.0,4228.993094730779,False,False,False,False,67487.21579237413,False,False,False,False
2024-06-14 16:00:00+00:00,29.78,30.31,29.685,30.235,9489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,83.31411162626299,26.756108872569968,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,76528.0,5349.907930471387,False,False,False,False,66588.01864830632,False,False,False,False
2024-06-17 16:00:00+00:00,29.945,30.86,29.7,30.335,8927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.54598243039186,29.14014070506721,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,85455.0,6591.847342402063,False,False,False,False,65694.04936693722,False,False,False,False
2024-06-18 16:00:00+00:00,30.75,31.25,30.555,31.24,25144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.26096548481263,31.33724218121465,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,110599.0,8204.361337093504,False,False,False,False,65065.36643101572,False,False,False,False
2024-06-19 16:00:00+00:00,31.24,31.24,31.24,31.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.07095418775981,32.9517367359161,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,110599.0,9791.875114812985,False,False,False,False,64056.601059992216,False,False,False,False
