date,Open,High,Low,Close,Volume,aVWAP_peak_881,aVWAP_peak_858,aVWAP_peak_810,aVWAP_peak_797,aVWAP_peak_769,aVWAP_peak_720,aVWAP_peak_701,aVWAP_peak_663,aVWAP_peak_642,aVWAP_peak_617,aVWAP_peak_587,aVWAP_peak_551,aVWAP_peak_489,aVWAP_peak_380,aVWAP_peak_317,aVWAP_peak_287,aVWAP_peak_237,aVWAP_peak_192,aVWAP_peak_176,aVWAP_peak_155,aVWAP_peak_130,aVWAP_peak_108,aVWAP_peak_80,aVWAP_peak_48,aVWAP_valley_874,aVWAP_valley_845,aVWAP_valley_800,aVWAP_valley_744,aVWAP_valley_666,aVWAP_valley_619,aVWAP_valley_534,aVWAP_valley_492,aVWAP_valley_456,aVWAP_valley_401,aVWAP_valley_337,aVWAP_valley_310,aVWAP_valley_292,aVWAP_valley_253,aVWAP_valley_225,aVWAP_valley_224,aVWAP_valley_210,aVWAP_valley_166,aVWAP_valley_142,aVWAP_valley_120,aVWAP_valley_87,aVWAP_valley_68,aVWAP_valley_24,aVWAP_OB_bull_401,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,90.23,90.57,89.855,89.91,9602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,9602.0,False,False,False,False
2025-01-06 16:00:00+00:00,89.9,90.32,89.71,90.03,7028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7028.0,108.96124031007751,False,False,False,False,9562.093023255815,False,False,False,False
2025-01-06 17:00:00+00:00,89.99,90.14,89.55,89.615,4076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,73.4824281150161,-42.81150159744364,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2952.0,153.03936061534762,False,False,False,False,9477.037317468903,False,False,False,False
2025-01-06 18:00:00+00:00,89.615,89.63,89.25,89.4,4143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.64494752915599,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1191.0,132.2015410709236,False,False,False,False,9394.339064484888,False,False,False,False
2025-01-06 19:00:00+00:00,89.36,89.66,89.35,89.41,7054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,40.88754626706062,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5863.0,221.05112958145193,False,False,False,False,9358.054737903727,False,False,False,False
2025-01-06 20:00:00+00:00,89.4,89.76,89.32,89.73,17444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,42.81655058312559,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23307.0,578.9728174949178,False,False,False,False,9483.418230339328,False,False,False,False
2025-01-07 15:00:00+00:00,87.93,90.03,87.9,89.01,21407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.579560606299005,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1900.0,599.4538590841438,False,False,False,False,9668.279963202285,False,False,False,False
2025-01-07 16:00:00+00:00,89.04,89.21,88.37,88.58,14624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,30.451229669616133,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12724.0,392.8886829743121,False,False,False,False,9745.112831989845,False,False,False,False
2025-01-07 17:00:00+00:00,88.63,88.87,88.33,88.825,4533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,30.069537835755177,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8191.0,259.8051375018421,False,False,False,False,9664.304881106282,False,False,False,False
2025-01-07 18:00:00+00:00,88.855,89.335,88.84,89.315,5280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,35.331038393976534,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2911.0,210.64536792817015,False,False,False,False,9596.331162019362,False,False,False,False
2025-01-07 19:00:00+00:00,89.31,89.46,88.85,88.85,7261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,35.78272505390514,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10172.0,49.674121913779885,False,False,False,False,9560.12447733689,False,False,False,False
2025-01-07 20:00:00+00:00,88.87,88.87,88.22,88.675,19433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,35.12946779132273,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29605.0,-410.08826757325545,False,False,False,False,9713.192314897558,False,False,False,False
2025-01-08 15:00:00+00:00,87.99,88.25,87.53,87.7,14022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,30.990512395019636,-42.81150159744364,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-43627.0,-1080.1179068356855,False,False,False,False,9779.995534821628,False,False,False,False
2025-01-08 16:00:00+00:00,87.71,87.935,87.27,87.43,7719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.528363677848166,-42.81150159744364,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-51346.0,-1859.4339082800934,False,False,False,False,9748.042115677106,False,False,False,False
2025-01-08 17:00:00+00:00,87.43,87.56,87.24,87.34,1706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,24.98920975647357,-42.81150159744364,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-53052.0,-2653.117103500557,False,False,False,False,9623.359292178237,False,False,False,False
2025-01-08 18:00:00+00:00,87.34,87.71,87.14,87.205,4309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,22.93989427402144,-42.81150159744364,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-57361.0,-3501.301334454037,False,False,False,False,9540.966124857643,False,False,False,False
2025-01-08 19:00:00+00:00,87.205,87.5,87.05,87.05,3475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,21.166163647081433,-42.81150159744364,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-60836.0,-4390.211391284207,False,False,False,False,9446.920138425741,False,False,False,False
2025-01-08 20:00:00+00:00,87.08,87.11,86.49,86.985,21185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,19.80923416301054,-42.81150159744364,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-82021.0,-5593.7895092487925,False,False,False,False,9628.905872713714,False,False,False,False
2025-01-09 15:00:00+00:00,86.985,86.985,86.985,86.985,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.904614506963277,-42.81150159744364,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-82021.0,-6778.707501353463,False,False,False,False,9479.62051034606,False,False,False,False
2025-01-09 16:00:00+00:00,86.985,86.985,86.985,86.985,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.301534736265104,-42.81150159744364,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-82021.0,-7945.254671875115,False,False,False,False,9332.649649720539,False,False,False,False
2025-01-09 17:00:00+00:00,86.985,86.985,86.985,86.985,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.899481555799653,-42.81150159744364,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-82021.0,-9093.71583975302,False,False,False,False,9187.957407089212,False,False,False,False
