date,Close,High,Low,Open,Volume,aVWAP_peak_169,aVWAP_peak_162,aVWAP_peak_153,aVWAP_peak_146,aVWAP_peak_116,aVWAP_peak_109,aVWAP_peak_104,aVWAP_peak_82,aVWAP_peak_75,aVWAP_peak_70,aVWAP_peak_58,aVWAP_peak_45,aVWAP_peak_31,aVWAP_peak_22,aVWAP_peak_13,aVWAP_peak_5,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_159,aVWAP_valley_151,aVWAP_valley_136,aVWAP_valley_128,aVWAP_valley_122,aVWAP_valley_114,aVWAP_valley_107,aVWAP_valley_95,aVWAP_valley_84,aVWAP_valley_79,aVWAP_valley_70,aVWAP_valley_41,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_11,aVWAP_OB_bull_171,aVWAP_OB_bear_109,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,42.4799418893,43.231482563,42.2920567209,42.4978357149,1556732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1556732.0,False,False,False,False
2022-01-07 00:00:00+00:00,41.2900024893,42.5604641044,40.2432136938,42.4799418893,2431537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2431537,-180113.85185185185,False,False,False,False,1621532.3703703703,False,False,False,False
2022-01-14 00:00:00+00:00,42.4441542382,42.9362344412,40.5563556412,40.7889753735,3054789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.560367207365745,-86.40091801841436,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,623252,-120605.27023319618,False,False,False,False,1727699.5281207133,False,False,False,False
2022-01-21 00:00:00+00:00,41.4510469194,42.9541282668,41.3884185299,42.4352073254,2485926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.306447897715813,-80.172806034165,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1862674,-249647.39836407054,False,False,False,False,1783864.4519636235,False,False,False,False
2022-01-28 00:00:00+00:00,41.9431271224,41.9431271224,39.7779742291,40.8963383269,4576732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.118701312896086,-72.57530417555012,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2714058,-30113.6651519172,False,False,False,False,1990743.5295959476,False,False,False,False
2022-02-04 00:00:00+00:00,39.7690273164,43.356739342,39.4200977179,41.961020948,4913136,,,,,,,,,,,,,,,,40.848621458766665,,,,,,,,,,,,,,,,,,,,,40.848621458766665,#000000,,40.848621458766665,,26.84878311004882,-71.482308854854,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2199078,-190777.68995547888,False,False,False,False,2207217.0459221737,False,False,False,False
2022-02-11 00:00:00+00:00,39.5721952352,41.3526308788,38.8027607359,39.7063989269,4122216,,,,,,,,,,,,,,,,40.42002540215974,,,,,,,,,,,,,,,,,,,,,40.42002540215974,#000000,,40.42002540215974,,26.37185736245295,-70.18666250085701,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6321294,-644890.009218036,False,False,False,False,2349068.820298309,False,False,False,False
2022-02-18 00:00:00+00:00,38.2480521434,40.0374346998,38.2212114051,39.6079828863,2289599,,,,,,,,,,,,,,,,40.09969055274423,,,,,,,,,,,,,,,,,,,,,40.09969055274423,#000000,,40.09969055274423,,24.48460886865442,-70.09251750851388,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8610893,-1234964.3048315146,False,False,False,False,2344663.64842436,False,False,False,False
2022-02-25 00:00:00+00:00,39.0353804682,39.1181394115,36.6465547554,38.1764768411,2930098,,,,,,,,,,,,,,,,39.72292111992813,,,,,,,,,,,,,,,,,,,,,39.72292111992813,#000000,,39.72292111992813,,25.89793518500523,-66.54296048761805,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5680795,-1564285.0970662173,False,False,False,False,2388029.1559484815,False,False,False,False
2022-03-04 00:00:00+00:00,38.0749764254,39.1874779855,37.8141889156,38.6059286547,2852503,,,,,,,,,,,,,,,,39.49548190338985,,,,,,,,,,,,,,,,,,,,,39.49548190338985,#000000,,39.49548190338985,,25.763676792755295,-64.38587050764214,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8533298,-2080508.2750613124,False,False,False,False,2422434.6258782237,False,False,False,False
2022-03-11 00:00:00+00:00,37.6253427879,38.9922290459,36.9868630226,38.0659837526,2683732,,,,,,,,,,,,,,,,39.27481222622946,,,,,,,,,,,,,,,,,,,,,39.27481222622946,#000000,,39.27481222622946,,25.203744664822818,-62.59477364976679,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11217030,-2757287.662093808,False,False,False,False,2441789.9869242813,False,False,False,False
