date,Open,High,Low,Close,Volume,aVWAP_peak_869,aVWAP_peak_868,aVWAP_peak_867,aVWAP_peak_866,aVWAP_peak_865,aVWAP_peak_864,aVWAP_peak_821,aVWAP_peak_820,aVWAP_peak_800,aVWAP_peak_799,aVWAP_peak_761,aVWAP_peak_760,aVWAP_peak_759,aVWAP_peak_758,aVWAP_peak_757,aVWAP_peak_756,aVWAP_peak_737,aVWAP_peak_736,aVWAP_peak_735,aVWAP_peak_734,aVWAP_peak_733,aVWAP_peak_720,aVWAP_peak_704,aVWAP_peak_703,aVWAP_peak_702,aVWAP_peak_701,aVWAP_peak_700,aVWAP_peak_699,aVWAP_peak_698,aVWAP_peak_697,aVWAP_peak_696,aVWAP_peak_695,aVWAP_peak_694,aVWAP_peak_693,aVWAP_peak_692,aVWAP_peak_679,aVWAP_peak_666,aVWAP_peak_665,aVWAP_peak_664,aVWAP_peak_663,aVWAP_peak_662,aVWAP_peak_661,aVWAP_peak_660,aVWAP_peak_659,aVWAP_peak_658,aVWAP_peak_657,aVWAP_peak_656,aVWAP_peak_655,aVWAP_peak_654,aVWAP_peak_653,aVWAP_peak_652,aVWAP_peak_651,aVWAP_peak_650,aVWAP_peak_649,aVWAP_peak_648,aVWAP_peak_647,aVWAP_peak_646,aVWAP_peak_645,aVWAP_peak_644,aVWAP_peak_643,aVWAP_peak_642,aVWAP_peak_641,aVWAP_peak_640,aVWAP_peak_639,aVWAP_peak_638,aVWAP_peak_637,aVWAP_peak_601,aVWAP_peak_600,aVWAP_peak_599,aVWAP_peak_598,aVWAP_peak_597,aVWAP_peak_596,aVWAP_peak_595,aVWAP_peak_594,aVWAP_peak_581,aVWAP_peak_580,aVWAP_peak_579,aVWAP_peak_578,aVWAP_peak_565,aVWAP_peak_564,aVWAP_peak_551,aVWAP_peak_550,aVWAP_peak_549,aVWAP_peak_548,aVWAP_peak_547,aVWAP_peak_546,aVWAP_peak_545,aVWAP_peak_532,aVWAP_peak_531,aVWAP_peak_530,aVWAP_peak_529,aVWAP_peak_528,aVWAP_peak_527,aVWAP_peak_526,aVWAP_peak_525,aVWAP_peak_524,aVWAP_peak_523,aVWAP_peak_522,aVWAP_peak_521,aVWAP_peak_520,aVWAP_peak_519,aVWAP_peak_506,aVWAP_peak_473,aVWAP_peak_472,aVWAP_peak_471,aVWAP_peak_470,aVWAP_peak_469,aVWAP_peak_468,aVWAP_peak_467,aVWAP_peak_445,aVWAP_peak_444,aVWAP_peak_443,aVWAP_peak_442,aVWAP_peak_441,aVWAP_peak_407,aVWAP_peak_406,aVWAP_peak_405,aVWAP_peak_404,aVWAP_peak_391,aVWAP_peak_390,aVWAP_peak_389,aVWAP_peak_388,aVWAP_peak_387,aVWAP_peak_386,aVWAP_peak_385,aVWAP_peak_384,aVWAP_peak_383,aVWAP_peak_330,aVWAP_peak_329,aVWAP_peak_300,aVWAP_peak_299,aVWAP_peak_298,aVWAP_peak_297,aVWAP_peak_271,aVWAP_peak_270,aVWAP_peak_269,aVWAP_peak_268,aVWAP_peak_267,aVWAP_peak_266,aVWAP_peak_265,aVWAP_peak_264,aVWAP_peak_263,aVWAP_peak_262,aVWAP_peak_261,aVWAP_peak_260,aVWAP_peak_259,aVWAP_peak_258,aVWAP_peak_237,aVWAP_peak_236,aVWAP_peak_215,aVWAP_peak_175,aVWAP_peak_147,aVWAP_peak_146,aVWAP_peak_145,aVWAP_peak_144,aVWAP_peak_125,aVWAP_peak_124,aVWAP_peak_123,aVWAP_peak_122,aVWAP_peak_121,aVWAP_peak_120,aVWAP_peak_119,aVWAP_peak_94,aVWAP_peak_93,aVWAP_peak_92,aVWAP_peak_91,aVWAP_peak_72,aVWAP_peak_71,aVWAP_peak_70,aVWAP_peak_69,aVWAP_peak_44,aVWAP_peak_43,aVWAP_peak_19,aVWAP_peak_18,aVWAP_peak_17,aVWAP_peak_16,aVWAP_peak_15,aVWAP_peak_14,aVWAP_peak_13,aVWAP_peak_12,aVWAP_valley_875,aVWAP_valley_874,aVWAP_valley_873,aVWAP_valley_872,aVWAP_valley_871,aVWAP_valley_870,aVWAP_valley_869,aVWAP_valley_868,aVWAP_valley_867,aVWAP_valley_866,aVWAP_valley_865,aVWAP_valley_864,aVWAP_valley_863,aVWAP_valley_862,aVWAP_valley_861,aVWAP_valley_848,aVWAP_valley_847,aVWAP_valley_846,aVWAP_valley_816,aVWAP_valley_781,aVWAP_valley_780,aVWAP_valley_742,aVWAP_valley_741,aVWAP_valley_740,aVWAP_valley_739,aVWAP_valley_738,aVWAP_valley_713,aVWAP_valley_712,aVWAP_valley_711,aVWAP_valley_710,aVWAP_valley_709,aVWAP_valley_696,aVWAP_valley_695,aVWAP_valley_694,aVWAP_valley_693,aVWAP_valley_692,aVWAP_valley_691,aVWAP_valley_690,aVWAP_valley_689,aVWAP_valley_688,aVWAP_valley_687,aVWAP_valley_686,aVWAP_valley_685,aVWAP_valley_669,aVWAP_valley_668,aVWAP_valley_653,aVWAP_valley_652,aVWAP_valley_651,aVWAP_valley_650,aVWAP_valley_613,aVWAP_valley_612,aVWAP_valley_611,aVWAP_valley_610,aVWAP_valley_588,aVWAP_valley_587,aVWAP_valley_586,aVWAP_valley_585,aVWAP_valley_584,aVWAP_valley_583,aVWAP_valley_582,aVWAP_valley_569,aVWAP_valley_568,aVWAP_valley_567,aVWAP_valley_566,aVWAP_valley_565,aVWAP_valley_545,aVWAP_valley_544,aVWAP_valley_543,aVWAP_valley_542,aVWAP_valley_541,aVWAP_valley_540,aVWAP_valley_539,aVWAP_valley_538,aVWAP_valley_537,aVWAP_valley_536,aVWAP_valley_535,aVWAP_valley_534,aVWAP_valley_533,aVWAP_valley_532,aVWAP_valley_531,aVWAP_valley_530,aVWAP_valley_529,aVWAP_valley_528,aVWAP_valley_527,aVWAP_valley_526,aVWAP_valley_525,aVWAP_valley_524,aVWAP_valley_523,aVWAP_valley_522,aVWAP_valley_521,aVWAP_valley_520,aVWAP_valley_519,aVWAP_valley_491,aVWAP_valley_490,aVWAP_valley_489,aVWAP_valley_488,aVWAP_valley_487,aVWAP_valley_486,aVWAP_valley_485,aVWAP_valley_484,aVWAP_valley_483,aVWAP_valley_482,aVWAP_valley_481,aVWAP_valley_480,aVWAP_valley_479,aVWAP_valley_478,aVWAP_valley_477,aVWAP_valley_476,aVWAP_valley_475,aVWAP_valley_474,aVWAP_valley_461,aVWAP_valley_460,aVWAP_valley_459,aVWAP_valley_458,aVWAP_valley_457,aVWAP_valley_456,aVWAP_valley_455,aVWAP_valley_454,aVWAP_valley_453,aVWAP_valley_452,aVWAP_valley_431,aVWAP_valley_430,aVWAP_valley_429,aVWAP_valley_428,aVWAP_valley_427,aVWAP_valley_426,aVWAP_valley_425,aVWAP_valley_424,aVWAP_valley_423,aVWAP_valley_422,aVWAP_valley_421,aVWAP_valley_420,aVWAP_valley_407,aVWAP_valley_394,aVWAP_valley_393,aVWAP_valley_392,aVWAP_valley_391,aVWAP_valley_358,aVWAP_valley_357,aVWAP_valley_356,aVWAP_valley_337,aVWAP_valley_336,aVWAP_valley_317,aVWAP_valley_316,aVWAP_valley_315,aVWAP_valley_314,aVWAP_valley_313,aVWAP_valley_312,aVWAP_valley_311,aVWAP_valley_310,aVWAP_valley_309,aVWAP_valley_308,aVWAP_valley_286,aVWAP_valley_250,aVWAP_valley_249,aVWAP_valley_234,aVWAP_valley_203,aVWAP_valley_202,aVWAP_valley_201,aVWAP_valley_200,aVWAP_valley_199,aVWAP_valley_198,aVWAP_valley_197,aVWAP_valley_134,aVWAP_valley_133,aVWAP_valley_132,aVWAP_valley_131,aVWAP_valley_107,aVWAP_valley_106,aVWAP_valley_105,aVWAP_valley_104,aVWAP_valley_103,aVWAP_valley_102,aVWAP_valley_101,aVWAP_valley_78,aVWAP_valley_77,aVWAP_valley_52,aVWAP_valley_51,aVWAP_valley_38,aVWAP_valley_37,aVWAP_valley_36,aVWAP_valley_35,aVWAP_valley_34,aVWAP_valley_33,aVWAP_valley_32,aVWAP_valley_31,aVWAP_valley_30,aVWAP_valley_29,aVWAP_valley_28,aVWAP_valley_27,aVWAP_valley_26,aVWAP_valley_25,aVWAP_OB_bull_569,aVWAP_OB_bull_544,aVWAP_OB_bull_407,aVWAP_OB_bear_821,aVWAP_OB_bear_271,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-12 20:00:00+00:00,12.935,12.975,12.935,12.975,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.961666666666668,12.871207407407407,12.871207407407407,12.871207407407407,12.82371515151515,12.596801948051949,12.596801948051949,12.596801948051949,12.596467098166128,12.547703549060541,12.547018633540372,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.948219047619048,12.613987284287012,12.59696447909898,12.564091065292095,12.564091065292095,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.533277182235834,,,,,,12.741805341676422,"rgba(38, 166, 154, 0.5)",0.18831308987911716,12.791464437392234,0.9746298715908795,94.10105335793384,37.68086205212296,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1279.0,413.5851578832472,False,False,False,False,21.873022453701026,False,False,False,False
2025-02-13 15:00:00+00:00,12.975,12.975,12.975,12.975,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.961666666666668,12.871207407407407,12.871207407407407,12.871207407407407,12.82371515151515,12.596801948051949,12.596801948051949,12.596801948051949,12.596467098166128,12.547703549060541,12.547018633540372,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.948219047619048,12.613987284287012,12.59696447909898,12.564091065292095,12.564091065292095,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.533277182235834,,,,,,12.741805341676422,"rgba(38, 166, 154, 0.5)",0.19427254005602662,12.791464437392234,0.9447323978717505,94.54240822087421,38.80301273818969,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1279.0,427.0024422571503,False,False,False,False,21.533905826511862,False,False,False,False
2025-02-13 16:00:00+00:00,12.975,12.975,12.975,12.975,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.961666666666668,12.871207407407407,12.871207407407407,12.871207407407407,12.82371515151515,12.596801948051949,12.596801948051949,12.596801948051949,12.596467098166128,12.547703549060541,12.547018633540372,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.948219047619048,12.613987284287012,12.59696447909898,12.564091065292095,12.564091065292095,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.533277182235834,,,,,,12.741805341676422,"rgba(38, 166, 154, 0.5)",0.19985122845135117,12.791464437392234,0.9183609429373255,94.83664479616779,39.733110802062185,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1279.0,440.2117067182797,False,False,False,False,21.20004682144966,False,False,False,False
2025-02-13 17:00:00+00:00,12.975,12.975,12.975,12.975,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.961666666666668,12.871207407407407,12.871207407407407,12.871207407407407,12.82371515151515,12.596801948051949,12.596801948051949,12.596801948051949,12.596467098166128,12.547703549060541,12.547018633540372,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.948219047619048,12.613987284287012,12.59696447909898,12.564091065292095,12.564091065292095,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.533277182235834,,,,,,12.741805341676422,"rgba(38, 166, 154, 0.5)",0.2050802303999621,12.791464437392234,0.8949451746266404,95.03280251303018,40.520745459693046,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1279.0,453.21617638156215,False,False,False,False,20.871363924993076,False,False,False,False
2025-02-13 18:00:00+00:00,12.975,12.975,12.975,12.975,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.961666666666668,12.871207407407407,12.871207407407407,12.871207407407407,12.82371515151515,12.596801948051949,12.596801948051949,12.596801948051949,12.596467098166128,12.547703549060541,12.547018633540372,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.948219047619048,12.613987284287012,12.59696447909898,12.564091065292095,12.564091065292095,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.533277182235834,,,,,,12.741805341676422,"rgba(38, 166, 154, 0.5)",0.20998567089680809,12.791464437392234,0.8740385085511831,95.16357432427176,41.19746761403579,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1279.0,466.01902636014256,False,False,False,False,20.547776887396285,False,False,False,False
2025-02-13 19:00:00+00:00,12.975,12.975,12.975,12.975,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.961666666666668,12.871207407407407,12.871207407407407,12.871207407407407,12.82371515151515,12.596801948051949,12.596801948051949,12.596801948051949,12.596467098166128,12.547703549060541,12.547018633540372,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,12.533107798165139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.959343137254903,12.948219047619048,12.613987284287012,12.59696447909898,12.564091065292095,12.564091065292095,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.540374203821655,12.533277182235834,,,,,,12.741805341676422,"rgba(38, 166, 154, 0.5)",0.21318037872626658,12.791464437392234,0.8609402220991165,95.25075553176616,41.783983188774926,True,False,True,False,True,20.0,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1279.0,478.62338254060546,False,False,False,False,20.229206703095567,False,False,False,False
2025-02-13 20:00:00+00:00,12.975,12.975,12.9,12.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.925,12.925,12.925,12.925,12.925,12.925,12.952977883096366,12.880987878787879,12.880987878787879,12.880987878787879,12.839297435897436,12.616814024390244,12.616814024390244,12.616814024390244,12.616438703140831,12.562825651302603,12.562047713717693,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.94305925925926,12.633822278911564,12.6169788488916,12.58178267973856,12.58178267973856,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.547721238938053,,,,,,12.83747960284789,#000000,0.21441367779417844,12.894416330757357,0.026041572068005444,79.59260719106015,34.16694947936571,True,False,True,False,False,20.0,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1179.0,489.48193474927825,False,False,False,False,21.46596318831889,False,False,False,False
2025-02-14 15:00:00+00:00,12.9,12.9,12.9,12.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.925,12.925,12.925,12.925,12.925,12.925,12.952977883096366,12.880987878787879,12.880987878787879,12.880987878787879,12.839297435897436,12.616814024390244,12.616814024390244,12.616814024390244,12.616438703140831,12.562825651302603,12.562047713717693,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.94305925925926,12.633822278911564,12.6169788488916,12.58178267973856,12.58178267973856,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.547721238938053,,,,,,12.83747960284789,#000000,0.21539613621301568,12.894416330757357,0.025922792027807014,69.15384163058948,25.297931548411043,False,True,True,False,False,20.0,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1179.0,500.17213731130494,False,False,False,False,21.13315755749224,False,False,False,False
2025-02-14 16:00:00+00:00,12.9,12.9,12.9,12.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.925,12.925,12.925,12.925,12.925,12.925,12.952977883096366,12.880987878787879,12.880987878787879,12.880987878787879,12.839297435897436,12.616814024390244,12.616814024390244,12.616814024390244,12.616438703140831,12.562825651302603,12.562047713717693,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.94305925925926,12.633822278911564,12.6169788488916,12.58178267973856,12.58178267973856,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.547721238938053,,,,,,12.83747960284789,#000000,0.21657464435288143,12.894416330757357,0.02578173109473195,62.19466459027571,19.793547098306036,False,True,True,False,False,20.0,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.26770474555007573,0.26770474555007573,False,False,False,False,1179.0,510.69660029872654,False,False,False,False,20.80551170388771,False,False,False,False
2025-02-14 17:00:00+00:00,12.9,12.9,12.9,12.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.925,12.925,12.925,12.925,12.925,12.925,12.952977883096366,12.880987878787879,12.880987878787879,12.880987878787879,12.839297435897436,12.616814024390244,12.616814024390244,12.616814024390244,12.616438703140831,12.562825651302603,12.562047713717693,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,12.547536818851253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.95153787878788,12.94305925925926,12.633822278911564,12.6169788488916,12.58178267973856,12.58178267973856,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.55509954058193,12.547721238938053,,,,,,12.83747960284789,#000000,0.21780229070842738,12.894416330757357,0.025636411924234867,57.55521323006652,16.245152831530163,False,True,True,False,False,20.0,0.0,0.0,0.0,0.0,0,1.1839080459770115,0.8160919540229885,False,False,False,False,0.26770474555007573,0.26770474555007573,False,False,False,False,1179.0,521.0578933173509,False,False,False,False,20.482945630959218,False,False,False,False
