date,Open,High,Low,Close,Volume,aVWAP_peak_872,aVWAP_peak_871,aVWAP_peak_870,aVWAP_peak_847,aVWAP_peak_829,aVWAP_peak_828,aVWAP_peak_807,aVWAP_peak_734,aVWAP_peak_697,aVWAP_peak_662,aVWAP_peak_629,aVWAP_peak_605,aVWAP_peak_563,aVWAP_peak_528,aVWAP_peak_472,aVWAP_peak_402,aVWAP_peak_386,aVWAP_peak_347,aVWAP_peak_293,aVWAP_peak_230,aVWAP_peak_197,aVWAP_peak_170,aVWAP_peak_169,aVWAP_peak_137,aVWAP_peak_122,aVWAP_peak_49,aVWAP_peak_12,aVWAP_valley_859,aVWAP_valley_858,aVWAP_valley_842,aVWAP_valley_841,aVWAP_valley_815,aVWAP_valley_718,aVWAP_valley_683,aVWAP_valley_645,aVWAP_valley_644,aVWAP_valley_625,aVWAP_valley_589,aVWAP_valley_588,aVWAP_valley_551,aVWAP_valley_550,aVWAP_valley_517,aVWAP_valley_510,aVWAP_valley_495,aVWAP_valley_494,aVWAP_valley_462,aVWAP_valley_424,aVWAP_valley_350,aVWAP_valley_349,aVWAP_valley_267,aVWAP_valley_266,aVWAP_valley_215,aVWAP_valley_138,aVWAP_valley_109,aVWAP_valley_90,aVWAP_valley_69,aVWAP_valley_39,aVWAP_OB_bull_683,aVWAP_OB_bull_589,aVWAP_OB_bull_267,aVWAP_OB_bull_138,aVWAP_OB_bear_472,aVWAP_OB_bear_12,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-04 14:00:00+00:00,16.515,16.625,16.08,16.15,1792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1792.0,False,False,False,False
2025-04-04 15:00:00+00:00,16.3,16.6,16.3,16.595,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,307.0,4.75968992248062,False,False,False,False,1768.9767441860465,False,False,False,False
2025-04-04 16:00:00+00:00,16.595,16.595,16.315,16.52,1041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,94.68713105076746,31.404958677686125,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-734.0,-6.693948680968693,False,False,False,False,1757.6902830358752,False,False,False,False
2025-04-04 17:00:00+00:00,16.52,16.58,16.31,16.58,2263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.81172701612,31.404958677686125,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1529.0,17.115259825712993,False,False,False,False,1765.5245422136134,False,False,False,False
2025-04-04 18:00:00+00:00,16.58,16.58,16.465,16.475,526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,84.21291980952981,31.404958677686125,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1003.0,32.40029455709728,False,False,False,False,1746.3071074506115,False,False,False,False
2025-04-04 19:00:00+00:00,16.475,16.74,16.43,16.68,881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,82.2780792351621,31.404958677686125,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1884.0,61.107266734506624,False,False,False,False,1732.8914933816097,False,False,False,False
2025-04-07 14:00:00+00:00,16.16,17.33,16.16,16.5,896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,74.96519181395557,37.84658882516159,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,988.0,75.47769670761505,False,False,False,False,1719.9164314687166,False,False,False,False
2025-04-07 15:00:00+00:00,16.5,16.7,16.5,16.7,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,73.0464701204367,35.629616616088285,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1139.0,91.96641458811715,False,False,False,False,1695.5921457095117,False,False,False,False
2025-04-07 16:00:00+00:00,16.6,16.725,16.275,16.48,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,66.76668224891426,29.283601341937214,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,810.0,103.09871823791377,False,False,False,False,1674.4046705822323,False,False,False,False
2025-04-07 17:00:00+00:00,16.48,17.835,16.48,17.405,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,70.30768806931493,29.283601341937214,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1036.0,117.56230400166704,False,False,False,False,1651.9487842166163,False,False,False,False
2025-04-07 18:00:00+00:00,17.405,17.405,17.11,17.125,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,68.87503836061714,29.283601341937214,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,857.0,129.02645432722258,False,False,False,False,1629.112368957444,False,False,False,False
