date,Open,High,Low,Close,Volume,aVWAP_peak_386,aVWAP_peak_351,aVWAP_peak_311,aVWAP_peak_270,aVWAP_peak_200,aVWAP_peak_181,aVWAP_peak_159,aVWAP_peak_129,aVWAP_peak_101,aVWAP_peak_37,aVWAP_peak_22,aVWAP_valley_415,aVWAP_valley_370,aVWAP_valley_343,aVWAP_valley_299,aVWAP_valley_213,aVWAP_valley_190,aVWAP_valley_138,aVWAP_valley_84,aVWAP_valley_67,aVWAP_valley_32,aVWAP_OB_bear_311,aVWAP_OB_bear_159,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-20 17:00:00+00:00,22.11,22.235,22.025,22.15,15254.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,15254.0,False,False,False,False
2023-11-21 17:00:00+00:00,21.485,21.605,21.29,21.29,18914.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18914.0,-293.2403100775194,False,False,False,False,15310.744186046511,False,False,False,False
2023-11-22 17:00:00+00:00,21.66,21.685,21.24,21.31,19692.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.8498583569404918,-51.27478753541074,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,778.0,-276.6319331770927,False,False,False,False,15378.670632774472,False,False,False,False
2023-11-23 17:00:00+00:00,21.31,21.31,21.31,21.31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,1.4164305949008198,-50.67988668555239,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,778.0,-260.2810504921766,False,False,False,False,15140.241630715953,False,False,False,False
2023-11-24 17:00:00+00:00,21.77,21.8,21.38,21.38,10488.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.090487870632929,-47.27125213456063,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11266.0,-81.57901870160018,False,False,False,False,15068.11385349555,False,False,False,False
2023-11-27 17:00:00+00:00,21.675,21.8,21.5,21.55,16121.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.875468818378698,-39.440170225215525,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,27387.0,344.2904234488122,False,False,False,False,15084.437669720424,False,False,False,False
2023-11-28 17:00:00+00:00,21.735,21.84,21.57,21.65,23073.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,22.602395885123272,-32.06380568797806,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,50460.0,1121.2781688216987,False,False,False,False,15208.291349259642,False,False,False,False
2023-11-29 17:00:00+00:00,22.325,22.35,21.89,21.98,27578.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.77470193244907,-21.786442201345345,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,78038.0,2313.7854840337654,False,False,False,False,15400.069777953291,False,False,False,False
2023-11-30 17:00:00+00:00,21.765,21.92,21.575,21.79,45685.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,39.52363327535968,-18.46272146621759,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,32353.0,2779.5097400952573,False,False,False,False,15869.603579845487,False,False,False,False
2023-12-01 17:00:00+00:00,21.84,21.84,21.125,21.75,72491.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.57166666666667,,42.05425706837114,-16.77784065182521,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-40138.0,2114.1219921868037,False,False,False,False,16747.454687134705,False,False,False,False
2023-12-04 17:00:00+00:00,22.12,22.415,22.0,22.2,40728.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.799494151452787,,49.5550471960588,-10.215121134414673,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,590.0,2090.492193858326,False,False,False,False,17119.246087334166,False,False,False,False
2023-12-05 17:00:00+00:00,21.84,21.85,21.5,21.725,16297.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.78592621761018,,48.49973331361339,-10.215121134414673,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15707.0,1814.5620823256386,False,False,False,False,17106.498085980147,False,False,False,False
2023-12-06 17:00:00+00:00,22.3,22.5,21.88,21.925,17726.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.82393721447232,,49.89817312277232,-10.125176208362845,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2019.0,1817.7316624446207,False,False,False,False,17116.10276681766,False,False,False,False
2023-12-07 17:00:00+00:00,21.705,22.005,21.685,21.895,24558.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.82933046177726,,50.48860204919019,-9.15323454057895,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22539.0,1440.1079157400527,False,False,False,False,17231.481018494906,False,False,False,False
2023-12-08 17:00:00+00:00,21.785,22.1,21.69,22.04,19737.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.841077929242562,,52.42398161186931,-6.781551316102714,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2802.0,1374.3388007673389,False,False,False,False,17270.326274022114,False,False,False,False
2023-12-11 17:00:00+00:00,22.11,22.45,22.07,22.38,15024.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.874457149865332,,56.650741608139704,-2.330011658790326,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12222.0,1542.5195945538917,False,False,False,False,17235.499510083788,False,False,False,False
2023-12-12 17:00:00+00:00,22.11,22.17,21.71,21.775,22532.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.875494071548818,,53.2294786060408,-2.330011658790326,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-10310.0,1358.7596008398777,False,False,False,False,17317.615796749153,False,False,False,False
2023-12-13 17:00:00+00:00,21.46,22.46,21.34,22.425,34549.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,21.90163835175478,,55.55722180787148,-2.330011658790326,False,False,True,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,24239.0,1713.492010129182,False,False,False,False,17584.769040210405,False,False,False,False
2023-12-14 17:00:00+00:00,23.745,23.86,23.07,23.265,42704.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,22.110274542510755,,60.72550517037849,2.0985315966512132,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,66943.0,2724.802211522528,False,False,False,False,17974.214481447452,False,False,False,False
2023-12-15 17:00:00+00:00,23.365,23.46,23.02,23.33,25864.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,22.20056423647693,,64.39469537450725,5.7265430871906915,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,92807.0,4121.42543304931,False,False,False,False,18096.536737549042,False,False,False,False
2023-12-18 17:00:00+00:00,23.425,23.925,23.355,23.73,22407.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,22.293412710050564,,68.14416183967802,9.421434620639914,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,115214.0,5843.790930211337,False,False,False,False,18163.365625338978,False,False,False,False
