date,Close,High,Low,Open,Volume,aVWAP_peak_162,aVWAP_valley_171,aVWAP_valley_136,aVWAP_valley_95,aVWAP_valley_53,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,166.717,172.943,166.5585,171.037,234531540,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,234531540.0,False,False,False,False
2022-01-07 00:00:00+00:00,162.554,171.4,161.93721,167.55,297460700,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-297460700,-22034125.925925925,False,False,False,False,239192959.25925928,False,False,False,False
2022-01-14 00:00:00+00:00,162.138,166.878,156.3045,160.5855,298290680,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-595751380,-64531700.30178326,False,False,False,False,243570568.20301783,False,False,False,False
2022-01-21 00:00:00+00:00,142.643,159.734495,142.0704,159.105,354499200,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-950250580,-130140506.20535487,False,False,False,False,251787503.8916832,False,False,False,False
2022-01-28 00:00:00+00:00,143.978,145.18475,135.352,139.0,494378880,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-455871700,-154268742.782736,False,False,False,False,269757235.4552622,False,False,False,False
2022-02-04 00:00:00+00:00,157.6395,161.2,138.333,144.75,703844260,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,247972560,-124473090.72475557,False,False,False,False,301911829.8659835,False,False,False,False
2022-02-11 00:00:00+00:00,153.2935,163.8345,152.73375,158.52,392818900,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-144846340,-125982220.3006996,False,False,False,False,308645686.91294765,False,False,False,False
2022-02-18 00:00:00+00:00,152.6015,160.34875,150.893,151.751,320542240,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-465388580,-151123432.1302774,False,False,False,False,309526913.0675441,False,False,False,False
2022-02-25 00:00:00+00:00,153.7885,153.99,139.5,150.4785,292352340,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-173036240,-152746603.08359018,False,False,False,False,308254722.46994823,False,False,False,False
2022-03-04 00:00:00+00:00,145.641,154.45,143.807,152.425,276072040,,,,,,,,#000000,,,,False,False,False,False,-0.13242364244582508,-0.13242364244582508,False,False,False,False,-449108280,-174699319.89221314,False,False,False,False,305870820.0647669,False,False,False,False
2022-03-11 00:00:00+00:00,145.5245,149.675,133.5725,145.4435,465216560,,,,,,,,#000000,,,,False,False,False,False,-0.3052568172860344,-0.21884022986592971,False,False,False,False,-914324840,-229486395.4557529,False,False,False,False,317674208.2081175,False,False,False,False
2022-03-18 00:00:00+00:00,161.2505,161.594,140.884,145.981,408835540,,,,,,,,#000000,,,,False,False,False,False,0.009570470508120828,-0.10463487967890445,False,False,False,False,-505489300,-249931055.05162308,False,False,False,False,324426899.4519606,False,False,False,False
2022-03-25 00:00:00+00:00,164.7735,166.37,159.553,161.12075,288330480,,,,,,,,#000000,,,,False,False,False,False,0.3428282511515965,0.11909668573634602,False,False,False,False,-217158820,-247503482.08483618,False,False,False,False,321753090.6036672,False,False,False,False
