date,Close,High,Low,Open,Volume,aVWAP_peak_161,aVWAP_valley_170,aVWAP_valley_141,aVWAP_valley_96,aVWAP_valley_70,aVWAP_valley_41,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,48.4432916784,49.9786528355,47.8256176498,49.2462679157,3204547,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3204547.0,False,False,False,False
2022-01-07 00:00:00+00:00,45.0196127766,49.4139222949,44.6048887859,48.5668264842,9569245,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-9569245,-708832.9629629629,False,False,False,False,3676006.111111111,False,False,False,False
2022-01-14 00:00:00+00:00,45.1696193264,47.7638502469,43.0121721833,44.289698553,11322306,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,1753061,-526470.4471879287,False,False,False,False,4242398.695473251,False,False,False,False
2022-01-21 00:00:00+00:00,43.3165972403,46.1113957419,43.1935036303,44.2872278568,9147851,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-7394790,-1035234.8585073415,False,False,False,False,4605765.532845602,False,False,False,False
2022-01-28 00:00:00+00:00,42.7959862733,43.109235245,39.6899683005,41.5429903865,11288766,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-18683556,-2342517.906025316,False,False,False,False,5100802.604486669,False,False,False,False
2022-02-04 00:00:00+00:00,43.9607430131,47.702082844,42.615096022,42.7871623586,18265536,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-418020,-2199962.5055789966,False,False,False,False,6075968.04119136,False,False,False,False
2022-02-11 00:00:00+00:00,41.6577012776,45.3196258762,41.2341533722,43.9925973452,23809475,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-24227495,-3831631.5792398117,False,False,False,False,7389561.14925126,False,False,False,False
2022-02-18 00:00:00+00:00,40.5497122883,42.882806651,39.9021233587,41.4190782486,10189436,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-34416931,-6097209.314110937,False,False,False,False,7596959.28634376,False,False,False,False
2022-02-25 00:00:00+00:00,41.8182769038,41.9336009597,37.2319279094,40.2037401205,16988879,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-17428052,-6936530.994547164,False,False,False,False,8292657.042910889,False,False,False,False
2022-03-04 00:00:00+00:00,38.7133984743,42.4550431142,38.2219405744,40.9843952684,12108603,,,,,,,,,#000000,,,,False,False,False,False,-0.2838658347605318,-0.2838658347605318,False,False,False,False,-29536655,-8610614.254210338,False,False,False,False,8575319.706398971,False,False,False,False
