date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_155,aVWAP_BoS_CHoCH_bull_214,aVWAP_BoS_CHoCH_bull_263,aVWAP_BoS_CHoCH_bull_481,aVWAP_BoS_CHoCH_bull_564,aVWAP_BoS_CHoCH_bull_635,aVWAP_BoS_CHoCH_bull_706,aVWAP_BoS_CHoCH_bear_90,aVWAP_BoS_CHoCH_bear_132,aVWAP_BoS_CHoCH_bear_296,aVWAP_BoS_CHoCH_bear_374,aVWAP_BoS_CHoCH_bear_616,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,0.84,0.86,0.8049,0.85,266378,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,266378.0,False,False,False,False
2022-01-04 00:00:00+00:00,0.8407,0.8459,0.825,0.835,245834,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,245834,9640.549019607843,False,False,False,False,265572.3529411765,False,False,False,False
2022-01-05 00:00:00+00:00,0.805,0.85,0.8047,0.8209,360051,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,67.25043782837132,-80.99824868651473,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-114217,4783.390234525182,False,False,False,False,269277.3979238755,False,False,False,False
2022-01-06 00:00:00+00:00,0.777,0.8047,0.7703,0.8,605045,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,45.149580985106965,-80.99824868651473,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-719262,-23610.54663741698,False,False,False,False,282444.75486803724,False,False,False,False
2022-01-07 00:00:00+00:00,0.79,0.7945,0.7703,0.7818,273311,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,36.68315729623423,-80.99824868651473,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-445951,-40172.91735751828,False,False,False,False,282086.568402624,False,False,False,False
2022-01-10 00:00:00+00:00,0.7749,0.8,0.7627,0.8,423996,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,29.75382402186616,-80.99824868651473,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-869947,-72713.077461145,False,False,False,False,287651.6441515407,False,False,False,False
2022-01-11 00:00:00+00:00,0.7889,0.795,0.775001,0.78,459790,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,29.788689847927785,-80.99824868651473,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-410157,-85946.17246266872,False,False,False,False,294402.1679103038,False,False,False,False
2022-01-12 00:00:00+00:00,0.8062,0.8062,0.7881,0.7911,400465,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,34.11677255913448,-80.99824868651473,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9692,-82955.81275825034,False,False,False,False,298561.49465891934,False,False,False,False
2022-01-13 00:00:00+00:00,0.782,0.8099,0.771,0.785,410801,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,33.85455604158308,-80.99824868651473,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-420493,-96192.56519910326,False,False,False,False,302963.04388798133,False,False,False,False
2022-01-14 00:00:00+00:00,0.7869,0.7999,0.765,0.7999,441054,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,34.721266124892516,-80.99824868651473,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,20561,-91613.99401482471,False,False,False,False,308378.3755002174,False,False,False,False
