date,Close,High,Low,Open,Volume,aVWAP_peak_148,aVWAP_valley_92,aVWAP_valley_44,aVWAP_OB_bull_150,aVWAP_OB_bull_92,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,34.81,34.82,34.06,34.39,59251786,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,59251786.0,False,False,False,False
2022-01-07 00:00:00+00:00,34.15,34.8,33.9703,34.38,57564627,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-57564627,-4264046.444444444,False,False,False,False,59126811.259259254,False,False,False,False
2022-01-14 00:00:00+00:00,34.54,34.77,34.07,34.07,49611452,,,,,,,,#000000,,,,11.076398750354983,-77.69099687588746,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7953175,-4537315.226337448,False,False,False,False,58421969.83264746,False,False,False,False
2022-01-21 00:00:00+00:00,34.84,35.14,34.43,34.55,56195905,,,,,,,,#000000,,,,23.22442478847385,-65.60157545506817,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,48242730,-627682.2466087476,False,False,False,False,58257076.14134023,False,False,False,False
2022-01-28 00:00:00+00:00,34.03,35.26,33.88,34.97,80027499,,,,,,,,#000000,,34.39,,25.593770582885764,-62.80001616510282,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-31784769,-2935614.598711803,False,False,False,False,59869700.05679651,False,False,False,False
2022-02-04 00:00:00+00:00,34.39,34.44,34.0196,34.16,77004042,,,,,,,,#000000,,34.33762815397959,,30.49488670296256,-57.2361134573723,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,45219273,631414.1123038856,False,False,False,False,61138910.57110789,False,False,False,False
2022-02-11 00:00:00+00:00,35.41,35.4766,34.455,34.52,76420461,,,,,,,,#000000,,34.59172965868847,,39.432475564942756,-47.690306127604025,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,121639734,9594993.363244338,False,False,False,False,62270877.26954434,False,False,False,False
2022-02-18 00:00:00+00:00,36.06,36.15,35.1099,35.39,75887066,,,,,,,,#000000,,34.88159251711911,,47.83640009061888,-38.70026049607952,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,197526800,23515867.92892994,False,False,False,False,63279483.842170686,False,False,False,False
2022-02-25 00:00:00+00:00,35.96,37.19,35.7,36.17,100967141,,,,,,,,#000000,,35.22652944356995,,53.257243590421695,-32.556235081839844,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,96559659,28926519.119379573,False,False,False,False,66071162.15015805,False,False,False,False
2022-03-04 00:00:00+00:00,37.4,37.465,35.95,36.42,127854067,,,,,,,,#000000,,35.63321328660535,,60.10131391311505,-24.973178097423975,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,0.3428282245224458,0.3428282245224458,False,False,False,False,224413726,43407052.96238849,False,False,False,False,70647673.62051672,False,False,False,False
2022-03-11 00:00:00+00:00,37.68,39.36,37.36,37.5525,179359658,,,,,,,,#000000,,37.195752904815045,,65.38900136290583,-18.860835454497654,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,0.3428282364826643,0.34282823050255506,False,False,False,False,403773384,70100855.26147082,False,False,False,False,78700413.20418215,False,False,False,False
