date,Open,High,Low,Close,Volume,aVWAP_peak_576,aVWAP_valley_582,aVWAP_valley_571,aVWAP_valley_556,aVWAP_valley_527,aVWAP_valley_475,aVWAP_valley_435,aVWAP_valley_425,aVWAP_valley_422,aVWAP_valley_421,aVWAP_valley_385,aVWAP_valley_370,aVWAP_valley_336,aVWAP_valley_311,aVWAP_valley_286,aVWAP_valley_266,aVWAP_valley_255,aVWAP_valley_215,aVWAP_valley_196,aVWAP_valley_165,aVWAP_OB_bull_582,aVWAP_OB_bull_556,aVWAP_OB_bull_527,aVWAP_OB_bull_435,aVWAP_OB_bull_311,aVWAP_OB_bull_286,aVWAP_OB_bull_255,aVWAP_OB_bull_215,aVWAP_OB_bull_196,aVWAP_OB_bull_165,aVWAP_OB_bear_138,aVWAP_OB_bear_79,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,1.225,1.25,1.21,1.24,198145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,198145.0,False,False,False,False
2023-10-31 16:00:00+00:00,1.205,1.225,1.15,1.21,75484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-75484.0,-1170.2945736434108,False,False,False,False,196243.27906976745,False,False,False,False
2023-11-01 16:00:00+00:00,1.185,1.185,1.145,1.18,30236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-105720.0,-2791.220239168319,False,False,False,False,193669.5228051199,False,False,False,False
2023-11-02 16:00:00+00:00,1.155,1.18,1.15,1.17,24295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-130015.0,-4763.6819408866395,False,False,False,False,191043.56121124205,False,False,False,False
2023-11-03 16:00:00+00:00,1.265,1.315,1.26,1.28,131253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,22.403821976364092,-29.836560221272318,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1238.0,-4670.632608469792,False,False,False,False,190116.5757661065,False,False,False,False
2023-11-06 16:00:00+00:00,1.26,1.285,1.235,1.27,72580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,35.89873753614501,-19.035365536051334,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-71342.0,-5704.29721919119,False,False,False,False,188294.30327360873,False,False,False,False
2023-11-06 20:00:00+00:00,1.275,1.275,1.245,1.265,35035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.163417433715196,-13.123770865068678,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-106377.0,-7265.114316568071,False,False,False,False,185918.19004456053,False,False,False,False
2023-11-07 16:00:00+00:00,1.225,1.245,1.215,1.235,13472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,45.81457696501688,-12.852214299961823,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-119849.0,-9010.600916311203,False,False,False,False,183244.60570278438,False,False,False,False
2023-11-07 20:00:00+00:00,1.235,1.245,1.235,1.245,23479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,48.04748699860778,-11.37886951749556,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-96370.0,-10365.010204430408,False,False,False,False,180767.61956785747,False,False,False,False
2023-11-08 16:00:00+00:00,1.19,1.195,1.15,1.155,13664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,42.47685065405618,-11.37886951749556,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-110034.0,-11910.265860175672,False,False,False,False,178176.86577610773,False,False,False,False
2023-11-08 20:00:00+00:00,1.155,1.18,1.155,1.165,17959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,39.86152094929417,-11.37886951749556,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-92075.0,-13153.129955366747,False,False,False,False,175692.86785709832,False,False,False,False
2023-11-09 16:00:00+00:00,1.195,1.195,1.15,1.155,14005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,37.52665255292479,-2.09642063794864,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-106080.0,-14593.856622725401,False,False,False,False,173186.07920815106,False,False,False,False
2023-11-09 20:00:00+00:00,1.155,1.17,1.15,1.155,6178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,35.97007362201187,-3.9122384166525137,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-106080.0,-16012.246442528109,False,False,False,False,170596.80666228823,False,False,False,False
2023-11-10 16:00:00+00:00,1.125,1.155,1.12,1.12,7278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,1.131666666666667,,32.906801314298235,-7.239803874634418,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-113358.0,-17521.482931791237,False,False,False,False,168064.73214039227,False,False,False,False
2023-11-10 20:00:00+00:00,1.12,1.145,1.12,1.14,21480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,1.134578204325753,,33.45803070801145,-7.239803874634418,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-91878.0,-18674.297149903,False,False,False,False,165792.10063433967,False,False,False,False
2023-11-13 16:00:00+00:00,1.13,1.16,1.13,1.14,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,1.134744947691019,,33.82551697048692,-7.491532135429786,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-91878.0,-19809.238279361867,False,False,False,False,163229.1378338073,False,False,False,False
2023-11-13 20:00:00+00:00,1.14,1.145,1.13,1.135,10551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,1.135298573256191,,33.695787885822085,-8.379467753945704,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-102429.0,-21090.164817666337,False,False,False,False,160862.03492165523,False,False,False,False
