date,Close,High,Low,Open,Volume,aVWAP_peak_179,aVWAP_peak_163,aVWAP_peak_155,aVWAP_peak_146,aVWAP_peak_128,aVWAP_peak_103,aVWAP_peak_87,aVWAP_peak_82,aVWAP_peak_72,aVWAP_peak_63,aVWAP_peak_51,aVWAP_peak_44,aVWAP_peak_32,aVWAP_valley_171,aVWAP_valley_158,aVWAP_valley_153,aVWAP_valley_132,aVWAP_OB_bull_132,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,40.1143718047,42.9970092205,39.2467819029,41.5137103561,29647,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,29647.0,False,False,False,False
2022-01-07 00:00:00+00:00,39.5919520789,41.8402226847,39.5919520789,40.6741072253,18862,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18862,-1397.1851851851852,False,False,False,False,28848.111111111113,False,False,False,False
2022-01-14 00:00:00+00:00,42.7264704339,43.4727843279,39.7505437814,40.1143718047,19404,,,,,,,,,,,,,,,,,,,,,#000000,,,,24.725274725487097,-111.81318681371773,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,542,-1253.541838134431,False,False,False,False,28148.54732510288,False,False,False,False
2022-01-21 00:00:00+00:00,39.3400711397,42.866404289,39.2387590286,42.8570753653,32671,,,,,,,,,,,,,,,,,,,,,#000000,,,,30.013019138462813,-105.46245246177655,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32129,-3540.612813087436,False,False,False,False,28483.543819539704,False,False,False,False
2022-01-28 00:00:00+00:00,42.7637861286,44.3123874587,39.731885934,39.7505437814,14564,,,,,,,,,,,,,,,,,,,,,#000000,,42.26935317376667,,39.49147077917338,-94.35294772939316,False,False,False,True,True,,-1.0,44.312386,39.731888,0.0,0,,,False,False,False,False,,,False,False,False,False,-17565,-4579.456308414293,False,False,False,False,27452.4664995738,False,False,False,False
2022-02-04 00:00:00+00:00,38.2019424513,43.5660735647,37.25972116,42.5398919604,27932,,,,,,,,,,,,,,,,,,,,,#000000,,40.56472243401924,,40.22921268398703,-91.09670702249066,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-45497,-7610.385470753975,False,False,False,False,27487.98749960537,False,False,False,False
2022-02-11 00:00:00+00:00,34.9927927069,42.4559316473,34.9927927069,37.922074741,98674,,,,,,,,,,,,,,,,,,,,,#000000,,38.40893860394141,,38.33771021125099,-89.89270789594146,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-144171,-17725.98654699442,False,False,False,False,32761.025462597565,False,False,False,False
2022-02-18 00:00:00+00:00,34.5450043705,37.0544848392,34.5450043705,34.9648059358,39632,,,,,,,,,,,,,,,,,,,,,#000000,,37.74532021719102,,36.7062481275131,-88.0210468675061,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-183803,-30027.98754351335,False,False,False,False,33269.98653944219,False,False,False,False
2022-02-25 00:00:00+00:00,37.7821408859,38.3278829209,34.0505714156,35.0021216306,32755,,,,,,,,,,,,,,,,,,,,,#000000,,37.15414361516714,,39.091425523413314,-81.9166162433894,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-151048,-38992.432910660515,False,False,False,False,33231.8393883724,False,False,False,False
2022-03-04 00:00:00+00:00,37.7821408859,39.3680579107,36.2428684794,37.4276417862,76738,,,,,,,,,,,,,,,,,,,,,#000000,,37.55942583660804,,40.79512366334204,-76.34903519002846,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.11779824060759385,-0.11779824060759385,False,False,False,False,-151048,-47292.845287648626,False,False,False,False,36454.517952196664,False,False,False,False
2022-03-11 00:00:00+00:00,37.2877079311,40.1143718047,34.9368191648,37.6608648781,92875,,,,,,,,,,,,,,,,,,,,,#000000,,37.52885947750349,,41.6087816876335,-71.57246125126,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.1480130261909499,-0.13290563339927186,False,False,False,False,-243923,-61858.04193300799,False,False,False,False,40633.81291870061,False,False,False,False
2022-03-18 00:00:00+00:00,38.6590597114,39.6945702393,36.7652882052,37.7354962675,84882,,,,,,,,,,,,,,,,,,,,,#000000,,37.733932034149284,,43.56133075713859,-65.70537779105179,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.07235991440173056,-0.10263277390050121,False,False,False,False,-159041,-69056.7795676,False,False,False,False,43911.45640620427,False,False,False,False
2022-03-25 00:00:00+00:00,38.5750993983,38.7051445943,36.9425377551,38.3418763064,27081,,,,,,,,,,,,,,,,,,,,,#000000,,37.75794234896158,,44.879113013656095,-60.53655403774004,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.11582219567410984,-0.10922748478730553,False,False,False,False,-186122,-77728.2773774074,False,False,False,False,42664.75593167062,False,False,False,False
2022-04-01 00:00:00+00:00,38.2206002986,40.204302629,37.7821408859,38.5750993983,26885,,,,,,,,,,,,,,,,,,,,,#000000,,38.12629411341013,,45.482938500958866,-56.151426813112984,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.008727652435580163,-0.050249916175862684,False,False,False,False,-213007,-87748.92349759945,False,False,False,False,41495.885121917236,False,False,False,False
2022-04-08 00:00:00+00:00,35.0394373253,38.0825322282,34.4890308284,38.0825322282,44755,,,,,,,,,,,,,,,,,,,,,#000000,,37.402636693169306,,43.35306669819572,-54.695929879418465,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.26660514153130604,-0.15842752885358435,False,False,False,False,-257762,-100342.48471999948,False,False,False,False,41737.30103881225,False,False,False,False
2022-04-15 00:00:00+00:00,35.9816586165,36.9789205574,34.1252028051,35.2166868751,50340,,,,,,,,,,,,,,,,,,,,,#000000,,36.7516534215635,,42.84239806367509,-51.73871219451381,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.2506278916344892,False,False,False,False,-207422,-108274.30066666618,False,False,False,False,42374.53799890023,False,False,False,False
2022-04-22 00:00:00+00:00,37.0918005339,38.2655657107,34.5140323438,35.6364884405,73740,,,,,,,,,,,,,,,,,,,,,#000000,,36.85705933997427,,43.59979450839597,-47.67105555676942,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.1709721849046093,-0.21080003826954924,False,False,False,False,-133682,-110156.35246913535,False,False,False,False,44697.90555453725,False,False,False,False
2022-04-29 00:00:00+00:00,36.9425377551,38.3885209248,35.6364884405,36.7652882052,136434,,,,,,,,,,,,,,,,,,,,,#000000,,36.97197694600126,,44.01614385179424,-44.09820032553641,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.04993465761376181,-0.13036734794165553,False,False,False,False,-270116,-122005.21524919939,False,False,False,False,51493.171809756706,False,False,False,False
2022-05-06 00:00:00+00:00,35.2166868751,38.9762431163,34.7782274623,37.3156947021,156266,,,,,,,,,,,,,,,,,,,,,#000000,,36.616750384127755,,42.946554106670376,-42.214046811702474,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.07598318557260175,-0.10317526675712864,False,False,False,False,-426382,-144551.64374925868,False,False,False,False,59254.12204607102,False,False,False,False
