date,Open,High,Low,Close,Volume,aVWAP_peak_383,aVWAP_peak_305,aVWAP_valley_413,aVWAP_valley_363,aVWAP_valley_345,aVWAP_valley_317,aVWAP_valley_285,aVWAP_valley_254,aVWAP_OB_bull_413,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-16 17:00:00+00:00,2.005,2.09,2.0,2.07,2574.0,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2574.0,False,False,False,False
2023-11-17 17:00:00+00:00,2.055,2.09,2.055,2.06,2906.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2906.0,-45.054263565891475,False,False,False,False,2579.1472868217056,False,False,False,False
2023-11-20 17:00:00+00:00,2.1,2.105,2.07,2.075,1932.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.930232558139764,-81.39534883720964,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-974.0,-59.45652304549005,False,False,False,False,2569.113995553152,False,False,False,False
2023-11-21 17:00:00+00:00,2.03,2.06,2.01,2.04,4179.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.85689122609982,-78.46833278023162,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5153.0,-138.4261893548623,False,False,False,False,2594.0734684903123,False,False,False,False
2023-11-22 17:00:00+00:00,2.08,2.08,2.04,2.05,1778.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,26.713954620281164,-70.80373803624366,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3375.0,-188.60562827959308,False,False,False,False,2581.4211666532533,False,False,False,False
2023-11-23 17:00:00+00:00,2.05,2.05,2.05,2.05,0.0,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,29.951996883068727,-64.19197222959762,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3375.0,-238.00709140704123,False,False,False,False,2541.39913306173,False,False,False,False
2023-11-24 17:00:00+00:00,2.17,2.19,2.165,2.19,321.0,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,47.941768840515536,-44.076235635319414,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3054.0,-281.66589619142815,False,False,False,False,2506.974340301083,False,False,False,False
2023-11-27 17:00:00+00:00,2.19,2.23,2.19,2.21,1787.0,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,60.50947194417827,-29.723965295417464,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1267.0,-296.9423939248944,False,False,False,False,2495.811947428198,False,False,False,False
2023-11-28 17:00:00+00:00,2.225,2.245,2.195,2.24,1732.0,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,69.6209274957927,-18.772194778187547,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,465.0,-285.1293335539658,False,False,False,False,2483.9699017316366,False,False,False,False
2023-11-29 17:00:00+00:00,2.28,2.325,2.27,2.305,2896.0,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,76.79686822911512,-9.60032164924425,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3361.0,-228.60019659964073,False,False,False,False,2490.357965270681,False,False,False,False
