date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_43,aVWAP_BoS_CHoCH_bull_152,aVWAP_BoS_CHoCH_bull_336,aVWAP_BoS_CHoCH_bull_492,aVWAP_BoS_CHoCH_bull_567,aVWAP_BoS_CHoCH_bull_807,aVWAP_BoS_CHoCH_bear_49,aVWAP_BoS_CHoCH_bear_352,aVWAP_BoS_CHoCH_bear_606,aVWAP_BoS_CHoCH_bear_648,aVWAP_BoS_CHoCH_bear_744,aVWAP_BoS_CHoCH_bear_792,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,15.1,15.61,14.9837,15.14,6631,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,6631.0,False,False,False,False
2022-01-04 00:00:00+00:00,15.0,15.1903,14.97,15.1,12165,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-12165,-477.05882352941177,False,False,False,False,6848.019607843137,False,False,False,False
2022-01-05 00:00:00+00:00,14.88,15.42,14.83,15.25,14070,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-26235,-1487.1741637831603,False,False,False,False,7131.234525182623,False,False,False,False
2022-01-06 00:00:00+00:00,14.37,14.7499,14.14,14.68,41144,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-67379,-4071.1673338308797,False,False,False,False,8465.06846537154,False,False,False,False
2022-01-07 00:00:00+00:00,14.41,14.57,14.28,14.46,13965,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,1.9667383321882046,-48.19715652882748,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-53414,-6006.180379563002,False,False,False,False,8680.752054964812,False,False,False,False
2022-01-10 00:00:00+00:00,13.97,14.37,13.65,14.37,15429,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,2.4586636902304884,-47.85548819129917,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-68843,-8470.369384286021,False,False,False,False,8945.389229279917,False,False,False,False
2022-01-11 00:00:00+00:00,13.13,14.2,13.1137,14.2,94088,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,2.2511956137671905,-47.85548819129917,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-162931,-14527.649016274805,False,False,False,False,12284.315141857176,False,False,False,False
2022-01-12 00:00:00+00:00,13.14,13.61,13.12,13.46,64570,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,2.311601203760027,-47.85548819129917,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-98361,-17815.23140779344,False,False,False,False,14334.734155901993,False,False,False,False
2022-01-13 00:00:00+00:00,12.96,13.42,12.86,13.15,382730,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,2.2648405523615054,-47.85548819129917,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-481091,-35982.908607487814,False,False,False,False,28781.607326258778,False,False,False,False
2022-01-14 00:00:00+00:00,12.97,13.36,12.78,12.94,134391,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,2.446178984068349,-47.85548819129917,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-346700,-48167.89258366477,False,False,False,False,32923.152136993725,False,False,False,False
