date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2022-01-03 00:00:00+00:00,10.5,10.875,10.245,10.26,188726,,#000000
2022-01-04 00:00:00+00:00,10.74,10.89,10.35,10.575,200561,,#000000
2022-01-05 00:00:00+00:00,9.63,10.8,9.51,10.62,189902,,#000000
2022-01-06 00:00:00+00:00,9.06,9.66,8.97,9.6,374038,,#000000
2022-01-07 00:00:00+00:00,8.76,9.18,8.64,9.06,221884,,#000000
2022-01-10 00:00:00+00:00,8.25,8.7,7.995,8.7,263297,,#000000
2022-01-11 00:00:00+00:00,8.52,8.79,8.1597,8.175,770585,,#000000
2022-01-12 00:00:00+00:00,8.82,9.21,8.34,8.61,449541,,#000000
2022-01-13 00:00:00+00:00,8.34,8.97,8.25,8.85,240556,,#000000
2022-01-14 00:00:00+00:00,8.04,8.28,7.77,8.25,283869,,#000000
2022-01-18 00:00:00+00:00,7.35,7.83,7.305,7.8,278989,,#000000
2022-01-19 00:00:00+00:00,7.17,7.755,7.14,7.32,311430,,#000000
2022-01-20 00:00:00+00:00,7.11,7.77,7.11,7.26,190885,,#000000
2022-01-21 00:00:00+00:00,6.51,7.02,6.39,6.9,365675,,#000000
2022-01-24 00:00:00+00:00,6.87,7.095,6.0,6.27,424865,,#000000
2022-01-25 00:00:00+00:00,6.75,6.99,6.435,6.57,164611,,#000000
2022-01-26 00:00:00+00:00,6.36,6.975,6.27,6.975,302747,,#000000
2022-01-27 00:00:00+00:00,5.94,6.51,5.85,6.48,249128,,#000000
2022-01-28 00:00:00+00:00,6.03,6.03,5.565,6.0,319737,5.875,#000000
2022-01-31 00:00:00+00:00,6.51,6.54,5.94,6.06,380548,6.122255531676388,#000000
2022-02-01 00:00:00+00:00,7.08,7.08,6.36,6.51,228492,6.298830607347082,#000000
2022-02-02 00:00:00+00:00,6.57,7.2003,6.45,7.11,183823,6.371736830217509,#000000
2022-02-03 00:00:00+00:00,6.03,6.42,5.985,6.33,113730,6.350709227777189,#000000
2022-02-04 00:00:00+00:00,6.81,6.9,6.03,6.09,232322,6.3872287614180765,#000000
2022-02-07 00:00:00+00:00,6.96,7.545,6.84,6.9747,255622,6.495749534380152,#000000
2022-02-08 00:00:00+00:00,7.17,7.17,6.8976,6.96,126536,6.535855513877044,#000000
2022-02-09 00:00:00+00:00,7.68,7.7097,7.29,7.32,140681,6.608560160202595,#000000
2022-02-10 00:00:00+00:00,7.26,7.95,7.11,7.38,238744,7.068982841996455,#000000
2022-02-11 00:00:00+00:00,6.93,7.4697,6.855,7.2,149572,7.012804743233863,#000000
2022-02-14 00:00:00+00:00,6.93,7.2,6.75,6.99,117644,6.978521296326614,#000000
2022-02-15 00:00:00+00:00,7.68,7.71,7.05,7.08,146864,7.028187964915305,#000000
2022-02-16 00:00:00+00:00,7.41,7.59,7.17,7.59,85364,7.044130205011111,#000000
2022-02-17 00:00:00+00:00,6.75,7.26,6.63,7.17,131605,7.014802822210573,#000000
2022-02-18 00:00:00+00:00,6.42,6.84,6.345,6.84,113690,6.969515372304516,#000000
2022-02-22 00:00:00+00:00,6.48,6.72,5.91,6.09,159721,6.904288491848508,#000000
2022-02-23 00:00:00+00:00,6.15,6.66,6.09,6.51,110457,6.863646579253329,#000000
2022-02-24 00:00:00+00:00,6.75,6.87,5.52,5.61,194028,6.668795350981088,#000000
2022-02-25 00:00:00+00:00,6.81,6.84,6.36,6.57,97755,6.695854241292751,#000000
2022-02-28 00:00:00+00:00,6.87,7.1097,6.6324,6.72,102973,6.731183066943747,#000000
2022-03-01 00:00:00+00:00,6.81,7.08,6.6,6.96,135360,6.752348613551312,#000000
2022-03-02 00:00:00+00:00,6.81,6.93,6.6,6.81,55887,6.755910046945541,#000000
2022-03-03 00:00:00+00:00,6.45,6.9,6.42,6.9,90763,6.747336716933954,#000000
