date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2021-12-31 00:00:00+00:00,6.6622588071,6.8983230955,6.5311119802,6.6797450507,1089470,,#000000
2022-01-07 00:00:00+00:00,6.3125339353,6.8895799737,6.3037908135,6.6447725635,1545146,,#000000
2022-01-14 00:00:00+00:00,6.0502402815,6.5573413455,5.9890384289,6.2688183263,1422172,,#000000
2022-01-21 00:00:00+00:00,5.5343960956,6.1332999385,5.307074929,6.0677265251,1159373,,#000000
2022-01-28 00:00:00+00:00,5.4207355123,5.8054328713,5.1846712239,5.3857630251,1365916,5.470279869166667,#000000
2022-02-04 00:00:00+00:00,5.94532282,6.0414971597,5.4207355123,5.4207355123,1655547,5.65232302645353,#000000
2022-02-11 00:00:00+00:00,6.1901302302,6.408708275,5.9103503328,5.94532282,1370224,5.813755961493598,#000000
2022-02-18 00:00:00+00:00,6.4873963712,6.7409469032,6.1376714994,6.1639008648,1438198,5.972030503028299,#000000
2022-02-25 00:00:00+00:00,6.242588961,6.5748275891,5.6830291661,6.4174513968,1393008,6.009596710241254,#000000
2022-03-04 00:00:00+00:00,6.5573413455,6.7846625122,6.111442134,6.1464146212,1336513,6.284114961529099,#000000
2022-03-11 00:00:00+00:00,6.3737357879,6.5485982237,5.8222196651,6.5223688584,1955420,6.229224165716659,#000000
2022-03-18 00:00:00+00:00,6.3824789097,6.7380365381,5.7005154097,6.3562495443,2060658,6.228720096884846,#000000
2022-03-25 00:00:00+00:00,5.961077276,6.5931797265,5.8996228711,6.3824789097,1835963,6.208250541624546,#000000
2022-04-01 00:00:00+00:00,6.0313108816,6.3385829062,5.961077276,6.0225316809,1821332,6.189871403538383,#000000
2022-04-08 00:00:00+00:00,5.8206100648,6.2156740963,5.8030516634,6.0137524802,876464,6.171880708366881,#000000
2022-04-15 00:00:00+00:00,5.8645060683,5.9961940788,5.7152596564,5.8469476669,834988,6.151715288011524,#000000
2022-04-22 00:00:00+00:00,5.5747924452,5.9961940788,5.4035980315,5.8118308641,1166555,6.111774069070572,#000000
2022-04-29 00:00:00+00:00,5.5045588396,5.609909248,5.2587412199,5.4694420368,1173266,6.063102290519292,#000000
2022-05-06 00:00:00+00:00,5.197286815,5.6450260508,5.021702801,5.4870004382,3156208,5.935147425821318,#000000
2022-05-13 00:00:00+00:00,5.5396756424,5.9435188746,5.0041443996,5.0568196038,2393935,5.756444314327825,#000000
2022-05-20 00:00:00+00:00,5.4782212375,5.7415972585,5.3553124276,5.5045588396,882101,5.749714792673807,#000000
2022-05-27 00:00:00+00:00,5.7415972585,5.7547660595,5.0831572059,5.4782212375,2206558,5.732420435471146,#000000
2022-06-03 00:00:00+00:00,5.7142066788,5.9879940158,5.6274676494,5.7064804557,1008303,5.752477657791965,#000000
2022-06-10 00:00:00+00:00,5.0871453585,5.793693325,4.9193402165,5.7583659267,2032970,5.629384290519888,#000000
2022-06-17 00:00:00+00:00,5.1754638544,5.3079415981,4.8089420968,4.9105083669,1725148,5.469212433667615,#000000
2022-06-24 00:00:00+00:00,5.5905607847,5.6788792805,5.1754638544,5.2196231023,9328150,5.5361164953932915,#000000
2022-07-01 00:00:00+00:00,5.9703303166,6.005657715,5.5883528223,5.6612155813,2312256,5.575472063684093,#000000
2022-07-08 00:00:00+00:00,6.2087902553,6.3324361494,5.7407022275,5.8378525729,1531291,5.611641272947078,#000000
2022-07-15 00:00:00+00:00,6.0321532637,6.3324361494,5.9350029183,6.1469673082,1471427,5.641747573976067,#000000
