date,Open,High,Low,Close,Volume,aVWAP_peak_866,aVWAP_peak_807,aVWAP_peak_785,aVWAP_peak_752,aVWAP_peak_734,aVWAP_peak_643,aVWAP_peak_624,aVWAP_peak_600,aVWAP_peak_558,aVWAP_peak_528,aVWAP_peak_463,aVWAP_peak_414,aVWAP_peak_373,aVWAP_peak_329,aVWAP_peak_175,aVWAP_peak_155,aVWAP_valley_841,aVWAP_valley_798,aVWAP_valley_775,aVWAP_valley_745,aVWAP_valley_689,aVWAP_valley_669,aVWAP_valley_641,aVWAP_valley_586,aVWAP_valley_546,aVWAP_valley_479,aVWAP_valley_405,aVWAP_valley_388,aVWAP_valley_355,aVWAP_OB_bull_775,aVWAP_OB_bull_641,aVWAP_OB_bull_355,aVWAP_OB_bear_866,aVWAP_OB_bear_175,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-16 15:00:00+00:00,49.435,49.5,49.25,49.43,1636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1636.0,False,False,False,False
2025-01-16 16:00:00+00:00,49.43,49.485,49.34,49.475,1506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1506.0,23.348837209302324,False,False,False,False,1633.9844961240308,False,False,False,False
2025-01-16 17:00:00+00:00,49.465,49.51,49.34,49.44,2473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,84.44444444444389,-4.44444444444639,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-967.0,7.994591671173607,False,False,False,False,1646.9924884321852,False,False,False,False
2025-01-16 18:00:00+00:00,49.44,49.49,49.39,49.435,2320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,72.83376399655494,-4.44444444444639,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3287.0,-43.09059579659653,False,False,False,False,1657.4267134177326,False,False,False,False
2025-01-16 19:00:00+00:00,49.435,49.54,49.4,49.46,1733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,69.82700944701924,-4.44444444444639,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1554.0,-66.51554779975007,False,False,False,False,1658.598392279473,False,False,False,False
2025-01-16 20:00:00+00:00,49.46,49.62,49.44,49.495,6699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,71.53075606205479,-4.44444444444639,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5145.0,14.283142863811946,False,False,False,False,1736.7441536394813,False,False,False,False
2025-01-17 15:00:00+00:00,49.62,49.66,49.51,49.57,2131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,76.22249475387727,-4.44444444444639,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7276.0,126.8679003387916,False,False,False,False,1742.8566473815047,False,False,False,False
2025-01-17 16:00:00+00:00,49.57,49.655,49.57,49.655,2430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,81.03821913751831,0.99897624868008,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9706.0,275.38157630253124,False,False,False,False,1753.5100326934194,False,False,False,False
2025-01-17 17:00:00+00:00,49.655,49.755,49.45,49.465,1738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,70.06197987155987,0.99897624868008,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7968.0,394.64697822032144,False,False,False,False,1753.2695670702656,False,False,False,False
2025-01-17 18:00:00+00:00,49.465,49.54,49.38,49.48,1711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,63.43673164214595,0.99897624868008,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9679.0,538.590435922332,False,False,False,False,1752.6142249451452,False,False,False,False
2025-01-17 19:00:00+00:00,49.49,49.71,49.42,49.675,2820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,65.15048144384599,0.99897624868008,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12499.0,724.0231423421408,False,False,False,False,1769.1628416126623,False,False,False,False
2025-01-17 20:00:00+00:00,49.675,49.81,49.555,49.77,5824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,68.05574878728669,0.99897624868008,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18323.0,996.8754967244331,False,False,False,False,1832.0285339907605,False,False,False,False
2025-01-20 15:00:00+00:00,49.77,49.77,49.77,49.77,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,69.99259368291382,0.99897624868008,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18323.0,1265.4975820465347,False,False,False,False,1803.624990828113,False,False,False,False
2025-01-20 16:00:00+00:00,49.77,49.77,49.77,49.77,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,71.28382361333189,2.028449126819673,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18323.0,1529.9549838752705,False,False,False,False,1775.661812675739,False,False,False,False
