date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,2.94,3.2,2.84,3.2,2889381,,#000000,,,,,,False,False,False,False,False,,,,3.02,3.02,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2889381.0,False,False,False,False
2022-01-07 00:00:00+00:00,2.59,3.03,2.48,3.01,2505488,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,2.755,2.755,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2505488,-185591.70370370368,False,False,False,False,2860944.481481482,False,False,False,False
2022-01-14 00:00:00+00:00,2.52,2.77,2.42,2.53,3390544,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,2.5949999999999998,2.5949999999999998,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5896032,-608587.281207133,False,False,False,False,2900174.0754458164,False,False,False,False
2022-01-21 00:00:00+00:00,2.2,2.66,2.1699,2.65,2240319,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,,2.41495,2.41495,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8136351,-1166199.408525123,False,False,False,False,2851295.921709089,False,False,False,False
2022-01-28 00:00:00+00:00,2.03,2.24,1.84,2.14,2836446,2.0366666666666666,"rgba(239, 83, 80, 0.5)",,2.0366666666666666,,0.0,-50.0,False,False,False,True,True,,,,2.04,2.04,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10972797,-1892614.0449306695,False,False,False,False,2850195.9275084157,False,False,False,False
2022-02-04 00:00:00+00:00,2.23,2.45,2.04,2.07,2283841,2.127360997537833,"rgba(239, 83, 80, 0.5)",,2.127360997537833,,5.952834151688799,-44.37271146598168,False,False,False,True,True,,,,2.04,2.245,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8688956,-2396046.7823432125,False,False,False,False,2808243.71065594,False,False,False,False
2022-02-11 00:00:00+00:00,3.23,3.3599,2.2193,2.22,6821933,2.589520451071911,"rgba(239, 83, 80, 0.5)",,2.589520451071911,,22.13492617089704,-29.319736817326753,False,False,False,True,True,,,,2.7896,2.7896,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1867023,-2356859.8355029747,False,False,False,False,3105554.0283851298,False,False,False,False
2022-02-18 00:00:00+00:00,3.01,3.77,3.0,3.22,4478552,3.01619251400604,"rgba(239, 83, 80, 0.5)",,3.01619251400604,,31.716098365188728,-21.104286355049275,False,False,False,True,True,,,,2.7896,3.385,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6345575,-2652320.2180583095,False,False,False,False,3207257.5818380835,False,False,False,False
2022-02-25 00:00:00+00:00,2.81,2.99,2.55,2.81,1814057,2.948029469466685,"rgba(239, 83, 80, 0.5)",,2.948029469466685,,37.01324873360092,-17.098386087229287,False,False,False,True,True,,,,2.77,3.385,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8159632,-3060269.2389428793,False,False,False,False,3104057.538738966,False,False,False,False
2022-03-04 00:00:00+00:00,2.58,3.0,2.54,2.91,1183121,2.913082273155881,"rgba(239, 83, 80, 0.5)",,2.913082273155881,,39.26069839720446,-15.898212891294499,False,False,False,True,True,,,,2.77,3.385,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9342753,-3525638.4064285923,False,False,False,False,2961765.9432768207,False,False,False,False
2022-03-11 00:00:00+00:00,2.5,2.71,2.42,2.58,2477265,2.8363981223204755,"rgba(239, 83, 80, 0.5)",,2.8363981223204755,,40.37436614230418,-15.566661907681002,False,False,False,True,True,,,,2.565,2.565,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11820018,-4140036.894841289,False,False,False,False,2925876.9845155748,False,False,False,False
