date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,4.6126269294,4.8199360049,4.1202678751,4.1461815096,23167514,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,23167514.0,False,False,False,False
2022-01-07 00:00:00+00:00,5.2777435465,5.3554844498,4.6385405638,4.6385405638,46420439,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,46420439,3438551.037037037,False,False,False,False,24889952.888888888,False,False,False,False
2022-01-14 00:00:00+00:00,5.7269132101,5.8608003213,5.2518299121,5.2604677903,40190790,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,86611229,9599490.145404663,False,False,False,False,26023348.230452675,False,False,False,False
2022-01-21 00:00:00+00:00,5.2691056684,5.9155644688,5.1740890088,5.8651192604,24266480,,"rgba(38, 166, 154, 0.5)",,,,91.01894494234953,41.510096390814795,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,62344749,13506546.356856167,False,False,False,False,25893209.843011737,False,False,False,False
2022-01-28 00:00:00+00:00,5.5282420127,5.8003351743,4.9235905426,5.0358829585,36482312,,"rgba(38, 166, 154, 0.5)",,,,86.04188448920107,37.17358251754683,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,98827061,19826584.478570525,False,False,False,False,26677587.780566424,False,False,False,False
2022-02-04 00:00:00+00:00,5.7182753319,6.0292389452,5.4418632313,5.5800692816,30034645,,"rgba(38, 166, 154, 0.5)",,,,83.32974124864165,35.08249530398362,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,128861706,27903260.14682456,False,False,False,False,26926258.68570965,False,False,False,False
2022-02-11 00:00:00+00:00,5.7873783571,5.8953518339,5.2863814247,5.7096374538,35799692,,"rgba(38, 166, 154, 0.5)",,,,81.67203124349177,33.96355055329461,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,164661398,38033492.58039311,False,False,False,False,27583550.042323753,False,False,False,False
2022-02-18 00:00:00+00:00,5.5714314035,6.0378768233,5.4159495969,5.7701026008,37031188,,"rgba(38, 166, 154, 0.5)",,,,77.77297582815459,30.654411889714623,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,127630210,44670286.46332695,False,False,False,False,28283375.076225698,False,False,False,False
2022-02-25 00:00:00+00:00,5.9687737981,5.9687737981,5.4073117187,5.7873783571,31283153,,"rgba(38, 166, 154, 0.5)",,,,76.76581583264367,30.10896353106044,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,158913363,53132736.57715459,False,False,False,False,28505580.84835713,False,False,False,False
2022-03-04 00:00:00+00:00,6.4611328524,6.6073721294,5.9514980418,5.9946874326,53166533,,"rgba(38, 166, 154, 0.5)",,,,77.55712240121301,30.10896353106044,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,212079896,64906600.2381061,False,False,False,False,30332318.04477512,False,False,False,False
