date,Open,High,Low,Close,Volume,aVWAP_peak_616,aVWAP_peak_594,aVWAP_peak_577,aVWAP_valley_612,aVWAP_valley_582,aVWAP_valley_557,aVWAP_valley_521,aVWAP_valley_507,aVWAP_valley_455,aVWAP_valley_441,aVWAP_valley_420,aVWAP_valley_395,aVWAP_valley_375,aVWAP_valley_355,aVWAP_valley_338,aVWAP_valley_324,aVWAP_valley_258,aVWAP_valley_242,aVWAP_valley_212,aVWAP_OB_bull_507,aVWAP_OB_bull_455,aVWAP_OB_bull_258,aVWAP_OB_bull_212,aVWAP_OB_bear_447,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,39.75,40.18,39.66,40.15,9348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,9348.0,False,False,False,False
2023-10-31 16:00:00+00:00,39.635,39.86,39.41,39.71,23730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-23730.0,-367.90697674418607,False,False,False,False,9570.976744186046,False,False,False,False
2023-11-01 16:00:00+00:00,40.24,40.58,40.095,40.37,22425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.930232558139533,-81.3953488372093,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-1305.0,-382.4355507481522,False,False,False,False,9770.263926446727,False,False,False,False
2023-11-02 16:00:00+00:00,41.425,41.735,41.355,41.655,16520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,42.06518976001617,-60.28086409970638,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,15215.0,-140.61484453500256,False,False,False,False,9874.91099735453,False,False,False,False
2023-11-03 16:00:00+00:00,41.57,41.785,41.515,41.585,13491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,55.19183307306321,-46.38614534077432,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1724.0,-111.70608725539012,False,False,False,False,9930.97439274438,False,False,False,False
2023-11-06 16:00:00+00:00,41.39,41.58,41.295,41.39,7360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,61.31012642776894,-38.324993899619244,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-5636.0,-197.35405489484143,False,False,False,False,9891.114324639815,False,False,False,False
2023-11-06 20:00:00+00:00,41.39,41.41,41.185,41.25,4712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,63.608204621351284,-33.02788953697203,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-10348.0,-354.7284106329059,False,False,False,False,9810.817978521367,False,False,False,False
2023-11-07 16:00:00+00:00,41.01,41.045,40.585,40.59,13335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,58.81756832556874,-33.02788953697203,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-23683.0,-716.407039925419,False,False,False,False,9865.456459474524,False,False,False,False
2023-11-07 20:00:00+00:00,40.58,40.705,40.535,40.61,8107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,55.78273257437741,-33.02788953697203,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-15576.0,-946.7883261281256,False,False,False,False,9838.193568629958,False,False,False,False
2023-11-08 16:00:00+00:00,40.32,40.47,40.21,40.34,5819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,51.69090195401754,-33.02788953697203,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-21395.0,-1263.8148637075344,False,False,False,False,9775.88049004655,False,False,False,False
