date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_238,aVWAP_BoS_CHoCH_bull_301,aVWAP_BoS_CHoCH_bull_392,aVWAP_BoS_CHoCH_bull_593,aVWAP_BoS_CHoCH_bull_646,aVWAP_BoS_CHoCH_bear_112,aVWAP_BoS_CHoCH_bear_377,aVWAP_BoS_CHoCH_bear_527,aVWAP_BoS_CHoCH_bear_577,aVWAP_BoS_CHoCH_bear_696,aVWAP_BoS_CHoCH_bear_793,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,35.28,35.29,32.74,34.3,984634,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,984634.0,False,False,False,False
2022-01-04 00:00:00+00:00,32.77,35.34,32.32,35.23,1256575,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1256575,-49277.450980392154,False,False,False,False,995298.3529411765,False,False,False,False
2022-01-05 00:00:00+00:00,29.82,32.62,29.68,32.55,1076933,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2333508,-138855.1195693964,False,False,False,False,998499.7116493656,False,False,False,False
2022-01-06 00:00:00+00:00,29.09,30.697,28.435,29.84,806264,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3139772,-256538.1344882436,False,False,False,False,990961.0562905669,False,False,False,False
2022-01-07 00:00:00+00:00,28.05,29.58,27.835,28.76,1047939,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4187711,-410701.7762730184,False,False,False,False,993195.4854556427,False,False,False,False
2022-01-10 00:00:00+00:00,27.53,27.71,26.56,27.71,1115115,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5302826,-602549.7850466255,False,False,False,False,997976.6428887547,False,False,False,False
2022-01-11 00:00:00+00:00,28.05,28.49,27.2,27.49,676130,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,2.901416516891918,-47.34036819284908,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4626696,-760359.4405349932,False,False,False,False,985355.2059127252,False,False,False,False
2022-01-12 00:00:00+00:00,26.11,28.3647,26.11,28.13,739966,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,4.072059327360661,-46.42846875641339,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5366662,-940998.7565924445,False,False,False,False,975732.0997985008,False,False,False,False
2022-01-13 00:00:00+00:00,24.99,26.19,24.85,26.19,927443,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,4.546344798705414,-46.15948641509882,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6294105,-1150924.491628035,False,False,False,False,973838.4096103243,False,False,False,False
2022-01-14 00:00:00+00:00,24.94,25.3137,24.03,24.78,636463,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,4.849744184258997,-46.00433550714555,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6930568,-1377577.1782308572,False,False,False,False,960608.0013903116,False,False,False,False
2022-01-18 00:00:00+00:00,23.4,24.46,23.34,24.42,1076481,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,4.70401423601805,-46.00433550714555,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8007049,-1637556.465359059,False,False,False,False,965152.040551476,False,False,False,False
2022-01-19 00:00:00+00:00,22.52,23.98,22.39,23.4,1079275,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,4.448961145889018,-46.00433550714555,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9086324,-1929664.996129292,False,False,False,False,969627.450725928,False,False,False,False
2022-01-20 00:00:00+00:00,21.88,23.84,21.78,22.7,1965246,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,4.175084770603303,-46.00433550714555,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-11051570,-2287386.760986967,False,False,False,False,1008671.3154033426,False,False,False,False
2022-01-21 00:00:00+00:00,21.59,22.25,21.3186,21.56,1643646,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,3.946643565804349,-44.99910784606085,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-12695216,-2695536.9272227725,False,False,False,False,1033572.2834267409,False,False,False,False
