date,Close,High,Low,Open,Volume,aVWAP_OB_bull_817,aVWAP_OB_bull_713,aVWAP_OB_bull_628,aVWAP_OB_bull_420,aVWAP_OB_bull_353,aVWAP_OB_bear_102,Peaks_Valleys_avg
2022-01-03 00:00:00+00:00,57.359289718,57.8134252304,57.2408195843,57.359289718,410123,,,,,,,
2022-01-04 00:00:00+00:00,58.6328436549,58.9882540559,57.931895364,57.931895364,606464,,,,,,,
2022-01-05 00:00:00+00:00,58.0306204754,59.136341723,57.8924053195,58.9487640113,669526,,,,,,,
2022-01-06 00:00:00+00:00,58.6032261215,59.0277441005,58.3458497561,58.8796564334,568743,,,,,,,
2022-01-07 00:00:00+00:00,60.0051227032,60.1137203258,58.3514770874,58.6723336995,865690,,,,,,,
2022-01-10 00:00:00+00:00,59.9557601475,60.3802781265,59.3140469235,60.1235928369,561693,,,,,,,
2022-01-11 00:00:00+00:00,60.3506605931,60.4000231488,59.2844293901,60.1630828815,629107,,,,,,,
2022-01-12 00:00:00+00:00,60.4000231488,60.6073458827,60.0544852589,60.271680504,465973,,,,,,,
2022-01-13 00:00:00+00:00,60.7060709941,61.1404614842,60.5283657936,60.5876008604,786190,,,,,,,
2022-01-14 00:00:00+00:00,60.84428615,60.8936487057,59.7977999693,60.1828279037,470551,,,,,,,
2022-01-18 00:00:00+00:00,60.133465348,60.8739036835,59.8965250807,60.7159435052,414224,,,,,,,
2022-01-19 00:00:00+00:00,58.8302938777,60.3210430597,58.7611862997,60.3210430597,364245,,,,,,,
2022-01-20 00:00:00+00:00,58.3366683207,59.8076724804,58.2083256759,58.9092739668,449811,,,,,,,
2022-01-21 00:00:00+00:00,57.4086522737,58.5637360769,57.2112020509,58.356413343,482809,,,,,,,
2022-01-24 00:00:00+00:00,58.2083256759,58.3465408319,56.2140784258,56.796556583,875315,,,,,,,
2022-01-25 00:00:00+00:00,57.576484963,58.1165113223,56.1844608924,57.4481423182,799597,,,,,,,57.2924857259
2022-01-26 00:00:00+00:00,57.9022778306,58.6543657292,57.2506920954,58.001002942,576645,,,,,,,57.56202523388817
2022-01-27 00:00:00+00:00,57.5271224073,59.2449393455,57.1618394952,58.4057758987,558547,,,,,,,57.68210193052521
2022-01-28 00:00:00+00:00,58.1392180979,58.1490906091,56.9643892724,57.3197996734,836861,,,,,,,57.702874343190935
2022-01-31 00:00:00+00:00,58.8994014557,58.9882540559,57.2506920954,57.5567399407,1535988,,,,,,,57.94412276395991
2022-02-01 00:00:00+00:00,59.8076724804,59.9755051698,58.642716166,58.8796564334,641313,,,,,,,58.14254108429879
2022-02-02 00:00:00+00:00,60.6073458827,60.6764534607,59.7286923913,59.7484374136,645580,,,,,,,58.39582769548406
2022-02-03 00:00:00+00:00,60.3210430597,61.1602065065,60.1828279037,60.9627562837,479009,,,,,,,58.5660934163553
