date,Open,High,Low,Close,Volume,aVWAP_peak_18,aVWAP_peak_17,aVWAP_OB_bull_2,Peaks_Valleys_avg,Peaks_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-06-04 16:00:00+00:00,19.08,19.08,19.08,19.08,0.0,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-06-05 16:00:00+00:00,19.08,19.08,19.08,19.08,0.0,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,0.0,False,False,False,False
2025-06-06 16:00:00+00:00,18.48,18.48,18.27,18.27,48.0,,,18.34,,,#000000,,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-48.0,-0.7441860465116279,False,False,False,False,0.7441860465116279,False,False,False,False
2025-06-09 16:00:00+00:00,18.27,19.385,18.27,19.385,0.0,,,18.34,,,#000000,,,,20.254314259763877,-80.38147138964581,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-48.0,-1.4768343248602847,False,False,False,False,0.7326482783486569,False,False,False,False
2025-06-10 16:00:00+00:00,19.385,19.9,19.385,19.9,619.0,,,19.628423288355823,,,#000000,,,,36.89574872473344,-63.378748945196826,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,571.0,7.398775509633673,False,False,False,False,10.318188615118444,False,False,False,False
2025-06-11 16:00:00+00:00,19.9,20.08,19.9,20.01,397.0,,,19.765822368421052,,,#000000,,,,48.53197990610941,-50.663936668294404,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,968.0,22.29181774979439,False,False,False,False,16.313255458294904,False,False,False,False
2025-06-12 16:00:00+00:00,19.67,19.67,19.67,19.67,0.0,,,19.765822368421052,,,#000000,,,,52.47510163011296,-44.456998552578135,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,968.0,36.95396011026269,False,False,False,False,16.060336769019013,False,False,False,False
2025-06-13 16:00:00+00:00,19.67,19.68,19.37,19.37,26.0,,,19.758845565749237,,,#000000,,,,52.35567770527312,-41.26223837189817,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,942.0,50.985681658940784,False,False,False,False,16.214440074925694,False,False,False,False
2025-06-16 16:00:00+00:00,20.38,20.38,20.34,20.34,10.0,,,19.76425,,,#000000,,,,57.57389046776929,-32.7000524150321,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,952.0,64.95489589678667,False,False,False,False,16.11809216678731,False,False,False,False
2025-06-17 16:00:00+00:00,20.28,20.28,20.28,20.28,0.0,,,19.76425,,,#000000,,,,60.5408937104707,-26.278648936892033,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,952.0,78.7075331697047,False,False,False,False,15.868199264976653,False,False,False,False
