date,Close,High,Low,Open,Volume,aVWAP_peak_862,aVWAP_peak_847,aVWAP_peak_789,aVWAP_peak_768,aVWAP_peak_747,aVWAP_peak_733,aVWAP_peak_706,aVWAP_peak_693,aVWAP_peak_662,aVWAP_peak_646,aVWAP_peak_627,aVWAP_peak_610,aVWAP_peak_590,aVWAP_peak_566,aVWAP_peak_546,aVWAP_peak_532,aVWAP_peak_449,aVWAP_peak_433,aVWAP_peak_394,aVWAP_peak_369,aVWAP_peak_357,aVWAP_peak_333,aVWAP_peak_316,aVWAP_peak_271,aVWAP_peak_270,aVWAP_peak_253,aVWAP_peak_252,aVWAP_peak_217,aVWAP_valley_837,aVWAP_valley_822,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,43.95,46.5,43.458,43.5,3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3022.0,False,False,False,False
2022-01-04 00:00:00+00:00,45.3,46.5,43.95,43.95,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,667,26.15686274509804,False,False,False,False,2929.6470588235293,False,False,False,False
2022-01-05 00:00:00+00:00,45.0,49.95,45.0,48.0,3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,93.45238095238099,23.809523809523967,False,False,True,False,True,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2440,-70.55517108804307,False,False,False,False,2936.6020761245677,False,False,False,False
2022-01-06 00:00:00+00:00,44.7015,46.35,44.7,45.147,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,84.34760468854641,23.809523809523967,False,False,True,False,True,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4556,-246.45496830027668,False,False,False,False,2904.4216025510555,False,False,False,False
2022-01-07 00:00:00+00:00,44.85,45.585,44.6295,45.3,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,79.274242651416,23.809523809523967,False,False,True,False,False,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3384,-369.49594993555996,False,False,False,False,2836.4835004902297,False,False,False,False
2022-01-10 00:00:00+00:00,44.85,45.75,44.55,45.75,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,75.89200129332906,23.809523809523967,False,False,True,False,False,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-3384,-487.7117950361262,False,False,False,False,2750.6214024317896,False,False,False,False
2022-01-11 00:00:00+00:00,42.45,45.45,40.95,44.85,5490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,59.04616192298831,29.34489968886396,False,False,True,False,False,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-8874,-816.5858422896115,False,False,False,False,2858.0480141011317,False,False,False,False
2022-01-12 00:00:00+00:00,43.05,43.95,42.75,43.35,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,51.50582427732421,22.34161767967305,False,False,False,False,False,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-7827,-1091.504044552764,False,False,False,False,2787.0265233520677,False,False,False,False
2022-01-13 00:00:00+00:00,40.65,42.948,40.35,42.45,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,41.6844178690711,13.13284506959328,False,False,False,True,False,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-8670,-1388.6999643742242,False,False,False,False,2710.790189102967,False,False,False,False
2022-01-14 00:00:00+00:00,41.4,42.882,40.35,40.95,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,38.24258906440239,9.807485825141725,False,False,False,True,False,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-8322,-1660.5940834183725,False,False,False,False,2618.131750314615,False,False,False,False
