date,Close,High,Low,Open,Volume,aVWAP_valley_24,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,14.9631891268,15.016820629,14.0782693397,14.1527575373,235727,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,235727.0,False,False,False,False
2022-01-07 00:00:00+00:00,14.7307859504,15.3445686983,14.2307615777,14.9631891268,432082,,,#000000,,,,False,False,False,False,,,False,False,False,False,-432082,-32006.074074074073,False,False,False,False,250271.8148148148,False,False,False,False
2022-01-14 00:00:00+00:00,14.5043418298,14.9214757361,14.2898158208,14.6831135039,478624,,,#000000,,,,False,False,False,False,,,False,False,False,False,-910706,-97094.95747599451,False,False,False,False,267186.7914951989,False,False,False,False
2022-01-21 00:00:00+00:00,14.3970788253,14.7218473666,14.0216583095,14.2957748766,426136,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1336842,-188928.07173703195,False,False,False,False,278960.806939999,False,False,False,False
2022-01-28 00:00:00+00:00,13.8607638028,14.5436120075,13.1933495526,14.3255701556,397624,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1734466,-303412.362719474,False,False,False,False,287750.67309259163,False,False,False,False
2022-02-04 00:00:00+00:00,13.2767763339,14.4030378811,13.1695133294,13.8130913564,352439,,,#000000,,,,False,False,False,False,,,False,False,False,False,-2086905,-435522.92844395735,False,False,False,False,292542.4010116589,False,False,False,False
2022-02-11 00:00:00+00:00,12.9041632317,13.7555268773,12.8145094806,13.2767763339,517747,,,#000000,,,,False,False,False,False,,,False,False,False,False,-2604652,-596199.1559666272,False,False,False,False,309224.2231589434,False,False,False,False
2022-02-18 00:00:00+00:00,14.1473619126,14.8107996702,12.7015457543,12.7906018137,588415,,,#000000,,,,False,False,False,False,,,False,False,False,False,-2016237,-701387.1444135436,False,False,False,False,329905.02144346613,False,False,False,False
2022-02-25 00:00:00+00:00,14.2310387469,14.3924154988,13.4002473207,14.0696619951,164593,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1851644,-786591.3559384664,False,False,False,False,317659.68652172794,False,False,False,False
2022-03-04 00:00:00+00:00,16.9146743611,17.141797197,13.8485160758,14.0338004946,4034940,,,#000000,,,,False,False,False,False,0.34282822090357623,0.34282822090357623,False,False,False,False,2183296,-566599.6999430244,False,False,False,False,593013.7838164148,False,False,False,False
2022-03-11 00:00:00+00:00,16.9744435284,17.0342126958,16.8788128607,16.962489695,1856425,,,#000000,,,,False,False,False,False,0.34282823424220366,0.34282822757288994,False,False,False,False,4039721,-225390.7592065041,False,False,False,False,686599.7998300137,False,False,False,False
2022-03-18 00:00:00+00:00,16.3169826876,17.0222588623,16.2034212696,16.9744435284,1860818,,,#000000,,,,False,False,False,False,0.2749451097365076,0.30888666865469877,False,False,False,False,2178903,-47294.9251912075,False,False,False,False,773578.9257685312,False,False,False,False
