date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color
2021-12-31 00:00:00+00:00,32.1,32.1,29.403,31.5,23263,,#000000
2022-01-07 00:00:00+00:00,30.0,32.4,28.521,32.4,21824,,#000000
2022-01-14 00:00:00+00:00,33.6,34.5,29.4,29.4,63003,,#000000
2022-01-21 00:00:00+00:00,29.4,34.5,28.5,33.3,20869,,#000000
2022-01-28 00:00:00+00:00,28.68,31.8,26.403,27.6,16188,28.961000000000006,#000000
2022-02-04 00:00:00+00:00,31.8,34.2,27.8328,27.8328,24810,30.362893897263284,#000000
2022-02-11 00:00:00+00:00,30.6,33.0,29.7,31.2,23179,30.629116724060022,#000000
2022-02-18 00:00:00+00:00,29.997,33.9,28.95,31.2,25649,30.720456493665534,#000000
2022-02-25 00:00:00+00:00,27.603,30.0,25.2,29.4,11254,30.3731438365651,#000000
2022-03-04 00:00:00+00:00,26.154,28.41,25.5,27.0,11502,29.996649153505892,#000000
2022-03-11 00:00:00+00:00,27.0,27.72,24.9,26.1,14101,29.611891848156425,#000000
2022-03-18 00:00:00+00:00,26.4,27.57,24.06,25.56,21961,27.544870109119778,#000000
2022-03-25 00:00:00+00:00,27.579,32.1,24.84,26.16,55020,28.187908958114818,#000000
2022-04-01 00:00:00+00:00,27.9,28.6497,25.2,28.17,29159,27.987134108888807,#000000
2022-04-08 00:00:00+00:00,26.406,29.4,26.406,29.4,15598,27.935034382124346,#000000
2022-04-15 00:00:00+00:00,25.08,27.051,24.603,26.7,8029,27.81030474045065,#000000
2022-04-22 00:00:00+00:00,23.1,25.578,21.6,25.323,10541,27.521320453225638,#000000
2022-04-29 00:00:00+00:00,22.497,25.05,21.6,22.2,15453,27.132236938175954,#000000
2022-05-06 00:00:00+00:00,22.512,24.6,21.0,22.368,7266,26.959773301478307,#000000
2022-05-13 00:00:00+00:00,17.98797,22.2,15.675,21.70053,10388,24.541556578492973,#000000
2022-05-20 00:00:00+00:00,19.593,21.0,18.0,19.53,19178,24.22578515901595,#000000
2022-05-27 00:00:00+00:00,19.5,20.511,17.403,18.903,19801,23.798201846997763,#000000
2022-06-03 00:00:00+00:00,19.8,22.50303,19.203,19.203,12227,23.690083783698604,#000000
2022-06-10 00:00:00+00:00,20.93988,21.897,18.336,21.117,24028,23.45427001216167,#000000
