date,Close,High,Low,Open,Volume,aVWAP_peak_124,aVWAP_peak_89,aVWAP_peak_79,aVWAP_peak_49,aVWAP_peak_32,aVWAP_peak_13,aVWAP_valley_171,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,3.92,4.3,3.792,4.27,17139654,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,17139654.0,False,False,False,False
2022-01-07 00:00:00+00:00,3.9,4.29,3.74,3.99,12688649,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-12688649,-939899.9259259258,False,False,False,False,16809949.925925925,False,False,False,False
2022-01-14 00:00:00+00:00,3.93,4.15,3.785,3.97,10844573,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-1844076,-1006875.9314128943,False,False,False,False,16368070.153635116,False,False,False,False
2022-01-21 00:00:00+00:00,3.43,3.86,3.41,3.83,10705247,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-12549323,-1861872.0105674947,False,False,False,False,15948601.771884367,False,False,False,False
2022-01-28 00:00:00+00:00,3.41,3.59,3.12,3.3,13149448,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-25698771,-3627568.232006939,False,False,False,False,15741257.04804108,False,False,False,False
2022-02-04 00:00:00+00:00,3.63,3.88,3.37,3.39,8696442,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-17002329,-4618291.251858277,False,False,False,False,15219418.896334331,False,False,False,False
2022-02-11 00:00:00+00:00,4.04,4.13,3.59,3.63,12135249,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-4867080,-4636720.048016923,False,False,False,False,14990961.866976233,False,False,False,False
2022-02-18 00:00:00+00:00,3.53,4.06,3.48,3.94,10019303,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-14886383,-5395954.34075641,False,False,False,False,14622690.839792809,False,False,False,False
2022-02-25 00:00:00+00:00,3.54,3.545,3.11,3.46,6852202,,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-8034181,-5591378.537737417,False,False,False,False,14047099.07388223,False,False,False,False
2022-03-04 00:00:00+00:00,3.19,3.59,3.15,3.54,7511972,,,,,,,,,,#000000,,,,False,False,False,False,-0.2996151029602987,-0.2996151029602987,False,False,False,False,-15546153,-6328769.238645757,False,False,False,False,13563015.586927991,False,False,False,False
