date,Close,High,Low,Open,Volume,aVWAP_peak_165,aVWAP_peak_153,aVWAP_peak_118,aVWAP_peak_104,aVWAP_peak_83,aVWAP_peak_58,aVWAP_peak_45,aVWAP_peak_12,aVWAP_valley_171,aVWAP_valley_136,aVWAP_valley_113,aVWAP_valley_95,aVWAP_OB_bull_171,aVWAP_OB_bull_136,aVWAP_OB_bull_95,aVWAP_OB_bear_12,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,91.1507265483,91.7261303178,89.8346596619,90.1014608509,2442102,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2442102.0,False,False,False,False
2022-01-07 00:00:00+00:00,95.7708803447,95.9824258482,91.4215047927,91.4215047927,3203618,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3203618,237305.03703703702,False,False,False,False,2498510.5925925924,False,False,False,False
2022-01-14 00:00:00+00:00,99.8748631126,100.3994959613,94.5523782445,95.8301130857,2824165,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,6027783,666229.330589849,False,False,False,False,2522633.141289437,False,False,False,False
2022-01-21 00:00:00+00:00,96.4732114163,101.651845342,95.7454948843,101.0933652128,4610323,,,,,,,,,,,,,,,,,,,#000000,,,,91.36602883138785,41.838199129671324,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,1417460,721876.0468424528,False,False,False,False,2677276.834527257,False,False,False,False
2022-01-28 00:00:00+00:00,95.669338503,99.054066559,92.7923196554,94.2054436188,5498724,,,,,,,,,,,,,,,,,,,#000000,,,,83.78184209378031,35.022900327989305,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-4081264,366087.8952244934,False,False,False,False,2886272.9208585713,False,False,False,False
2022-02-04 00:00:00+00:00,99.2657577033,100.2222068484,94.9446571013,95.3033255307,6889573,,,,,,,,,,,,,,,,,,,#000000,,,,80.91871787457528,32.88564150555551,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,2808309,546993.1622449013,False,False,False,False,3182813.66746164,False,False,False,False
2022-02-11 00:00:00+00:00,100.9139245338,103.2153802892,99.3511549484,100.0001740112,3993230,,,,,,,,,,,,,,,,,,,#000000,,101.16015325713332,,79.7052873179522,32.26357794516667,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,6801539,1010292.8539304641,False,False,False,False,3242844.506908926,False,False,False,False
2022-02-18 00:00:00+00:00,98.0360373739,101.2640532387,97.8652428837,100.71751087,3540917,,,,,,,,,,,,,,,,,,,#000000,,100.17082038000522,,75.07354395035958,28.297925108430874,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,3260622,1176983.9017874668,False,False,False,False,3264923.9508415987,False,False,False,False
2022-02-25 00:00:00+00:00,97.6773689445,98.958327621,92.5535342385,97.3101607906,5482101,,,,,,,,,,,,,,,,,,,#000000,,97.48877423579371,,71.35815728582705,25.245318259207366,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-2221479,925245.9090624694,False,False,False,False,3429159.287816295,False,False,False,False
2022-03-04 00:00:00+00:00,98.1299743435,100.5210972063,95.8157090013,95.8157090013,5136671,,,,,,,,,,,,,,,,,,,#000000,,97.85405595352353,,69.02335870437823,23.484907881068438,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,,,False,False,False,False,0.13507765153370893,0.13507765153370893,False,False,False,False,2915192,1072649.3232059903,False,False,False,False,3555641.6368669397,False,False,False,False
