date,Close,High,Low,Open,Volume,aVWAP_peak_74,aVWAP_peak_56,aVWAP_peak_33,aVWAP_peak_22,aVWAP_valley_91,aVWAP_OB_bear_74,aVWAP_OB_bear_33,aVWAP_OB_bear_22,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,2.65,5.7,2.57,3.3,68147256,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,68147256.0,False,False,False,False
2022-01-07 00:00:00+00:00,2.76,3.0678,2.57,2.66,1967001,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1967001,145703.77777777778,False,False,False,False,63245014.88888889,False,False,False,False
2022-01-14 00:00:00+00:00,2.86,2.92,2.56,2.69,1183436,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3150437,368276.6090534979,False,False,False,False,58647860.89711934,False,False,False,False
2022-01-21 00:00:00+00:00,2.41,2.8599,2.3218,2.79,658511,,,,,,,,,,,#000000,,,,79.88417256896501,30.984256881599734,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2491926,525583.9713458314,False,False,False,False,54352353.49733272,False,False,False,False
2022-01-28 00:00:00+00:00,2.22,2.64,1.72,2.3,2440797,,,,,,,,,,,#000000,,2.1933333333333334,,63.473166332344256,16.295790783020223,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,51129,490439.1586535476,False,False,False,False,50507053.01604882,False,False,False,False
2022-02-04 00:00:00+00:00,2.61,3.09,2.21,2.21,1525394,,,,,,,,,,,#000000,,2.500252829057737,,59.4386823875021,13.756658965057639,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1576523,570889.8135680996,False,False,False,False,46878781.97782298,False,False,False,False
2022-02-11 00:00:00+00:00,2.42,2.81,2.4,2.67,889121,,,,,,,,,,,#000000,,2.4995030984133315,,54.39486580160697,10.066086686821514,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,687402,579520.3458963885,False,False,False,False,43472140.42391017,False,False,False,False
2022-02-18 00:00:00+00:00,2.17,2.4726,2.15,2.45,454826,,,,,,,,,,,#000000,,2.467031936093176,,48.67017379547415,5.601928621494025,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,232576,553820.7647188782,False,False,False,False,40285672.688805714,False,False,False,False
2022-02-25 00:00:00+00:00,1.96,2.15,1.73,2.11,697415,,,,,,,,,,,#000000,,2.3827092303660713,,43.227335542494764,1.3135332147469825,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-464839,478364.4858508131,False,False,False,False,37353209.15630159,False,False,False,False
2022-03-04 00:00:00+00:00,1.83,2.09,1.79,1.94,285755,,,,,,,,,,,#000000,,2.3533529578997165,,38.630380101527535,-2.27450276002466,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-750594,387330.5239359381,False,False,False,False,34607471.81139036,False,False,False,False
2022-03-11 00:00:00+00:00,1.7,1.89,1.62,1.8,594500,,,,,,,,,,,#000000,,2.2846064728016273,,34.708007419110544,-5.352027925354221,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-1345094,259002.78142216487,False,False,False,False,32087992.41795404,False,False,False,False
2022-03-18 00:00:00+00:00,1.93,1.95,1.58,1.67,352941,,,,,,,,,,,#000000,,2.1106388577434485,,34.80472304795359,-5.352027925354221,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.3353273601656389,-0.3390778072905164,False,False,False,False,-992153,166324.57539089338,False,False,False,False,29737247.86847596,False,False,False,False
2022-03-25 00:00:00+00:00,2.2,2.24,1.8594,1.99,457140,,,,,,,,,,,#000000,,2.155536363203995,,37.56896219151398,-5.352027925354221,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.11315990299527773,-0.22611885514289706,False,False,False,False,-535013,114373.64388045686,False,False,False,False,27568350.98932959,False,False,False,False
2022-04-01 00:00:00+00:00,2.35,2.62,2.08,2.26,446793,,,,,,,,,,,#000000,,2.2406823862622427,,40.805587286905684,-5.352027925354221,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.10920293183398803,-0.058457961654454514,False,False,False,False,-88220,99366.70729671931,False,False,False,False,25559346.693823695,False,False,False,False
2022-04-08 00:00:00+00:00,2.21,2.43,2.09,2.42,450016,,,,,,,,,,,#000000,,2.2357758009166684,,42.08779144789956,-5.352027925354221,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.04242763276096649,-0.008015164446744012,False,False,False,False,-538236,52136.877126591964,False,False,False,False,23699396.27205898,False,False,False,False
2022-04-15 00:00:00+00:00,1.94,2.33,1.93,2.33,445735,,,,,,,,,,,#000000,,2.2072134843354325,,41.293302920134884,-5.352027925354221,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.03884308717974087,-0.02342912581324244,False,False,False,False,-983971,-24611.854512414837,False,False,False,False,21976902.844499055,False,False,False,False
2022-04-22 00:00:00+00:00,1.9,2.1,1.82,1.92,447816,,,,,,,,,,,#000000,,2.173226073499905,,40.495049141693855,-5.352027925354221,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.10296744059134723,-0.06319828320229484,True,False,False,False,-1431787,-128847.05047445817,False,False,False,False,20382155.67083246,False,False,False,False
2022-04-29 00:00:00+00:00,2.28,2.45,1.82,1.87,588148,,,,,,,,,,,#000000,,2.177917822582728,,42.96421981793438,-5.352027925354221,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.09176928411652988,0.014285500457117517,False,False,False,False,-843639,-181794.60229116498,False,False,False,False,18915932.880400427,False,False,False,False
2022-05-06 00:00:00+00:00,2.18,2.56,2.1134,2.38,372038,,,,,,,,,,,#000000,,2.2043173950801465,,44.07506647408728,-5.352027925354221,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.32636073009236455,0.17032311527474103,False,False,False,False,-1215677,-258378.48360293053,False,False,False,False,17542311.0374078,False,False,False,False
2022-05-13 00:00:00+00:00,1.85,2.085,1.67,2.08,383626,,,,,,,,,,,#000000,,2.046073527586769,,42.97836317549164,-5.352027925354221,False,False,False,True,True,,1.0,2.085,1.67,27.0,1,,,False,False,False,False,-0.1966125503384443,-0.013144717531851632,False,False,False,False,-1599303,-357706.22555826895,False,False,False,False,16271297.330933148,False,False,False,False
2022-05-20 00:00:00+00:00,2.06,2.24,1.69,1.9,443763,,,,,,,,,,,#000000,,2.049087534549294,,43.69453268504733,-5.352027925354221,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.10474035911944372,-0.05894253832564768,False,False,False,False,-1155540,-416805.02366506384,False,False,False,False,15098887.380493656,False,False,False,False
