date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-21 00:00:00+00:00,12.6342211474,13.1261423678,12.6250452124,13.0805880809,13142,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,13142.0,False,False,False,False
2022-01-28 00:00:00+00:00,12.5172117077,12.5859986808,12.2020411203,12.3712427571,42956,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-42956,-3181.9259259259256,False,False,False,False,15350.444444444443,False,False,False,False
2022-02-04 00:00:00+00:00,12.9204322239,13.2231079212,12.774072808,12.8593244019,261528,,"rgba(239, 83, 80, 0.5)",,,,22.48229283417953,-106.20573208544882,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,218572,13244.290809327846,False,False,False,False,33585.81893004115,False,False,False,False
2022-02-11 00:00:00+00:00,13.3148672704,13.7313636073,13.0806531585,13.0870958362,215658,,"rgba(239, 83, 80, 0.5)",,,,41.29317825771742,-87.19406656914146,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,434230,44428.4174160443,False,False,False,False,47072.647157445506,False,False,False,False
2022-02-18 00:00:00+00:00,13.7183480968,13.8615187126,13.2628052283,13.2823284941,36376,,"rgba(38, 166, 154, 0.5)",,,,55.834963889341005,-72.06744938030099,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,470606,75997.12723707805,False,False,False,False,46280.30292356065,False,False,False,False
2022-02-25 00:00:00+00:00,13.822472181,13.8289148587,12.885355423,13.5426387047,36317,,"rgba(38, 166, 154, 0.5)",,,,66.40920274030002,-60.40650234817147,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,506923,107917.56225655373,False,False,False,False,45542.28048477838,False,False,False,False
2022-03-04 00:00:00+00:00,14.1789019369,14.4081701548,13.6467627889,13.7378713626,40714,,"rgba(38, 166, 154, 0.5)",,,,74.44331529663413,-50.779498979045854,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,547637,140489.37245977198,False,False,False,False,45184.6300784985,False,False,False,False
2022-03-11 00:00:00+00:00,13.9526272863,14.1869064758,13.3864525783,14.0827823916,64761,,"rgba(38, 166, 154, 0.5)",,,,76.45542211301587,-46.48251575258398,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,482876,165851.34487015926,False,False,False,False,46634.73155416528,False,False,False,False
2022-03-18 00:00:00+00:00,14.8996358324,14.9014580038,13.8094566705,14.0827823916,80085,14.536850168900001,"rgba(38, 166, 154, 0.5)",,14.536850168900001,,79.91454679342274,-40.32354817251925,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,562961,195266.87487977708,False,False,False,False,49112.5292168197,False,False,False,False
2022-03-25 00:00:00+00:00,14.0779666527,14.8441897575,13.9982466507,14.7465734285,118626,14.399515998663711,"rgba(38, 166, 154, 0.5)",,14.399515998663711,,75.75151225366892,-40.32354817251925,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,444335,213716.36562942324,False,False,False,False,54261.675200758975,False,False,False,False
2022-04-01 00:00:00+00:00,14.0827823916,14.3105538258,13.9916738179,14.0242125942,68529,14.329976829242712,"rgba(38, 166, 154, 0.5)",,14.329976829242712,,72.79419073441971,-40.32354817251925,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,512864,235875.44965687336,False,False,False,False,55318.514074776824,False,False,False,False
