date,Close,High,Low,Open,Volume,aVWAP_peak_167,aVWAP_peak_148,aVWAP_peak_134,aVWAP_peak_64,aVWAP_peak_31,aVWAP_valley_177,aVWAP_valley_144,aVWAP_valley_111,aVWAP_valley_89,aVWAP_valley_36,aVWAP_valley_14,aVWAP_OB_bull_144,aVWAP_OB_bear_64,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore
2022-01-03 00:00:00+00:00,30.46,31.0,28.81,29.56,973261,,,,,,,,,,,,,,,,,#000000,,,
2022-01-04 00:00:00+00:00,29.33,30.44,28.845,29.88,1519352,,,,,,,,,,,,,,,,,#000000,,,
2022-01-05 00:00:00+00:00,27.67,29.99,27.63,29.32,1265135,,,,,,,,,,,,,,,,,#000000,,,
2022-01-06 00:00:00+00:00,28.41,28.765,27.07,27.69,1261282,,,,,,,,,,,,,,,,,#000000,,,
2022-01-07 00:00:00+00:00,28.63,29.6594,28.0,28.37,1023858,,,,,,,,,,,,,,,,,#000000,,,
2022-01-10 00:00:00+00:00,29.17,29.255,27.4684,28.55,910401,,,,,,,,,,,,,,,,,#000000,,,
2022-01-11 00:00:00+00:00,30.23,30.25,28.85,29.13,1025748,,,,,,,,,,,,,,,,,#000000,,,
2022-01-12 00:00:00+00:00,29.16,30.46,29.08,30.28,1356493,,,,,,,,,,,,,,,,,#000000,,,
2022-01-13 00:00:00+00:00,27.73,29.04,27.6,29.04,1445118,,,,,,,,,,,,,,,,,#000000,,,
2022-01-14 00:00:00+00:00,28.99,29.13,27.14,27.37,1122121,,,,,,,,,,,,,,,,,#000000,,,
2022-01-18 00:00:00+00:00,27.43,29.19,27.34,28.78,1500265,,,,,,,,,,,,,,,,,#000000,,,
2022-01-19 00:00:00+00:00,27.84,30.23,27.3,27.55,1289650,,,,,,,,,,,,,,,,,#000000,,,
2022-01-20 00:00:00+00:00,26.79,29.13,26.53,28.49,1858635,,,,,,,,,,,,,,,,,#000000,,,
2022-01-21 00:00:00+00:00,26.54,27.13,26.12,26.59,1511436,,,,,,,,,,,,,,,,,#000000,,,
2022-01-24 00:00:00+00:00,27.66,27.82,25.21,26.25,2155457,,,,,,,,,,,26.896666666666665,,,26.896666666666665,,26.896666666666665,#000000,,26.896666666666665,
2022-01-25 00:00:00+00:00,26.83,27.95,26.09,27.19,2051446,,,,,,,,,,,26.92592495001667,,,26.92592495001667,,26.92592495001667,#000000,,26.92592495001667,
2022-01-26 00:00:00+00:00,26.51,28.23,26.33,27.43,1612842,,,,,,,,,,,26.95292000422699,,,26.95292000422699,,26.95292000422699,#000000,,26.95292000422699,
