date,Close,High,Low,Open,Volume,aVWAP_OB_bull_30,aVWAP_OB_bear_161,aVWAP_OB_bear_145,aVWAP_OB_bear_93,aVWAP_OB_bear_70,aVWAP_OB_bear_53,aVWAP_OB_bear_45,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,42.45,47.304,40.419,40.419,10427,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,10427.0,False,False,False,False
2022-01-07 00:00:00+00:00,44.85,49.95,43.458,43.5,10084,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,10084,746.9629629629629,False,False,False,False,10401.592592592593,False,False,False,False
2022-01-14 00:00:00+00:00,41.4,45.75,40.35,45.75,8375,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,86.5260691271236,-3.895723491505578,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,1709,818.2249657064472,False,False,False,False,10251.47462277092,False,False,False,False
2022-01-21 00:00:00+00:00,37.5,43.5,37.5,42.0,3562,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,72.34212505165009,-3.895723491505578,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,-1853,620.3564497281918,False,False,False,False,9755.957984047149,False,False,False,False
2022-01-28 00:00:00+00:00,32.7,41.55,29.7,37.5,13871,,,,,,,,0.0,0.0,0.0,0.0,34.65,#000000,,34.65,,59.502881474814366,-3.895723491505578,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-15724,-590.3366206220445,False,False,False,False,10060.775911154768,False,False,False,False
2022-02-04 00:00:00+00:00,31.8,33.9,31.65,33.0,1821,,,,,,,,0.0,0.0,0.0,0.0,34.39469793525363,#000000,,34.39469793525363,,49.299464178620404,-3.895723491505578,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-17545,-1846.2376116870782,False,False,False,False,9450.422139958118,False,False,False,False
2022-02-11 00:00:00+00:00,31.95,33.0,30.75,33.0,1932,,,,,,,,0.0,0.0,0.0,0.0,34.12122106218793,#000000,,34.12122106218793,,41.59099496441784,31.4950980066192,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-15613,-2865.9977885991466,False,False,False,False,8893.501981442703,False,False,False,False
2022-02-18 00:00:00+00:00,35.8395,36.1725,31.35,31.9215,2654,,,,,,,,0.0,0.0,0.0,0.0,34.16477542163921,#000000,,34.16477542163921,,40.294795526852894,29.338508600018486,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-12959,-3613.627582036247,False,False,False,False,8431.316649483984,False,False,False,False
2022-02-25 00:00:00+00:00,33.9,35.7,33.0,35.7,2511,,,,,,,,0.0,0.0,0.0,0.0,34.16865663258589,#000000,,34.16865663258589,,38.358105990717576,26.223807299078302,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-15470,-4491.8773907743025,False,False,False,False,7992.774675448134,False,False,False,False
2022-03-04 00:00:00+00:00,36.15,39.15,33.7515,34.95,3495,,,,,,,,0.0,0.0,0.0,0.0,35.40463885824075,#000000,,35.40463885824075,,38.78005963426122,25.1719731792912,False,True,False,True,False,,,,1,,,False,False,False,False,,,False,False,False,False,-11975,-5046.1827692354655,False,False,False,False,7659.606180970494,False,False,False,False
