date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_54,aVWAP_BoS_CHoCH_bull_162,aVWAP_BoS_CHoCH_bear_150,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-06-06 00:00:00+00:00,27.0,27.26,26.0,26.0,1044167,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1044167.0,False,False,False,False
2024-06-07 00:00:00+00:00,27.14,27.64,26.925,27.49,671787,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,671787,26344.58823529412,False,False,False,False,1029563.8627450981,False,False,False,False
2024-06-10 00:00:00+00:00,27.25,27.29,26.0,27.05,477890,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1149677,70396.83967704729,False,False,False,False,1007929.5936178394,False,False,False,False
2024-06-11 00:00:00+00:00,26.99,27.36,26.54,27.36,224613,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,81.78132962705578,33.299552158134475,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,925064,103913.19890539837,False,False,False,False,977211.2958289046,False,False,False,False
2024-06-12 00:00:00+00:00,27.18,27.6,26.45,26.9,226511,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,75.19665397910208,28.275747834896023,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1151575,144997.97541891216,False,False,False,False,947772.0685414966,False,False,False,False
2024-06-13 00:00:00+00:00,28.88,29.175,27.82,27.82,446075,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,80.303383051996,25.800320405069556,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1597650,201964.7214809156,False,False,False,False,928097.673696732,False,False,False,False
2024-06-14 00:00:00+00:00,30.29,31.33,29.62,29.88,332802,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,84.99237534130597,29.23478119439855,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1930452,269748.5363248013,False,False,False,False,904752.7453164681,False,False,False,False
2024-06-17 00:00:00+00:00,30.39,30.87,28.89,30.29,524170,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,88.17603136294926,31.44186328777664,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2454622,355429.84862578945,False,False,False,False,889827.9317746458,False,False,False,False
2024-06-18 00:00:00+00:00,31.25,31.3099,30.55,30.95,331316,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,90.70810831675604,33.271817714003475,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2785938,450743.8937777193,False,False,False,False,867925.503077601,False,False,False,False
2024-06-20 00:00:00+00:00,30.5,31.5,30.01,31.31,307470,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,86.72437776055885,33.271817714003475,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,2478468,530262.486178593,False,False,False,False,845946.8558980871,False,False,False,False
