date,Open,High,Low,Close,Volume,aVWAP_peak_834,aVWAP_peak_788,aVWAP_valley_857,aVWAP_valley_832,aVWAP_valley_773,aVWAP_valley_756,aVWAP_valley_738,aVWAP_valley_657,aVWAP_valley_470,aVWAP_valley_337,aVWAP_valley_336,aVWAP_OB_bull_857,aVWAP_OB_bull_470,aVWAP_OB_bull_337,aVWAP_OB_bear_788,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-21 15:00:00+00:00,56.915,57.255,56.83,57.16,22437.0,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,22437.0,False,False,False,False
2025-01-21 16:00:00+00:00,57.16,57.66,57.145,57.57,9795.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9795.0,151.86046511627907,False,False,False,False,22241.0,False,False,False,False
2025-01-21 17:00:00+00:00,57.57,57.68,57.395,57.395,6147.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,89.18640576725045,12.15242018537657,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3648.0,206.06417883540655,False,False,False,False,21991.48062015504,False,False,False,False
2025-01-21 18:00:00+00:00,57.395,57.465,57.235,57.29,7052.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,77.93192355476432,12.15242018537657,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3404.0,150.09419156664055,False,False,False,False,21759.86076557899,False,False,False,False
2025-01-21 19:00:00+00:00,57.285,57.425,57.255,57.31,6781.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,70.97971697264634,12.15242018537657,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3377.0,200.123738984212,False,False,False,False,21527.630366112648,False,False,False,False
2025-01-21 20:00:00+00:00,57.31,57.36,57.205,57.235,25913.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,63.77214420735085,12.15242018537657,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22536.0,-152.37430348065948,False,False,False,False,21595.620592994623,False,False,False,False
2025-01-22 15:00:00+00:00,56.98,56.99,56.82,56.9,4099.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,52.31054815598134,28.18127791425337,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26635.0,-562.9576476127422,False,False,False,False,21324.35515744432,False,False,False,False
2025-01-22 16:00:00+00:00,56.9,57.27,56.885,57.23,11397.0,,,,,,,,,,,,,,,,,,#000000,,,,51.95604908909739,26.65493099101343,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15238.0,-790.4776840838624,False,False,False,False,21170.442674383165,False,False,False,False
2025-01-22 17:00:00+00:00,57.23,57.23,56.98,57.03,4886.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,48.74251688844906,22.024814106285476,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20124.0,-1090.22221611357,False,False,False,False,20917.970694935364,False,False,False,False
2025-01-22 18:00:00+00:00,57.025,57.13,56.925,56.935,2694.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,45.39842094407412,17.17722166982361,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22818.0,-1427.0869879567706,False,False,False,False,20635.428513618535,False,False,False,False
2025-01-22 19:00:00+00:00,56.94,56.955,56.79,56.855,5091.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,56.86666666666667,,42.205315418230384,12.47003691259863,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27909.0,-1837.6592827171307,False,False,False,False,20394.429621934527,False,False,False,False
2025-01-22 20:00:00+00:00,56.855,56.94,56.815,56.88,17048.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,56.87565051116431,,40.62393713126594,9.267196886471908,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10861.0,-1977.5560380238417,False,False,False,False,20342.546992137093,False,False,False,False
