date,Close,High,Low,Open,Volume,aVWAP_OB_bull_120,aVWAP_OB_bear_175,aVWAP_OB_bear_162,aVWAP_OB_bear_59,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.94,13.8,11.88,13.56,204671,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,204671.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.7,13.02,11.58,12.18,150108,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-150108,-11119.111111111111,False,False,False,False,200629.29629629632,False,False,False,False
2022-01-14 00:00:00+00:00,11.16,11.7,10.62,11.52,198442,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-348550,-36113.99176954733,False,False,False,False,200467.27434842254,False,False,False,False
2022-01-21 00:00:00+00:00,9.06,11.1,9.06,11.04,149318,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-497868,-70317.99237921048,False,False,False,False,196678.43921150235,False,False,False,False
2022-01-28 00:00:00+00:00,8.82,9.78,8.4,8.58,173202,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-671070,-114818.14109186156,False,False,False,False,194939.44371435404,False,False,False,False
2022-02-04 00:00:00+00:00,9.0,9.9,8.58,8.58,232272,,,,,0.0,0.0,0.0,0.0,,#000000,,,,1.4012993262552824,-48.66438657966293,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-438798,-138816.64915913108,False,False,False,False,197704.81825403153,False,False,False,False
2022-02-11 00:00:00+00:00,7.92,9.24,7.8,9.0,315543,,,,,0.0,0.0,0.0,0.0,,#000000,,,,2.086998792723784,-48.060093705123805,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-754341,-184411.04551771394,False,False,False,False,206433.57245743662,False,False,False,False
2022-02-18 00:00:00+00:00,8.34,8.94,7.8,7.92,133558,,,,,0.0,0.0,0.0,0.0,,#000000,,,,4.8975889341934025,-45.441278578202635,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-620783,-216734.89399788328,False,False,False,False,201035.38190503392,False,False,False,False
2022-02-25 00:00:00+00:00,8.04,8.4,7.14,8.4,153317,,,,,0.0,0.0,0.0,0.0,7.859999999999999,#000000,,7.859999999999999,,6.835144350541443,-43.73607901262837,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-774100,-258021.19814618822,False,False,False,False,197500.68694910547,False,False,False,False
2022-03-04 00:00:00+00:00,8.52,9.3,7.86,7.98,166252,,,,,0.0,0.0,0.0,0.0,8.224166737073997,#000000,,8.224166737073997,,10.551760915237175,-40.3626509326019,True,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-607848,-283934.2945798039,False,False,False,False,195185.96939731986,False,False,False,False
