date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2022-07-01 00:00:00+00:00,9.01,12.04,8.3,11.75,7579098,0,,,
2022-07-08 00:00:00+00:00,8.97,10.47,8.5,9.5,849229,0,,,
2022-07-15 00:00:00+00:00,8.01,9.66,7.71,9.15,902628,0,,,
2022-07-22 00:00:00+00:00,8.5,8.65,7.01,8.17,565013,0,,,
2022-07-29 00:00:00+00:00,9.2,9.57,8.34,8.79,629988,0,,,
2022-08-05 00:00:00+00:00,8.94,9.42,8.461,9.42,304551,0,,,
2022-08-12 00:00:00+00:00,9.94,9.96,8.77,8.89,269471,0,,,
2022-08-19 00:00:00+00:00,9.5,10.23,9.0,10.0,397586,0,,,
2022-08-26 00:00:00+00:00,10.09,10.1,9.0,9.78,238418,0,,,
2022-09-02 00:00:00+00:00,10.1,10.4,9.29,10.4,423328,0,,,
2022-09-09 00:00:00+00:00,11.11,11.41,10.15,10.21,433947,0,,,
2022-09-16 00:00:00+00:00,8.75,11.53,8.64,11.21,3478403,0,,,
2022-09-23 00:00:00+00:00,8.05,8.97,7.86,8.59,1054993,0,,,
2022-09-30 00:00:00+00:00,8.25,8.65,7.775,7.92,591049,0,,,
2022-10-07 00:00:00+00:00,8.9,9.37,8.25,8.25,575847,0,,,
2022-10-14 00:00:00+00:00,7.91,8.96,7.61,8.96,374209,0,,,8.16
2022-10-21 00:00:00+00:00,8.5,8.61,7.875,8.25,344689,0,,,8.240710543544889
2022-10-28 00:00:00+00:00,9.85,9.9,8.3,8.5,398058,0,,,8.636036359832737
2022-11-04 00:00:00+00:00,10.72,10.96,9.5,9.85,422684,0,,,9.118474666155725
2022-11-11 00:00:00+00:00,11.97,12.22,10.35,10.88,933001,0,,,10.02212607828364
2022-11-18 00:00:00+00:00,10.91,12.65,10.78,11.72,845743,0,,,10.385192929751351
2022-11-25 00:00:00+00:00,9.89,10.96,9.56,10.96,591439,0,,,10.347598357180537
2022-12-02 00:00:00+00:00,11.82,12.325,9.7,9.87,977346,0,,,10.534395238156625
2022-12-09 00:00:00+00:00,10.83,11.92,10.5,11.74,591071,0,,,10.593622542702281
2022-12-16 00:00:00+00:00,14.99,15.53,10.55,11.0,2294368,0,,,11.507630987994421
2022-12-23 00:00:00+00:00,12.23,14.66,11.11,14.6,1441480,0,,,11.688954060890238
2022-12-30 00:00:00+00:00,12.15,12.54,11.21,12.46,719710,0,,,11.70907451627934
2023-01-06 00:00:00+00:00,12.32,12.55,11.64,12.09,580493,0,,,11.73452216812971
2023-01-13 00:00:00+00:00,14.59,15.04,12.56,13.02,1139152,0,,,11.962169044375985
2023-01-20 00:00:00+00:00,13.61,15.06,13.085,15.06,1090551,0,,,12.129565303467658
