date,Close,High,Low,Open,Volume,aVWAP_OB_bear_756,aVWAP_OB_bear_593,aVWAP_OB_bear_568,aVWAP_OB_bear_490,aVWAP_OB_bear_401,aVWAP_OB_bear_272,aVWAP_OB_bear_149,aVWAP_OB_bear_1,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,12.63,12.96,12.41,12.75,2641099,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,12.685,12.685,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2641099.0,False,False,False,False
2022-01-04 00:00:00+00:00,12.57,12.68,12.035,12.61,4320533,,,,,,,,12.428333333333331,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,12.3575,12.685,1,-1.0,12.68,12.035,0.0,0,,,False,False,False,False,,,False,False,False,False,-4320533,-169432.66666666666,False,False,False,False,2706959.156862745,False,False,False,False
2022-01-05 00:00:00+00:00,12.01,12.71,11.96,12.45,4720263,,,,,,,,12.32304175226016,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,12.335,12.685,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9040796,-517329.2679738562,False,False,False,False,2785912.2487504804,False,False,False,False
2022-01-06 00:00:00+00:00,11.89,12.24,11.51,11.9,4035204,,,,,,,,12.186320748062608,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,11.875,12.685,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13076000,-1009826.1594258619,False,False,False,False,2834904.082132815,False,False,False,False
2022-01-07 00:00:00+00:00,11.65,12.24,11.65,11.82,4206236,,,,,,,,12.10365405928955,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,11.875,12.685,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17282236,-1647959.8786640633,False,False,False,False,2888681.804402116,False,False,False,False
2022-01-10 00:00:00+00:00,11.12,11.54,10.85,11.49,6666787,,,,,,,,11.843748979029332,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,11.195,11.195,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-23949023,-2522511.3736184137,False,False,False,False,3036842.7924647783,False,False,False,False
2022-01-11 00:00:00+00:00,11.31,11.5,11.04,11.16,5344431,,,,,,,,11.741504199368226,,"rgba(239, 83, 80, 0.5)",,,,4.589152899330969,-45.79327650894661,False,False,False,True,True,,,11.195,11.27,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18604592,-3153181.2021039664,False,False,False,False,3127336.447662238,False,False,False,False
2022-01-12 00:00:00+00:00,11.23,11.74,11.21,11.43,3783608,,,,,,,,11.701677745794552,,"rgba(239, 83, 80, 0.5)",,,,7.373501426794874,-43.49590996428975,False,False,False,True,True,,,11.195,11.475000000000001,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22388200,-3907495.6647665557,False,False,False,False,3153072.586969601,False,False,False,False
2022-01-13 00:00:00+00:00,11.06,11.65,11.02,11.45,3942803,,,,,,,,11.652861745939195,,"rgba(239, 83, 80, 0.5)",,,,8.699550065192351,-42.59439699517794,False,False,False,True,True,,,11.195,11.475000000000001,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26331003,-4786848.89359924,False,False,False,False,3184042.4070884404,False,False,False,False
2022-01-14 00:00:00+00:00,10.98,11.14,10.685,10.91,4528683,,,,,,,,11.574616694266506,,"rgba(239, 83, 80, 0.5)",,,,9.357261055322637,-42.25036871732994,False,False,False,True,True,,,10.912500000000001,11.475000000000001,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30859686,-5809313.09385025,False,False,False,False,3236773.4107320313,False,False,False,False
